Date,Time,Open,High,Low,Close,Volume,HighVWAP,LowVWAP,LevelPrice
2025-11-27,00:00:00,25567.25,25568.75,25566.5,25566.5,66,25574.57,25572.75,0.00
2025-11-27,00:01:00,25566.5,25567.5,25564.75,25566.75,95,25574.52,25572.73,0.00
2025-11-27,00:02:00,25566.5,25568.5,25566.5,25567.25,43,25574.50,25572.72,0.00
2025-11-27,00:03:00,25567.25,25568.25,25566.5,25568.25,15,25574.49,25572.72,0.00
2025-11-27,00:04:00,25568.5,25571.5,25568.5,25571.5,244,25574.44,25572.70,0.00
2025-11-27,00:05:00,25571.5,25571.75,25567.25,25568,138,25574.39,25572.68,0.00
2025-11-27,00:06:00,25568.5,25569.25,25567,25568.75,79,25574.36,25572.66,0.00
2025-11-27,00:07:00,25568,25568.25,25565.5,25566.25,107,25574.32,25572.64,0.00
2025-11-27,00:08:00,25566,25567.75,25564.25,25567.5,112,25574.27,25572.62,0.00
2025-11-27,00:09:00,25567,25567.5,25565.75,25565.75,43,25574.25,25572.60,0.00
2025-11-27,00:10:00,25566.25,25566.75,25564.5,25564.5,38,25574.23,25572.59,0.00
2025-11-27,00:11:00,25565,25566.5,25564.75,25565,49,25574.20,25572.58,0.00
2025-11-27,00:12:00,25565.5,25566,25564.75,25565.5,37,25574.18,25572.57,0.00
2025-11-27,00:13:00,25565.5,25565.75,25561.75,25563.75,355,25573.98,25572.46,0.00
2025-11-27,00:14:00,25564.5,25564.75,25562.75,25563.25,73,25573.93,25572.43,0.00
2025-11-27,00:15:00,25564.25,25567.75,25562.5,25564.75,284,25573.79,25572.36,0.00
2025-11-27,00:16:00,25564.75,25569.25,25564.25,25567.25,200,25573.72,25572.32,0.00
2025-11-27,00:17:00,25566.5,25567.5,25564.75,25567,76,25573.69,25572.30,0.00
2025-11-27,00:18:00,25567.5,25567.75,25565,25566,31,25573.68,25572.29,0.00
2025-11-27,00:19:00,25566,25566.25,25564.75,25565.25,23,25573.67,25572.29,0.00
2025-11-27,00:20:00,25565.5,25565.5,25560.5,25564,189,25573.56,25572.23,0.00
2025-11-27,00:21:00,25564.5,25567.75,25562.5,25566.25,132,25573.51,25572.20,0.00
2025-11-27,00:22:00,25565.25,25567,25564.5,25567,18,25573.50,25572.19,0.00
2025-11-27,00:23:00,25566.75,25569.75,25565.75,25568.25,196,25573.44,25572.16,0.00
2025-11-27,00:24:00,25568,25570.5,25567,25568.25,105,25573.42,25572.15,0.00
2025-11-27,00:25:00,25568.25,25569.5,25568,25569,36,25573.41,25572.15,0.00
2025-11-27,00:26:00,25569,25569.5,25568.5,25568.75,33,25573.40,25572.14,0.00
2025-11-27,00:27:00,25568.75,25569.25,25564.25,25568.75,274,25573.32,25572.10,0.00
2025-11-27,00:28:00,25568.75,25568.75,25567.25,25567.75,18,25573.31,25572.10,0.00
2025-11-27,00:29:00,25568.25,25571.5,25568.25,25570.75,266,25573.27,25572.08,0.00
2025-11-27,00:30:00,25571,25571.75,25570,25571.75,100,25573.26,25572.07,0.00
2025-11-27,00:31:00,25572,25573.25,25567.75,25571.75,431,25573.21,25572.06,0.00
2025-11-27,00:32:00,25572.5,25573.75,25570,25571,193,25573.19,25572.06,0.00
2025-11-27,00:33:00,25570.75,25572.75,25570.75,25572.25,16,25573.19,25572.05,0.00
2025-11-27,00:34:00,25572.25,25573.25,25570.5,25571,77,25573.19,25572.05,0.00
2025-11-27,00:35:00,25571,25572.5,25570.75,25572,26,25573.18,25572.05,0.00
2025-11-27,00:36:00,25572.75,25575.25,25572.25,25574.25,112,25573.19,25572.06,0.00
2025-11-27,00:37:00,25575,25577,25570,25575.5,646,25573.22,25572.10,0.00
2025-11-27,00:38:00,25576,25579.25,25569.5,25577.5,926,25573.31,25572.20,0.00
2025-11-27,00:39:00,25577.5,25580,25577.25,25578.5,203,25573.36,25572.24,0.00
2025-11-27,00:40:00,25579,25579.5,25577.5,25578.75,257,25573.41,25572.29,0.00
2025-11-27,00:41:00,25578.5,25579.25,25576.75,25577.5,91,25573.43,25572.31,0.00
2025-11-27,00:42:00,25577.75,25578.25,25576.25,25576.75,53,25573.44,25572.32,0.00
2025-11-27,00:43:00,25577,25578,25573.75,25574.25,105,25573.45,25572.33,0.00
2025-11-27,00:44:00,25573.75,25574.25,25572,25572.75,97,25573.45,25572.33,0.00
2025-11-27,00:45:00,25572.25,25573.75,25571.75,25571.75,51,25573.45,25572.33,0.00
2025-11-27,00:46:00,25572.25,25573.25,25571.25,25571.75,91,25573.44,25572.33,0.00
2025-11-27,00:47:00,25571.25,25571.75,25569.25,25570.5,125,25573.42,25572.32,0.00
2025-11-27,00:48:00,25570.75,25573.75,25570.75,25573.75,116,25573.42,25572.32,0.00
2025-11-27,00:49:00,25574.25,25575.75,25573.5,25575.25,79,25573.43,25572.33,0.00
2025-11-27,00:50:00,25575,25577.75,25575,25577.75,85,25573.44,25572.34,0.00
2025-11-27,00:51:00,25577.75,25578.25,25575.75,25576,74,25573.45,25572.35,0.00
2025-11-27,00:52:00,25575.75,25576,25574.5,25576,69,25573.45,25572.36,0.00
2025-11-27,00:53:00,25576,25576.5,25574,25575.25,50,25573.46,25572.36,0.00
2025-11-27,00:54:00,25575.5,25575.75,25574.25,25575,58,25573.46,25572.36,0.00
2025-11-27,00:55:00,25574.75,25575.75,25574.75,25575,31,25573.46,25572.37,0.00
2025-11-27,00:56:00,25575.25,25576.25,25574.5,25575.25,47,25573.47,25572.37,0.00
2025-11-27,00:57:00,25574.75,25574.75,25573.75,25574.5,28,25573.47,25572.37,0.00
2025-11-27,00:58:00,25574.75,25577.25,25574.75,25576,80,25573.48,25572.38,0.00
2025-11-27,00:59:00,25576.5,25577.5,25574.25,25577.25,77,25573.49,25572.39,0.00
2025-11-27,01:00:00,25576.5,25578.5,25576.5,25578.25,75,25573.50,25572.40,0.00
2025-11-27,01:01:00,25578.25,25579,25576.25,25578.5,162,25573.53,25572.43,0.00
2025-11-27,01:02:00,25579,25581,25578.25,25579.5,151,25573.57,25572.46,0.00
2025-11-27,01:03:00,25579,25582.75,25579,25581.5,139,25573.61,25572.50,0.00
2025-11-27,01:04:00,25581.75,25584,25581.75,25583.25,125,25573.65,25572.53,0.00
2025-11-27,01:05:00,25583.5,25585,25583,25584,88,25573.69,25572.56,0.00
2025-11-27,01:06:00,25584.25,25587,25582.75,25584.75,223,25573.79,25572.64,0.00
2025-11-27,01:07:00,25584.5,25585.25,25584.25,25584.5,45,25573.81,25572.66,0.00
2025-11-27,01:08:00,25584.25,25584.5,25582.25,25583.75,80,25573.84,25572.68,0.00
2025-11-27,01:09:00,25583.25,25583.75,25580.75,25581.25,66,25573.86,25572.70,0.00
2025-11-27,01:10:00,25582,25582,25579.75,25581.25,87,25573.89,25572.72,0.00
2025-11-27,01:11:00,25582,25586,25582,25585,169,25573.95,25572.78,0.00
2025-11-27,01:12:00,25584.75,25585,25583,25584.75,90,25573.99,25572.81,0.00
2025-11-27,01:13:00,25584.75,25587.25,25584,25584.75,186,25574.07,25572.87,0.00
2025-11-27,01:14:00,25586.25,25586.25,25584.75,25585.5,55,25574.10,25572.89,0.00
2025-11-27,01:15:00,25586,25588.25,25586,25586.5,103,25574.15,25572.93,0.00
2025-11-27,01:16:00,25586.25,25587.75,25585.75,25587,75,25574.18,25572.96,0.00
2025-11-27,01:17:00,25586.75,25588,25586.5,25587,49,25574.21,25572.98,0.00
2025-11-27,01:18:00,25587,25587.5,25586.25,25587,81,25574.25,25573.01,0.00
2025-11-27,01:19:00,25586.25,25588.75,25586.25,25587.5,131,25574.31,25573.07,0.00
2025-11-27,01:20:00,25587.25,25587.5,25585.25,25585.5,119,25574.37,25573.11,0.00
2025-11-27,01:21:00,25586.25,25586.25,25583.75,25584.75,110,25574.41,25573.15,0.00
2025-11-27,01:22:00,25584.75,25586.25,25584.5,25586.25,46,25574.43,25573.16,0.00
2025-11-27,01:23:00,25586.25,25588.5,25585.75,25588,52,25574.45,25573.18,0.00
2025-11-27,01:24:00,25588,25589,25586.75,25588.25,58,25574.48,25573.21,0.00
2025-11-27,01:25:00,25588.5,25590.25,25588.5,25589.75,115,25574.55,25573.26,0.00
2025-11-27,01:26:00,25589.75,25589.75,25588,25588,100,25574.60,25573.30,0.00
2025-11-27,01:27:00,25588.75,25590.25,25587.25,25587.75,85,25574.64,25573.34,0.00
2025-11-27,01:28:00,25587.25,25588.5,25585.75,25586.5,68,25574.67,25573.36,0.00
2025-11-27,01:29:00,25586,25586,25584.25,25585,70,25574.70,25573.38,0.00
2025-11-27,01:30:00,25585.5,25586.5,25584.5,25585.25,57,25574.72,25573.40,0.00
2025-11-27,01:31:00,25585,25586.25,25584.25,25585.25,66,25574.75,25573.42,0.00
2025-11-27,01:32:00,25585.25,25585.75,25583.5,25585.5,100,25574.78,25573.45,0.00
