TradeId,Instrument,EntryTime,EntryPrice,ExitTime,ExitPrice,Direction,Profit,MAE,MFE,DurationMin,SetupType
1,MES 03-26,2025-11-19 05:46:00,6712.75,2025-11-19 05:47:00,6672.25,Long,-202.5,7.5,5,1.00,RelativeVWAP
2.1,MES 03-26,2025-11-19 06:36:00,6722.25,2025-11-19 06:54:00,6723.5,Short,-6.25,8.75,20,18.00,RelativeVWAP
2.2,MES 03-26,2025-11-19 06:36:00,6722.25,2025-11-19 06:54:00,6723.5,Short,-6.25,8.75,20,18.00,RelativeVWAP
3,MES 03-26,2025-11-19 10:48:00,6729.5,2025-11-19 10:49:00,6694.5,Long,-175,7.5,7.5,1.00,RelativeVWAP
4.1,MES 03-26,2025-11-19 11:26:00,6762,2025-11-19 13:34:00,6723.74688308911,Short,191.265584554449,0,336.25,128.00,RelativeVWAP
4.2,MES 03-26,2025-11-19 11:26:00,6762,2025-11-19 13:34:00,6694.75,Short,336.25,0,336.25,128.00,RelativeVWAP
5,MES 03-26,2025-11-19 13:35:00,6694.5,2025-11-19 13:36:00,6729.5,Short,-175,10,17.5,1.00,RelativeVWAP
6.1,MES 03-26,2025-11-19 14:59:00,6721,2025-11-19 15:01:00,6721,Long,0,46.25,11.25,2.00,RelativeVWAP
6.2,MES 03-26,2025-11-19 14:59:00,6721,2025-11-19 15:01:00,6721,Long,0,46.25,11.25,2.00,RelativeVWAP
7,MES 03-26,2025-11-19 19:02:00,6769,2025-11-19 19:03:00,6681.75,Long,-436.25,6.25,10,1.00,RelativeVWAP
8.1,MES 03-26,2025-11-19 19:27:00,6780.5,2025-11-19 19:38:00,6785.25,Short,-23.75,25,13.75,11.00,RelativeVWAP
8.2,MES 03-26,2025-11-19 19:27:00,6780.5,2025-11-19 19:38:00,6785.25,Short,-23.75,25,13.75,11.00,RelativeVWAP
9,MES 03-26,2025-11-20 09:32:00,6817,2025-11-20 09:33:00,6753.5,Long,-317.5,0,33.75,1.00,RelativeVWAP
10.1,MES 03-26,2025-11-20 09:42:00,6818.25,2025-11-20 09:50:00,6827,Short,-43.75,45,20,8.00,RelativeVWAP
10.2,MES 03-26,2025-11-20 09:42:00,6818.25,2025-11-20 09:50:00,6827,Short,-43.75,45,20,8.00,RelativeVWAP
11,MES 03-26,2025-11-20 10:32:00,6832.75,2025-11-20 10:33:00,6783.5,Long,-246.25,33.75,6.25,1.00,RelativeVWAP
12.1,MES 03-26,2025-11-20 11:19:00,6837.5,2025-11-20 11:38:00,6850,Short,-62.5,67.5,33.75,19.00,RelativeVWAP
12.2,MES 03-26,2025-11-20 11:19:00,6837.5,2025-11-20 11:38:00,6850,Short,-62.5,67.5,33.75,19.00,RelativeVWAP
13,MES 03-26,2025-11-20 12:17:00,6783.5,2025-11-20 12:18:00,6832.75,Short,-246.25,27.5,15,1.00,RelativeVWAP
14,MES 03-26,2025-11-20 12:38:00,6753.5,2025-11-20 12:39:00,6817,Short,-317.5,11.25,57.5,1.00,RelativeVWAP
15.1,MES 03-26,2025-11-20 13:04:00,6700.75,2025-11-20 13:08:00,6687.25,Long,-67.5,81.25,58.75,4.00,RelativeVWAP
15.2,MES 03-26,2025-11-20 13:04:00,6700.75,2025-11-20 13:08:00,6687.25,Long,-67.5,81.25,58.75,4.00,RelativeVWAP
16,MES 03-26,2025-11-20 13:12:00,6681.75,2025-11-20 13:13:00,6769,Short,-436.25,15,31.25,1.00,RelativeVWAP
17,MES 03-26,2025-11-20 13:17:00,6672.25,2025-11-20 13:18:00,6712.75,Short,-202.5,11.25,26.25,1.00,RelativeVWAP
18.1,MES 03-26,2025-11-20 13:25:00,6674.75,2025-11-20 13:36:00,6659.5,Long,-76.25,98.75,72.5,11.00,RelativeVWAP
18.2,MES 03-26,2025-11-20 13:25:00,6674.75,2025-11-20 13:36:00,6659.5,Long,-76.25,98.75,72.5,11.00,RelativeVWAP
19,MES 03-26,2025-11-20 17:00:00,6613,2025-11-20 17:01:00,6851.25,Short,-1191.25,42.5,15,1.00,RelativeVWAP
20.1,MES 03-26,2025-11-20 17:10:00,6617,2025-11-20 19:03:00,6617,Long,0,55,41.25,113.00,RelativeVWAP
20.2,MES 03-26,2025-11-20 17:10:00,6617,2025-11-20 19:03:00,6617,Long,0,55,41.25,113.00,RelativeVWAP
21,MES 03-26,2025-11-21 06:04:00,6598.5,2025-11-21 06:05:00,6654.25,Short,-278.75,5,23.75,1.00,RelativeVWAP
22.1,MES 03-26,2025-11-21 06:14:00,6593.75,2025-11-21 06:17:00,6590,Long,-18.75,20,21.25,3.00,RelativeVWAP
22.2,MES 03-26,2025-11-21 06:14:00,6593.75,2025-11-21 06:17:00,6590,Long,-18.75,20,21.25,3.00,RelativeVWAP
23,MES 03-26,2025-11-21 08:55:00,6654.25,2025-11-21 08:56:00,6598.5,Long,-278.75,21.25,7.5,1.00,RelativeVWAP
24.1,MES 03-26,2025-11-21 09:02:00,6651,2025-11-21 09:21:00,6656.75,Short,-28.75,37.5,90,19.00,RelativeVWAP
24.2,MES 03-26,2025-11-21 09:02:00,6651,2025-11-21 09:21:00,6656.75,Short,-28.75,37.5,90,19.00,RelativeVWAP
25,MES 03-26,2025-11-21 12:37:00,6659,2025-11-21 12:38:00,6584.25,Long,-373.75,5,22.5,1.00,RelativeVWAP
26.1,MES 03-26,2025-11-21 13:19:00,6698.25,2025-11-21 13:37:00,6703.5,Short,-26.25,30,61.25,18.00,RelativeVWAP
26.2,MES 03-26,2025-11-21 13:19:00,6698.25,2025-11-21 13:37:00,6703.5,Short,-26.25,30,61.25,18.00,RelativeVWAP
27,MES 03-26,2025-11-24 04:26:00,6726.25,2025-11-24 04:27:00,6696.5,Long,-148.75,11.25,5,1.00,RelativeVWAP
28.1,MES 03-26,2025-11-24 04:37:00,6725,2025-11-24 04:55:00,6728,Short,-15,15,20,18.00,RelativeVWAP
28.2,MES 03-26,2025-11-24 04:37:00,6725,2025-11-24 04:55:00,6728,Short,-15,15,20,18.00,RelativeVWAP
