TradeId,Instrument,EntryTime,EntryPrice,ExitTime,ExitPrice,Direction,Profit,MAE,MFE,DurationMin,SetupType
1,MGC 02-26,2025-11-19 05:46:11,4136.8,2025-11-19 05:46:16,4092.8,Long,-440,0,15.9999999999945,0.09,RelativeVWAP
2.1,MGC 02-26,2025-11-19 05:50:13,4142,2025-11-19 05:53:43,4144.5,Short,-25,36.0000000000036,25,3.49,RelativeVWAP
2.2,MGC 02-26,2025-11-19 05:50:13,4142,2025-11-19 05:53:43,4144.5,Short,-25,36.0000000000036,25,3.49,RelativeVWAP
3,MGC 02-26,2025-11-19 10:55:17,4157.7,2025-11-19 10:55:18,4114.7,Long,-430.000000000009,0,13.9999999999964,0.02,RelativeVWAP
4.1,MGC 02-26,2025-11-19 11:03:04,4165.6,2025-11-19 11:14:49,4168,Short,-23.9999999999964,26.9999999999982,72.0000000000073,11.75,RelativeVWAP
4.2,MGC 02-26,2025-11-19 11:03:04,4165.6,2025-11-19 11:14:49,4168,Short,-23.9999999999964,26.9999999999982,72.0000000000073,11.75,RelativeVWAP
5,MGC 02-26,2025-11-19 12:26:11,4114.7,2025-11-19 12:26:12,4157.7,Short,-430.000000000009,0,20,0.00,RelativeVWAP
6,MGC 02-26,2025-11-19 13:08:15,4092.8,2025-11-19 13:08:20,4136.8,Short,-440,11.9999999999982,5,0.09,RelativeVWAP
7.1,MGC 02-26,2025-11-19 13:09:01,4094.6,2025-11-19 19:47:27,4135.06666666667,Long,404.666666666667,0.999999999999091,427.999999999997,398.45,RelativeVWAP
7.2,MGC 02-26,2025-11-19 13:09:01,4094.6,2025-11-19 19:47:27,4136.7,Long,420.999999999999,0.999999999999091,427.999999999997,398.45,RelativeVWAP
8,MGC 02-26,2025-11-19 22:17:15,4092.2,2025-11-19 22:17:15,4171.1,Short,-789.000000000001,0.999999999999091,17.0000000000027,0.00,RelativeVWAP
9.1,MGC 02-26,2025-11-19 22:20:12,4081.4,2025-11-20 04:12:19,4081.4,Long,0,42.0000000000027,390.999999999999,352.12,RelativeVWAP
9.2,MGC 02-26,2025-11-19 22:20:12,4081.4,2025-11-20 04:12:19,4081.4,Long,0,42.0000000000027,390.999999999999,352.12,RelativeVWAP
10,MGC 02-26,2025-11-20 10:49:05,4133.2,2025-11-20 10:49:06,4074.1,Long,-591.000000000008,2.00000000000728,12.9999999999927,0.02,RelativeVWAP
11.1,MGC 02-26,2025-11-20 11:08:02,4123.4,2025-11-20 15:28:09,4123.4,Short,0,117.000000000007,439.999999999995,260.11,RelativeVWAP
11.2,MGC 02-26,2025-11-20 11:08:02,4123.4,2025-11-20 15:28:09,4123.4,Short,0,117.000000000007,439.999999999995,260.11,RelativeVWAP
12,MGC 02-26,2025-11-21 01:51:09,4079.3,2025-11-21 01:51:21,4143.7,Short,-644.000000000005,0,9.00000000000091,0.20,RelativeVWAP
13,MGC 02-26,2025-11-21 01:54:46,4074.1,2025-11-21 01:55:38,4133.2,Short,-591.000000000008,33.0000000000018,0,0.88,RelativeVWAP
14.1,MGC 02-26,2025-11-21 01:57:44,4083.2,2025-11-21 02:16:04,4083.2,Long,0,25.9999999999991,169.000000000005,18.34,RelativeVWAP
14.2,MGC 02-26,2025-11-21 01:57:44,4083.2,2025-11-21 02:16:04,4083.2,Long,0,25.9999999999991,169.000000000005,18.34,RelativeVWAP
15,MGC 02-26,2025-11-21 02:28:16,4071.6,2025-11-21 02:28:16,4146.6,Short,-750.000000000005,0.999999999999091,15.9999999999991,0.00,RelativeVWAP
16.1,MGC 02-26,2025-11-21 02:29:40,4065.7,2025-11-21 02:30:21,4063.1,Long,-25.9999999999991,28.9999999999964,17.0000000000027,0.68,RelativeVWAP
16.2,MGC 02-26,2025-11-21 02:29:40,4065.7,2025-11-21 02:30:21,4063.1,Long,-25.9999999999991,28.9999999999964,17.0000000000027,0.68,RelativeVWAP
17,MGC 02-26,2025-11-21 04:03:58,4057.6,2025-11-21 04:03:59,4126.1,Short,-685.000000000005,0,19.0000000000009,0.01,RelativeVWAP
18.1,MGC 02-26,2025-11-21 04:06:54,4064.6,2025-11-21 12:50:52,4092.04231242312,Long,274.423124231248,0,625.000000000005,523.95,RelativeVWAP
18.2,MGC 02-26,2025-11-21 04:06:54,4064.6,2025-11-21 12:50:52,4126,Long,614.000000000001,0,625.000000000005,523.95,RelativeVWAP
19,MGC 02-26,2025-11-21 12:50:01,4119.8,2025-11-21 12:50:01,4055.6,Long,-642.000000000003,0,18.0000000000018,0.00,RelativeVWAP
20,MGC 02-26,2025-11-21 12:50:52,4126.1,2025-11-21 12:50:55,4057.6,Long,-685.000000000005,0,12.9999999999927,0.05,RelativeVWAP
21.1,MGC 02-26,2025-11-21 13:02:37,4132.6,2025-11-24 12:34:12,4132.6,Short,0,0,603.000000000002,4291.59,RelativeVWAP
21.2,MGC 02-26,2025-11-21 13:02:37,4132.6,2025-11-24 12:34:12,4132.6,Short,0,0,603.000000000002,4291.59,RelativeVWAP
22,MGC 02-26,2025-11-21 17:08:53,4089.8,2025-11-21 17:10:02,4137.9,Short,-481.000000000004,12.9999999999973,6.00000000000364,1.16,RelativeVWAP
23,MGC 02-26,2025-11-24 08:43:22,4110.8,2025-11-24 08:45:28,4072.2,Long,-385.999999999999,0,40.9999999999945,2.10,RelativeVWAP
24.1,MGC 02-26,2025-11-24 09:52:13,4114.6,2025-11-24 10:56:31,4120.2,Short,-56.0000000000036,63.9999999999964,120,64.29,RelativeVWAP
24.2,MGC 02-26,2025-11-24 09:52:13,4114.6,2025-11-24 10:56:31,4120.2,Short,-56.0000000000036,63.9999999999964,120,64.29,RelativeVWAP
25,MGC 02-26,2025-11-24 10:56:31,4120.2,2025-11-24 11:00:00,4091.3,Long,-289.000000000005,50.0000000000091,0,3.49,RelativeVWAP
26.1,MGC 02-26,2025-11-24 13:28:35,4130.5,2025-11-24 13:53:20,4135.7,Short,-52.0000000000073,60,23.9999999999964,24.75,RelativeVWAP
26.2,MGC 02-26,2025-11-24 13:28:35,4130.5,2025-11-24 13:53:20,4135.7,Short,-52.0000000000073,60,23.9999999999964,24.75,RelativeVWAP
27,MGC 02-26,2025-11-24 14:37:45,4137.9,2025-11-24 14:38:16,4089.8,Long,-481.000000000004,0,62.9999999999927,0.52,RelativeVWAP
28,MGC 02-26,2025-11-24 14:38:16,4143.7,2025-11-24 14:39:26,4079.3,Long,-644.000000000005,9.00000000000546,43.9999999999964,1.16,RelativeVWAP
29,MGC 02-26,2025-11-24 14:39:26,4146.6,2025-11-24 14:41:37,4071.6,Long,-750.000000000005,0,38.9999999999964,2.19,RelativeVWAP
30.1,MGC 02-26,2025-11-24 15:23:02,4156.3,2025-11-24 16:31:05,4162.6,Short,-63.0000000000018,80,68.0000000000018,68.04,RelativeVWAP
30.2,MGC 02-26,2025-11-24 15:23:02,4156.3,2025-11-24 16:31:05,4162.6,Short,-63.0000000000018,80,68.0000000000018,68.04,RelativeVWAP
31,MGC 02-26,2025-11-24 17:42:26,4171.1,2025-11-24 17:46:29,4092.2,Long,-789.000000000001,0,40.9999999999945,4.05,RelativeVWAP
32,MGC 02-26,2025-11-24 17:42:26,4169.5,2025-11-24 17:46:29,4102.5,Long,-670,0,56.9999999999982,4.05,RelativeVWAP
33,MGC 02-26,2025-11-25 04:38:05,4157.1,2025-11-25 04:38:06,4189.2,Short,-321.000000000013,3.00000000000182,23.9999999999964,0.00,RelativeVWAP
34.1,MGC 02-26,2025-11-25 04:45:56,4158.8,2025-11-25 04:50:32,4154,Long,-48.0000000000018,49.0000000000055,18.9999999999964,4.61,RelativeVWAP
34.2,MGC 02-26,2025-11-25 04:45:56,4158.8,2025-11-25 04:50:32,4154,Long,-48.0000000000018,49.0000000000055,18.9999999999964,4.61,RelativeVWAP
35,MGC 02-26,2025-11-25 13:02:18,4185.7,2025-11-25 13:02:27,4142.7,Long,-430.000000000009,28.0000000000109,0,0.15,RelativeVWAP
36,MGC 02-26,2025-11-25 13:33:57,4189.2,2025-11-25 13:33:57,4157.1,Long,-321.000000000013,0,12.9999999999927,0.00,RelativeVWAP
37.1,MGC 02-26,2025-11-25 13:36:47,4191.3,2025-11-25 22:20:39,4191.3,Short,0,10.9999999999945,296.999999999998,523.86,RelativeVWAP
37.2,MGC 02-26,2025-11-25 13:36:47,4191.3,2025-11-25 22:20:39,4191.3,Short,0,10.9999999999945,296.999999999998,523.86,RelativeVWAP
38,MGC 02-26,2025-11-25 22:25:39,4194.4,2025-11-25 22:25:40,4143.8,Long,-506.000000000013,0,19.9999999999909,0.01,RelativeVWAP
39.1,MGC 02-26,2025-11-25 22:30:38,4199,2025-11-25 22:31:33,4200,Short,-10,10,16.0000000000036,0.91,RelativeVWAP
39.2,MGC 02-26,2025-11-25 22:30:38,4199,2025-11-25 22:31:33,4200,Short,-10,10,16.0000000000036,0.91,RelativeVWAP
40,MGC 02-26,2025-11-26 07:32:11,4205.1,2025-11-26 07:32:11,4163.6,Long,-415.000000000009,0,20.9999999999945,0.01,RelativeVWAP
41.1,MGC 02-26,2025-11-26 07:56:45,4205.1,2025-11-26 07:58:13,4207.9,Short,-28.0000000000018,28.9999999999964,4.00000000000546,1.47,RelativeVWAP
41.2,MGC 02-26,2025-11-26 07:56:45,4205.1,2025-11-26 07:58:13,4207.9,Short,-28.0000000000018,28.9999999999964,4.00000000000546,1.47,RelativeVWAP
42,MGC 02-26,2025-11-26 11:00:17,4173.9,2025-11-26 11:00:27,4209,Short,-351.000000000004,22.0000000000073,16.9999999999982,0.18,RelativeVWAP
43.1,MGC 02-26,2025-11-26 14:35:34,4191.9,2025-11-26 21:05:48,4191.9,Long,0,3.99999999999636,121.000000000004,390.22,RelativeVWAP
43.2,MGC 02-26,2025-11-26 14:35:34,4191.9,2025-11-26 21:05:48,4191.9,Long,0,3.99999999999636,121.000000000004,390.22,RelativeVWAP
44,MGC 02-26,2025-11-27 19:09:15,4193.9,2025-11-27 19:11:19,4183.3,Long,-106.000000000013,9.00000000000546,10.9999999999945,2.07,RelativeVWAP
45,MGC 02-26,2025-11-27 20:07:21,4200.8,2025-11-27 20:08:14,4174.5,Long,-263.000000000002,10,0,0.89,RelativeVWAP
46,MGC 02-26,2025-11-27 20:07:21,4199.8,2025-11-27 20:08:14,4180.4,Long,-194.000000000005,0,10,0.89,RelativeVWAP
47,MGC 02-26,2025-11-27 20:34:33,4207.1,2025-11-27 20:34:45,4170.6,Long,-365.000000000009,0,13.9999999999964,0.20,RelativeVWAP
48,MGC 02-26,2025-11-27 20:34:47,4209,2025-11-27 20:34:47,4173.9,Long,-351.000000000004,0,23.0000000000018,0.00,RelativeVWAP
49.1,MGC 02-26,2025-11-27 20:38:09,4212.8,2025-11-27 21:00:14,4218.2,Short,-54.0000000000055,63.9999999999964,30,22.08,RelativeVWAP
49.2,MGC 02-26,2025-11-27 20:38:09,4212.8,2025-11-27 21:00:14,4218.2,Short,-54.0000000000055,63.9999999999964,30,22.08,RelativeVWAP
50,MGC 02-26,2025-11-28 10:18:48,4229.2,2025-11-28 10:19:03,4189.4,Long,-398.000000000011,5.00000000000909,12.9999999999927,0.25,RelativeVWAP
51.1,MGC 02-26,2025-11-28 10:25:27,4235.6,2025-11-28 10:32:46,4236.7,Short,-11.0000000000036,12.9999999999927,55,7.31,RelativeVWAP
51.2,MGC 02-26,2025-11-28 10:25:27,4235.6,2025-11-28 10:32:46,4236.7,Short,-11.0000000000036,12.9999999999927,55,7.31,RelativeVWAP
52,MGC 02-26,2025-11-28 10:32:46,4236.7,2025-11-28 10:33:09,4208.3,Long,-284.000000000015,18.0000000000109,2.99999999999272,0.38,RelativeVWAP
53.1,MGC 02-26,2025-11-28 10:46:41,4238.3,2025-11-28 11:57:57,4238.3,Short,0,3.99999999999636,181.999999999998,71.27,RelativeVWAP
53.2,MGC 02-26,2025-11-28 10:46:41,4238.3,2025-11-28 11:57:57,4238.3,Short,0,3.99999999999636,181.999999999998,71.27,RelativeVWAP
54,MGC 02-26,2025-11-30 19:00:01,4263.3,2025-11-30 19:00:06,4220,Long,-433.000000000002,51.0000000000036,0,0.08,RelativeVWAP
55.1,MGC 02-26,2025-11-30 19:13:42,4253.3,2025-11-30 20:07:30,4253.3,Short,0,80,36.0000000000036,53.80,RelativeVWAP
55.2,MGC 02-26,2025-11-30 19:13:42,4253.3,2025-11-30 20:07:30,4253.3,Short,0,80,36.0000000000036,53.80,RelativeVWAP
56,MGC 02-26,2025-12-01 06:04:35,4292.5,2025-12-01 06:04:36,4240.9,Long,-516.000000000004,1.00000000000364,10,0.02,RelativeVWAP
57.1,MGC 02-26,2025-12-01 06:46:18,4291.4,2025-12-01 09:41:07,4298,Short,-66.0000000000036,74.0000000000055,127.999999999993,174.82,RelativeVWAP
57.2,MGC 02-26,2025-12-01 06:46:18,4291.4,2025-12-01 09:41:07,4298,Short,-66.0000000000036,74.0000000000055,127.999999999993,174.82,RelativeVWAP
58,MGC 02-26,2025-12-01 10:35:50,4271.6,2025-12-01 10:35:52,4299.6,Short,-280.000000000009,1.00000000000364,18.9999999999964,0.04,RelativeVWAP
59.1,MGC 02-26,2025-12-01 10:52:05,4269.5,2025-12-01 11:10:42,4269.5,Long,0,3.00000000000182,103.999999999996,18.62,RelativeVWAP
59.2,MGC 02-26,2025-12-01 10:52:05,4269.5,2025-12-01 11:10:42,4269.5,Long,0,3.00000000000182,103.999999999996,18.62,RelativeVWAP
60,MGC 02-26,2025-12-01 21:02:31,4252.2,2025-12-01 21:02:39,4282.2,Short,-300.000000000009,9.00000000000546,8.99999999999636,0.15,RelativeVWAP
61,MGC 02-26,2025-12-01 21:09:38,4240.9,2025-12-01 21:09:38,4292.5,Short,-516.000000000004,1.00000000000364,28.9999999999964,0.00,RelativeVWAP
62,MGC 02-26,2025-12-01 21:09:48,4220,2025-12-01 21:09:49,4263.3,Short,-433.000000000002,13.0000000000018,40,0.00,RelativeVWAP
63.1,MGC 02-26,2025-12-01 21:10:19,4231.7,2025-12-02 05:21:20,4231.7,Long,0,5.99999999999454,265,491.02,RelativeVWAP
63.2,MGC 02-26,2025-12-01 21:10:19,4231.7,2025-12-02 05:21:20,4231.7,Long,0,5.99999999999454,265,491.02,RelativeVWAP
64,MGC 02-26,2025-12-02 05:36:22,4215.9,2025-12-02 05:36:22,4269.3,Short,-534.000000000005,0,35,0.00,RelativeVWAP
65.1,MGC 02-26,2025-12-02 06:05:55,4219.4,2025-12-02 11:26:09,4219.4,Long,0,65,430,320.22,RelativeVWAP
65.2,MGC 02-26,2025-12-02 06:05:55,4219.4,2025-12-02 11:26:09,4219.4,Long,0,65,430,320.22,RelativeVWAP
66,MGC 02-26,2025-12-02 11:54:37,4210.9,2025-12-02 11:54:41,4262.5,Short,-516.000000000004,9.00000000000546,7.99999999999272,0.08,RelativeVWAP
67,MGC 02-26,2025-12-02 11:54:42,4208.3,2025-12-02 11:54:42,4236.7,Short,-284.000000000015,0,30.9999999999945,0.00,RelativeVWAP
68.1,MGC 02-26,2025-12-02 11:55:48,4205,2025-12-02 11:58:03,4201.3,Long,-37.0000000000073,48.0000000000018,23.0000000000018,2.25,RelativeVWAP
68.2,MGC 02-26,2025-12-02 11:55:48,4205,2025-12-02 11:58:03,4201.3,Long,-37.0000000000073,48.0000000000018,23.0000000000018,2.25,RelativeVWAP
69,MGC 02-26,2025-12-03 05:08:04,4230.9,2025-12-03 05:08:05,4260.1,Short,-292.000000000007,0,8.99999999999636,0.01,RelativeVWAP
70.1,MGC 02-26,2025-12-03 05:23:02,4229.7,2025-12-03 06:11:10,4227.2,Long,-25,30,39.0000000000055,48.13,RelativeVWAP
70.2,MGC 02-26,2025-12-03 05:23:02,4229.7,2025-12-03 06:11:10,4227.2,Long,-25,30,39.0000000000055,48.13,RelativeVWAP
