TradeId,Instrument,EntryTime,EntryPrice,ExitTime,ExitPrice,Direction,Profit,MAE,MFE,DurationMin,SetupType
1,MNQ 03-26,2025-11-19 05:48:00,24910.25,2025-11-19 05:49:00,24699.5,Long,-421.5,11.5,10,1.00,RelativeVWAP
2.1,MNQ 03-26,2025-11-19 06:36:00,24953.25,2025-11-19 06:55:00,24960.5,Short,-14.5,17.5,47,19.00,RelativeVWAP
2.2,MNQ 03-26,2025-11-19 06:36:00,24953.25,2025-11-19 06:55:00,24960.5,Short,-14.5,17.5,47,19.00,RelativeVWAP
3,MNQ 03-26,2025-11-19 10:44:00,24985,2025-11-19 10:45:00,24821.75,Long,-326.5,15,53.5,1.00,RelativeVWAP
4.1,MNQ 03-26,2025-11-19 11:25:00,25224.25,2025-11-19 13:34:00,24988.4863290928,Short,471.527341814399,0,816.5,129.00,RelativeVWAP
4.2,MNQ 03-26,2025-11-19 11:25:00,25224.25,2025-11-19 13:34:00,24822,Short,804.5,0,816.5,129.00,RelativeVWAP
5,MNQ 03-26,2025-11-19 13:34:00,24821.75,2025-11-19 13:35:00,24985,Short,-326.5,26.5,9,1.00,RelativeVWAP
6.1,MNQ 03-26,2025-11-19 16:47:00,24968.5,2025-11-19 16:48:00,24957.3127378986,Long,-22.3745242027726,0,49.5,1.00,RelativeVWAP
6.2,MNQ 03-26,2025-11-19 16:47:00,24968.5,2025-11-19 16:48:00,24984.75,Long,32.5,0,49.5,1.00,RelativeVWAP
7,MNQ 03-26,2025-11-19 19:02:00,25241.5,2025-11-19 19:03:00,24761,Long,-961,0,64,1.00,RelativeVWAP
8.1,MNQ 03-26,2025-11-19 19:34:00,25317.25,2025-11-19 19:47:00,25348,Short,-61.5,71.5,14.5,13.00,RelativeVWAP
8.2,MNQ 03-26,2025-11-19 19:34:00,25317.25,2025-11-19 19:47:00,25348,Short,-61.5,71.5,14.5,13.00,RelativeVWAP
9,MNQ 03-26,2025-11-20 09:32:00,25462.5,2025-11-20 09:33:00,25203.5,Long,-518,0,44.5,1.00,RelativeVWAP
10.1,MNQ 03-26,2025-11-20 09:38:00,25457.5,2025-11-20 09:50:00,25497.5,Short,-80,80.5,72.5,12.00,RelativeVWAP
10.2,MNQ 03-26,2025-11-20 09:38:00,25457.5,2025-11-20 09:50:00,25497.5,Short,-80,80.5,72.5,12.00,RelativeVWAP
11,MNQ 03-26,2025-11-20 10:49:00,25518.5,2025-11-20 10:50:00,25275,Long,-487,133,0,1.00,RelativeVWAP
12.1,MNQ 03-26,2025-11-20 11:19:00,25490,2025-11-20 11:38:00,25553.75,Short,-127.5,144.5,88.5,19.00,RelativeVWAP
12.2,MNQ 03-26,2025-11-20 11:19:00,25490,2025-11-20 11:38:00,25553.75,Short,-127.5,144.5,88.5,19.00,RelativeVWAP
13,MNQ 03-26,2025-11-20 12:13:00,25275,2025-11-20 12:14:00,25518.5,Short,-487,52.5,10.5,1.00,RelativeVWAP
14,MNQ 03-26,2025-11-20 12:18:00,25203.5,2025-11-20 12:19:00,25462.5,Short,-518,81.5,40,1.00,RelativeVWAP
15.1,MNQ 03-26,2025-11-20 12:30:00,25150,2025-11-20 12:31:00,25136.75,Long,-26.5,30.5,53,1.00,RelativeVWAP
15.2,MNQ 03-26,2025-11-20 12:30:00,25150,2025-11-20 12:31:00,25136.75,Long,-26.5,30.5,53,1.00,RelativeVWAP
16,MNQ 03-26,2025-11-20 13:08:00,24761,2025-11-20 13:09:00,25241.5,Short,-961,163.5,14,1.00,RelativeVWAP
17,MNQ 03-26,2025-11-20 13:13:00,24699.5,2025-11-20 13:14:00,24910.25,Short,-421.5,48.5,36.5,1.00,RelativeVWAP
