TradeId,Instrument,EntryTime,EntryPrice,ExitTime,ExitPrice,Direction,Profit,MAE,MFE,DurationMin,SetupType
1.1,MNQ 03-26,2025-11-17 04:18:00,25592.75,2025-11-17 04:21:00,25595,Short,-4.5,7.5,14,3.00,RelativeVWAP
1.2,MNQ 03-26,2025-11-17 04:18:00,25592.75,2025-11-17 04:21:00,25595,Short,-4.5,7.5,14,3.00,RelativeVWAP
2.1,MNQ 03-26,2025-11-17 10:04:00,25300,2025-11-17 10:28:00,25263.25,Long,-73.5,79.5,30.5,24.00,RelativeVWAP
2.2,MNQ 03-26,2025-11-17 10:04:00,25300,2025-11-17 10:28:00,25263.25,Long,-73.5,79.5,30.5,24.00,RelativeVWAP
3.1,MNQ 03-26,2025-11-17 10:31:00,25208.5,2025-11-17 12:17:00,25208.5,Long,0,16,599,106.00,RelativeVWAP
3.2,MNQ 03-26,2025-11-17 10:31:00,25208.5,2025-11-17 12:17:00,25208.5,Long,0,16,599,106.00,RelativeVWAP
4.1,MNQ 03-26,2025-11-18 00:15:00,24969.5,2025-11-18 00:16:00,24969.25,Long,-0.5,7.5,16.5,1.00,RelativeVWAP
4.2,MNQ 03-26,2025-11-18 00:15:00,24969.5,2025-11-18 00:16:00,24969.25,Long,-0.5,7.5,16.5,1.00,RelativeVWAP
5.1,MNQ 03-26,2025-11-18 10:56:00,24796,2025-11-18 10:57:00,24795.75,Long,-0.5,8,56,1.00,RelativeVWAP
5.2,MNQ 03-26,2025-11-18 10:56:00,24796,2025-11-18 10:57:00,24795.75,Long,-0.5,8,56,1.00,RelativeVWAP
6.1,MNQ 03-26,2025-11-19 05:51:00,24914.75,2025-11-19 05:52:00,24915.5,Short,-1.5,2.5,10.5,1.00,RelativeVWAP
6.2,MNQ 03-26,2025-11-19 05:51:00,24914.75,2025-11-19 05:52:00,24915.5,Short,-1.5,2.5,10.5,1.00,RelativeVWAP
7.1,MNQ 03-26,2025-11-19 10:45:00,25011.75,2025-11-19 10:46:00,25012,Short,-0.5,13.5,70.5,1.00,RelativeVWAP
7.2,MNQ 03-26,2025-11-19 10:45:00,25011.75,2025-11-19 10:46:00,25012,Short,-0.5,13.5,70.5,1.00,RelativeVWAP
8.1,MNQ 03-26,2025-11-19 10:59:00,25133.25,2025-11-19 11:00:00,25133.5,Short,-0.5,43,15,1.00,RelativeVWAP
8.2,MNQ 03-26,2025-11-19 10:59:00,25133.25,2025-11-19 11:00:00,25133.5,Short,-0.5,43,15,1.00,RelativeVWAP
9.1,MNQ 03-26,2025-11-19 11:17:00,25238.25,2025-11-19 11:18:00,25238.5,Short,-0.5,6,42.5,1.00,RelativeVWAP
9.2,MNQ 03-26,2025-11-19 11:17:00,25238.25,2025-11-19 11:18:00,25238.5,Short,-0.5,6,42.5,1.00,RelativeVWAP
10.1,MNQ 03-26,2025-11-19 16:50:00,24955.75,2025-11-19 16:51:00,24957.4198332483,Long,3.33966649664217,45,70,1.00,RelativeVWAP
10.2,MNQ 03-26,2025-11-19 16:50:00,24955.75,2025-11-19 16:51:00,24984.75,Long,58,45,70,1.00,RelativeVWAP
11.1,MNQ 03-26,2025-11-19 19:10:00,25314.5,2025-11-19 19:12:00,25314.75,Short,-0.5,21,30.5,2.00,RelativeVWAP
11.2,MNQ 03-26,2025-11-19 19:10:00,25314.5,2025-11-19 19:12:00,25314.75,Short,-0.5,21,30.5,2.00,RelativeVWAP
12.1,MNQ 03-26,2025-11-20 09:38:00,25457.5,2025-11-20 09:50:00,25497.5,Short,-80,80.5,72.5,12.00,RelativeVWAP
12.2,MNQ 03-26,2025-11-20 09:38:00,25457.5,2025-11-20 09:50:00,25497.5,Short,-80,80.5,72.5,12.00,RelativeVWAP
13.1,MNQ 03-26,2025-11-20 10:02:00,25494,2025-11-20 10:49:00,25518.5,Short,-49,54.5,191.5,47.00,RelativeVWAP
13.2,MNQ 03-26,2025-11-20 10:02:00,25494,2025-11-20 10:49:00,25518.5,Short,-49,54.5,191.5,47.00,RelativeVWAP
14.1,MNQ 03-26,2025-11-20 10:57:00,25546.75,2025-11-20 11:01:00,25547,Short,-0.5,13.5,87.5,4.00,RelativeVWAP
14.2,MNQ 03-26,2025-11-20 10:57:00,25546.75,2025-11-20 11:01:00,25547,Short,-0.5,13.5,87.5,4.00,RelativeVWAP
15.1,MNQ 03-26,2025-11-20 12:23:00,25145.75,2025-11-20 12:26:00,25145.5,Long,-0.5,17.5,101.5,3.00,RelativeVWAP
15.2,MNQ 03-26,2025-11-20 12:23:00,25145.75,2025-11-20 12:26:00,25145.5,Long,-0.5,17.5,101.5,3.00,RelativeVWAP
16.1,MNQ 03-26,2025-11-20 13:11:00,24744,2025-11-20 13:12:00,24721.75,Long,-44.5,86,63.5,1.00,RelativeVWAP
