Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 12-25,Playback101,,Short,2,25778.50,25782.75,7/12/25 10:31:35 p. m.,7/12/25 10:36:38 p. m.,EntryShort,SL_Short,$-1700,$-1700,$000,$000,$000,$000,$000,$2100,$500,$2200,6,
2,MES 12-25,Playback101,,Short,2,6886.00,6886.75,7/12/25 10:31:35 p. m.,7/12/25 10:37:25 p. m.,EntryShort,SL_Short,$-750,$-2450,$000,$000,$000,$000,$000,$750,$250,$1000,7,
3,MES 12-25,Playback101,,Short,2,6891.50,6892.75,8/12/25 2:32:41 a. m.,8/12/25 3:20:06 a. m.,EntryShort,SL_Short,$-1250,$-3700,$000,$000,$000,$000,$000,$1500,$5250,$6500,49,
4,M2K 12-25,Playback101,,Short,1,2532.9,2534.0,8/12/25 5:44:08 a. m.,8/12/25 6:33:05 a. m.,EntryShort,SL_Short,$-550,$-4250,$000,$000,$000,$000,$000,$700,$750,$1300,43,
5,M2K 12-25,Playback101,,Short,1,2532.9,2534.0,8/12/25 5:44:08 a. m.,8/12/25 6:33:05 a. m.,EntryShort,SL_Short,$-550,$-4800,$000,$000,$000,$000,$000,$700,$750,$1300,43,
6,MCL 01-26,Playback101,,Long,2,59.43,59.36,8/12/25 7:24:24 a. m.,8/12/25 8:32:51 a. m.,EntryLong,SL_Long,$-1400,$-6200,$000,$000,$000,$000,$000,$2000,$1600,$3000,69,
7,M2K 12-25,Playback101,,Short,1,2536.7,2537.8,8/12/25 9:00:12 a. m.,8/12/25 9:18:24 a. m.,EntryShort,Buy to cover,$-550,$-6750,$000,$000,$000,$000,$000,$550,$250,$800,19,
8,M2K 12-25,Playback101,,Short,1,2536.7,2537.8,8/12/25 9:00:12 a. m.,8/12/25 9:18:24 a. m.,EntryShort,Buy to cover,$-550,$-7300,$000,$000,$000,$000,$000,$550,$250,$800,19,
9,M2K 12-25,Playback101,,Short,1,2536.6,2539.6,8/12/25 9:44:02 a. m.,8/12/25 9:59:54 a. m.,EntryShort,SL_Short,$-1500,$-8800,$000,$000,$000,$000,$000,$1600,$050,$1550,16,
10,M2K 12-25,Playback101,,Short,1,2536.6,2539.6,8/12/25 9:44:02 a. m.,8/12/25 9:59:54 a. m.,EntryShort,SL_Short,$-1500,$-10300,$000,$000,$000,$000,$000,$1600,$050,$1550,16,
11,M2K 12-25,Playback101,,Short,2,2544.8,2545.4,8/12/25 10:23:03 a. m.,8/12/25 10:23:38 a. m.,EntryShort,SL_Short,$-600,$-10900,$000,$000,$000,$000,$000,$600,$400,$1000,1,
12,MNQ 12-25,Playback101,,Short,1,25803.00,25784.50,8/12/25 9:44:04 a. m.,8/12/25 10:27:44 a. m.,EntryShort,TP1_Short,$3700,$-7200,$000,$000,$000,$000,$000,$4200,$4950,$1250,44,
13,MYM 12-25,Playback101,,Short,1,48044,48012,8/12/25 10:28:29 a. m.,8/12/25 10:30:02 a. m.,EntryShort,TP1_Short,$1600,$-5600,$000,$000,$000,$000,$000,$000,$4700,$3100,3,
14,MNQ 12-25,Playback101,,Short,1,25803.00,25803.00,8/12/25 9:44:04 a. m.,8/12/25 10:30:14 a. m.,EntryShort,SL_Short,$000,$-5600,$000,$000,$000,$000,$000,$4200,$4950,$4950,47,
15,MYM 12-25,Playback101,,Short,1,48044,47955,8/12/25 10:28:29 a. m.,8/12/25 10:30:32 a. m.,EntryShort,TP2_Short,$4450,$-1150,$000,$000,$000,$000,$000,$000,$4700,$250,3,
16,MNQ 12-25,Playback101,,Short,1,25832.25,25794.00,8/12/25 10:36:01 a. m.,8/12/25 10:40:06 a. m.,EntryShort,TP1_Short,$7650,$6500,$000,$000,$000,$000,$000,$250,$14250,$6600,5,
17,MNQ 12-25,Playback101,,Short,1,25832.25,25762.00,8/12/25 10:36:01 a. m.,8/12/25 10:48:21 a. m.,EntryShort,TP2_Short,$14050,$20550,$000,$000,$000,$000,$000,$250,$14250,$200,13,
18,MES 12-25,Playback101,,Long,2,6877.00,6872.00,8/12/25 10:45:20 a. m.,8/12/25 10:49:03 a. m.,EntryLong,SL_Long,$-5000,$15550,$000,$000,$000,$000,$000,$5750,$4000,$9000,5,
19,MGC 02-26,Playback101,,Long,1,4228.8,4237.1,8/12/25 10:48:47 a. m.,8/12/25 10:56:46 a. m.,EntryLong,TP1_Long,$8300,$23850,$000,$000,$000,$000,$000,$1100,$11900,$3600,9,
20,MGC 02-26,Playback101,,Long,1,4228.7,4228.8,8/12/25 10:48:47 a. m.,8/12/25 10:58:01 a. m.,EntryLong,SL_Long,$100,$23950,$000,$000,$000,$000,$000,$1000,$12000,$11900,11,
21,MYM 12-25,Playback101,,Short,1,47926,47925,8/12/25 11:00:52 a. m.,8/12/25 11:00:52 a. m.,TP1_Long,EntryLong,$050,$24000,$000,$000,$000,$000,$000,$050,$050,$000,1,
22,MYM 12-25,Playback101,,Long,1,47925,47924,8/12/25 11:00:52 a. m.,8/12/25 11:01:31 a. m.,EntryLong,Sell,$-050,$23950,$000,$000,$000,$000,$000,$050,$550,$600,2,
23,MES 12-25,Playback101,,Long,2,6862.25,6857.75,8/12/25 11:30:26 a. m.,8/12/25 11:55:33 a. m.,EntryLong,SL_Long,$-4500,$19450,$000,$000,$000,$000,$000,$5000,$7750,$12250,26,
24,MNQ 12-25,Playback101,,Long,2,25697.00,25656.50,8/12/25 11:41:04 a. m.,8/12/25 11:56:14 a. m.,EntryLong,SL_Long,$-16200,$3250,$000,$000,$000,$000,$000,$17200,$2600,$18800,16,
25,MNQ 12-25,Playback101,,Long,2,25668.25,25649.75,8/12/25 11:59:15 a. m.,8/12/25 12:00:15 p. m.,EntryLong,SL_Long,$-7400,$-4150,$000,$000,$000,$000,$000,$8900,$400,$7800,2,
26,M2K 12-25,Playback101,,Long,1,2525.4,2533.1,8/12/25 12:09:14 p. m.,8/12/25 12:28:52 p. m.,EntryLong,TP1_Long,$3850,$-300,$000,$000,$000,$000,$000,$150,$4150,$300,20,
27,M2K 12-25,Playback101,,Long,1,2525.4,2533.5,8/12/25 12:09:14 p. m.,8/12/25 12:29:02 p. m.,EntryLong,TP2_Long,$4050,$3750,$000,$000,$000,$000,$000,$150,$4150,$100,21,
28,MES 12-25,Playback101,,Long,1,6853.75,6848.25,8/12/25 12:14:40 p. m.,8/12/25 1:02:29 p. m.,EntryLong,SL_Long,$-2750,$1000,$000,$000,$000,$000,$000,$3125,$3500,$6250,49,
29,MES 12-25,Playback101,,Long,1,6853.75,6848.25,8/12/25 12:14:40 p. m.,8/12/25 1:02:29 p. m.,EntryLong,SL_Long,$-2750,$-1750,$000,$000,$000,$000,$000,$3125,$3500,$6250,49,
