Title,Country,Date,Time,Impact,Forecast,Previous,URL
FOMC Member Kashkari Speaks,USD,01-04-2026,5:30pm,Low,,,https://www.metalsmine.com/calendar/651-us-fomc-member-kashkari-speaks
RatingDog Services PMI,CNY,01-05-2026,1:45am,Low,52.0,52.1,https://www.metalsmine.com/calendar/591-ch-ratingdog-services-pmi
Manufacturing PMI,CHF,01-05-2026,8:30am,Low,49.7,49.7,https://www.metalsmine.com/calendar/273-sz-manufacturing-pmi
LME Copper Inventories,GBP,01-05-2026,9:00am,Medium,,-2100,https://www.metalsmine.com/calendar/693-uk-lme-copper-inventories
M4 Money Supply m/m,GBP,01-05-2026,9:30am,Low,-0.1%,-0.2%,https://www.metalsmine.com/calendar/348-uk-m4-money-supply-mm
ISM Manufacturing PMI,USD,01-05-2026,3:00pm,Medium,48.3,48.2,https://www.metalsmine.com/calendar/252-us-ism-manufacturing-pmi
ISM Manufacturing Prices,USD,01-05-2026,3:00pm,Low,59.0,58.5,https://www.metalsmine.com/calendar/255-us-ism-manufacturing-prices
Wards Total Vehicle Sales,USD,01-05-2026,3:15pm,Low,15.7M,15.6M,https://www.metalsmine.com/calendar/828-us-wards-total-vehicle-sales
Monetary Base y/y,JPY,01-05-2026,11:50pm,Low,-8.0%,-8.5%,https://www.metalsmine.com/calendar/377-jn-monetary-base-yy
Prelim CPI m/m,EUR,01-06-2026,7:29am,Low,0.3%,-0.2%,https://www.metalsmine.com/calendar/169-ge-prelim-cpi-mm
Prelim CPI m/m,EUR,01-06-2026,7:45am,Low,0.2%,-0.1%,https://www.metalsmine.com/calendar/556-fr-prelim-cpi-mm
Final Services PMI,EUR,01-06-2026,8:55am,Low,52.6,52.6,https://www.metalsmine.com/calendar/620-ge-final-services-pmi
LME Copper Inventories,GBP,01-06-2026,9:00am,Medium,,-2775,https://www.metalsmine.com/calendar/693-uk-lme-copper-inventories
Final Services PMI,GBP,01-06-2026,9:30am,Low,52.1,52.1,https://www.metalsmine.com/calendar/250-uk-final-services-pmi
FOMC Member Barkin Speaks,USD,01-06-2026,1:00pm,Low,,,https://www.metalsmine.com/calendar/728-us-fomc-member-barkin-speaks
Final Services PMI,USD,01-06-2026,2:45pm,Low,52.9,52.9,https://www.metalsmine.com/calendar/584-us-final-services-pmi
President Trump Speaks,USD,01-06-2026,7:00pm,Medium,,,https://www.metalsmine.com/calendar/645-us-president-trump-speaks
CPI m/m,AUD,01-07-2026,12:30am,Low,0.1%,0.0%,https://www.metalsmine.com/calendar/98-au-cpi-mm
CPI y/y,AUD,01-07-2026,12:30am,Low,3.6%,3.8%,https://www.metalsmine.com/calendar/888-au-cpi-yy
Trimmed Mean CPI m/m,AUD,01-07-2026,12:30am,Low,0.2%,0.3%,https://www.metalsmine.com/calendar/99-au-trimmed-mean-cpi-mm
LME Copper Inventories,GBP,01-07-2026,9:00am,Medium,,3525,https://www.metalsmine.com/calendar/693-uk-lme-copper-inventories
Construction PMI,GBP,01-07-2026,9:30am,Low,42.4,39.4,https://www.metalsmine.com/calendar/251-uk-construction-pmi
Core CPI Flash Estimate y/y,EUR,01-07-2026,10:00am,Low,2.4%,2.4%,https://www.metalsmine.com/calendar/593-ez-core-cpi-flash-estimate-yy
CPI Flash Estimate y/y,EUR,01-07-2026,10:00am,Low,2.0%,2.2%,https://www.metalsmine.com/calendar/168-ez-cpi-flash-estimate-yy
Prelim CPI m/m,EUR,01-07-2026,10:00am,Low,0.2%,-0.2%,https://www.metalsmine.com/calendar/172-it-prelim-cpi-mm
ADP Non-Farm Employment Change,USD,01-07-2026,1:15pm,Medium,49K,-32K,https://www.metalsmine.com/calendar/75-us-adp-non-farm-employment-change
Ivey PMI,CAD,01-07-2026,3:00pm,Low,49.5,48.4,https://www.metalsmine.com/calendar/254-ca-ivey-pmi
ISM Services PMI,USD,01-07-2026,3:00pm,High,52.2,52.6,https://www.metalsmine.com/calendar/253-us-ism-services-pmi
JOLTS Job Openings,USD,01-07-2026,3:00pm,Medium,7.61M,7.67M,https://www.metalsmine.com/calendar/578-us-jolts-job-openings
