Date,Event,Impact,Currency
"2022, November 20, 13:00","(Slovakia) Unemployment Rate",Low,EUR
"2022, November 20, 19:30","(Euro Area) ECB President Lagarde Speech",Medium,EUR
"2022, November 20, 23:01","(Ireland) Consumer Confidence",Low,EUR
"2022, November 21, 02:00","(New Zealand) Credit Card Spending YoY",Low,NZD
"2022, November 21, 05:30","(Netherlands) Consumer Confidence",Medium,EUR
"2022, November 21, 06:00","(Estonia) PPI YoY",Low,EUR
"2022, November 21, 06:00","(Estonia) PPI MoM",Low,EUR
"2022, November 21, 07:00","(Germany) PPI MoM",Medium,EUR
"2022, November 21, 07:00","(Germany) PPI YoY",Low,EUR
"2022, November 21, 08:00","(Euro Area) ECB Fernandez-Bollo Speech",Low,EUR
"2022, November 21, 09:00","(Greece) Current Account",Low,EUR
"2022, November 21, 09:05","(United Kingdom) BoE Cunliffe Speech",Low,GBP
"2022, November 21, 09:30","(Slovenia) PPI YoY",Low,EUR
"2022, November 21, 10:30","(Germany) 12-Month Bubill Auction",Low,EUR
"2022, November 21, 11:00","(Luxembourg) Unemployment Rate",Low,EUR
"2022, November 21, 12:00","(Montenegro) Current Account",Low,EUR
"2022, November 21, 12:00","(Slovenia) Unemployment Rate",Low,EUR
"2022, November 21, 13:30","(United States) Chicago Fed National Activity Index",Medium,USD
"2022, November 21, 14:00","(France) 12-Month BTF Auction",Low,EUR
"2022, November 21, 14:00","(France) 6-Month BTF Auction",Low,EUR
"2022, November 21, 14:00","(France) 3-Month BTF Auction",Low,EUR
"2022, November 21, 16:30","(United States) 6-Month Bill Auction",Low,USD
"2022, November 21, 16:30","(United States) 2-Year Note Auction",Low,USD
"2022, November 21, 18:00","(United States) 3-Month Bill Auction",Low,USD
"2022, November 21, 18:00","(United States) 5-Year Note Auction",Low,USD
"2022, November 21, 21:30","(El Salvador) Balance of Trade",Low,USD
"2022, November 21, 21:45","(New Zealand) Exports",Low,NZD
"2022, November 21, 21:45","(New Zealand) Imports",Low,NZD
"2022, November 21, 21:45","(New Zealand) Balance of Trade",Medium,NZD
"2022, November 22, 06:00","(Finland) Unemployment Rate",Low,EUR
"2022, November 22, 07:00","(United Kingdom) Public Sector Net Borrowing",Low,GBP
"2022, November 22, 07:00","(United Kingdom) Public Sector Net Borrowing Ex Banks",Low,GBP
"2022, November 22, 07:00","(Australia) RBA Gov Lowe Speech",High,AUD
"2022, November 22, 08:10","(Slovakia) Current Account",Low,EUR
"2022, November 22, 09:00","(Euro Area) Current Account s.a",Low,EUR
"2022, November 22, 09:00","(Euro Area) Current Account",Low,EUR
"2022, November 22, 09:30","(Slovenia) Consumer Confidence",Low,EUR
"2022, November 22, 10:00","(Belgium) Consumer Confidence",Low,EUR
"2022, November 22, 10:00","(Italy) Current Account",Low,EUR
"2022, November 22, 10:00","(France) OECD Economic Outlook",Medium,EUR
"2022, November 22, 10:30","(Germany) 5-Year Bobl Auction",Low,EUR
"2022, November 22, 11:00","(Ireland) Balance of Trade",Low,EUR
