ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,6E 03-26,2025-12-15 04:11:00,Long,1.17815,2025-12-15 04:14:00,1.17795,SL_Long_01,-100.00,24.72,-124.72,-100.00,75.00,Asia Low,1,-1.00,0,1,0,0
2,6E 03-26,2025-12-15 06:42:00,Short,1.17959917711599,2025-12-15 07:16:00,1.17995,SL_Short_01,-87.71,12.36,-100.07,-87.71,62.29,Asia High,1,-1.00,0,1,0,0
3,6E 03-26,2025-12-15 07:20:00,Short,1.1799,2025-12-15 07:20:00,1.18,SL_Short_02,-87.50,43.26,-130.76,-87.50,0.00,Asia High,2,-1.00,0,1,0,0
4,6E 03-26,2025-12-15 07:34:00,Short,1.18005,2025-12-15 07:34:00,1.1801,SL_Short_03,-56.25,55.62,-111.87,-56.25,0.00,Asia High,3,-1.00,0,1,0,0
5,6E 03-26,2025-12-15 07:40:00,Short,1.18,2025-12-15 07:41:00,1.18015,SL_Short_04,-93.75,30.90,-124.65,-93.75,0.00,Asia High,4,-1.00,0,1,0,0
6,6E 03-26,2025-12-15 07:54:00,Short,1.18,2025-12-15 07:55:00,1.18025,SL_Short_05,-93.75,18.54,-112.29,-93.75,0.00,Asia High,5,-1.00,0,1,0,0
7,6E 03-26,2025-12-15 08:16:00,Short,1.18045,2025-12-15 08:20:00,1.18055,SL_Short_06,-87.50,43.26,-130.76,-87.50,43.75,Asia High,6,-1.00,0,1,0,0
8,6E 03-26,2025-12-15 08:36:00,Short,1.1807,2025-12-15 08:36:00,1.18075,SL_Short_07,-75.00,74.16,-149.16,0.00,0.00,Asia High,7,-1.00,0,1,0,0
9,6E 03-26,2025-12-15 08:46:00,Short,1.1807,2025-12-15 08:47:00,1.18085,SL_Short_08,-93.75,30.90,-124.65,-93.75,0.00,Asia High,8,-1.00,0,1,0,0
10,6E 03-26,2025-12-15 09:01:00,Short,1.18079834515367,2025-12-15 09:35:00,1.18125,SL_Short_09,-112.91,12.36,-125.27,-112.91,99.59,Asia High,9,-1.00,0,1,0,0
11.1,6E 03-26,2025-12-15 09:47:00,Short,1.181,2025-12-15 10:01:00,1.1798,TP1_Short_10,150.00,6.18,143.82,-25.00,312.50,Asia High,10,1.71,0,1,0,0
11.2,6E 03-26,2025-12-15 09:47:00,Short,1.181,2025-12-15 10:38:00,1.181,SL_Short_10,0.00,6.18,-6.18,-25.00,312.50,Asia High,10,0.00,0,1,0,0
12.1,6E 03-26,2025-12-15 11:12:00,Short,1.18184702203693,2025-12-15 13:25:00,1.1802,TP1_Short_01,205.88,6.18,199.70,-75.74,424.26,Europe High,1,2.33,0,1,0,0
12.2,6E 03-26,2025-12-15 11:12:00,Short,1.18184702203693,2025-12-16 04:16:00,1.18184702203693,SL_Short_01,0.00,6.18,-6.18,-75.74,424.26,Europe High,1,0.00,0,1,0,0
13,6E 03-26,2025-12-16 08:42:00,Short,1.18184821232124,2025-12-16 08:56:00,1.18225,SL_Short_01,-100.45,12.36,-112.81,-100.45,12.05,USA High,1,-1.00,0,1,0,0
14,6E 03-26,2025-12-16 09:05:00,Short,1.18295,2025-12-16 09:05:00,1.18305,SL_Short_02,-87.50,43.26,-130.76,-87.50,0.00,USA High,2,-1.00,0,1,0,0
15,6E 03-26,2025-12-16 09:22:00,Short,1.18279989242685,2025-12-16 09:31:00,1.1831,SL_Short_03,-75.03,12.36,-87.39,-75.03,162.47,USA High,3,-1.00,0,1,0,0
16.1,6E 03-26,2025-12-16 09:37:00,Short,1.1836,2025-12-16 09:45:00,1.1819,TP1_Short_04,212.50,6.18,206.32,-37.50,437.50,USA High,4,0.68,0,1,0,0
16.2,6E 03-26,2025-12-16 09:37:00,Short,1.1836,2025-12-16 10:27:00,1.1836,SL_Short_04,0.00,6.18,-6.18,-37.50,437.50,USA High,4,0.00,0,1,0,0
17.1,6E 03-26,2025-12-17 11:52:00,Short,1.18059811017289,2025-12-18 05:13:00,1.1777,TP1_Short_01,362.26,6.18,356.08,-37.97,737.03,Asia High,1,4.12,0,1,0,0
17.2,6E 03-26,2025-12-17 11:52:00,Short,1.18059811017289,2025-12-18 05:14:00,1.17765,TP2_Short_01,368.51,6.18,362.33,-37.97,737.03,Asia High,1,4.19,0,1,0,0
18.1,6E 03-26,2025-12-18 10:04:00,Short,1.18044908400357,2025-12-18 10:20:00,1.17895,TP1_Short_01,187.39,6.18,181.21,-12.73,387.27,USA High,1,0.94,0,1,0,0
18.2,6E 03-26,2025-12-18 10:04:00,Short,1.18044908400357,2025-12-18 10:23:00,1.17885,TP2_Short_01,199.89,6.18,193.71,-12.73,387.27,USA High,1,1.00,0,1,0,0
19,6E 03-26,2025-12-19 10:12:00,Short,1.1779,2025-12-19 10:14:00,1.178,SL_Short_01,-100.00,49.44,-149.44,-100.00,150.00,Asia High,1,-1.00,0,1,0,0
20,6E 03-26,2025-12-19 10:27:00,Short,1.17845,2025-12-19 10:27:00,1.17855,SL_Short_02,-87.50,43.26,-130.76,-87.50,0.00,Asia High,2,-1.00,0,1,0,0
21.1,6E 03-26,2025-12-19 10:32:00,Short,1.17825,2025-12-19 11:12:00,1.17715,TP1_Short_03,137.50,6.18,131.32,-37.50,287.50,Asia High,3,1.10,0,1,0,0
21.2,6E 03-26,2025-12-19 10:32:00,Short,1.17825,2025-12-19 18:00:00,1.1757,Exit on session close,318.75,6.18,312.57,-37.50,350.00,Asia High,3,5.10,0,1,0,0
1,6E 03-26,2025-12-11 22:02:00,Long,1.17885,2025-12-11 22:04:00,1.1786,SL_Long_01,-93.75,18.54,-112.29,-93.75,0.00,USA Low,1,-1.00,0,1,0,0
2,6E 03-26,2025-12-11 22:22:00,Long,1.17875134474328,2025-12-11 22:38:00,1.179,TP1_Long_02,62.16,12.36,49.80,-19.25,112.00,USA Low,2,0.66,0,1,0,0
2.2,6E 03-26,2025-12-11 22:22:00,Long,1.17875134474328,2025-12-11 22:40:00,1.17915,TP2_Long_02,49.83,6.18,43.65,-19.25,112.00,USA Low,2,0.53,0,1,0,0
3,6E 03-26,2025-12-12 05:14:00,Long,1.17830049261084,2025-12-12 06:26:00,1.17805,SL_Long_01,-93.93,18.54,-112.47,-93.93,206.07,Asia Low,1,-1.00,0,1,0,0
