ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,M2K 03-26,2025-12-15 04:45:00,Short,2588.6,2025-12-15 04:45:00,2588.7,SL_Short_01,-35.50,129.22,-164.72,-35.50,0.00,Asia High,1,-1.00,0,1,0,0
2,M2K 03-26,2025-12-15 04:49:00,Short,2588.2,2025-12-15 05:05:00,2589,SL_Short_02,-84.00,38.22,-122.22,-84.00,147.00,Asia High,2,-1.00,0,1,0,0
3,M2K 03-26,2025-12-15 05:12:00,Short,2589.7,2025-12-15 05:12:00,2589.9,SL_Short_03,-74.00,134.68,-208.68,-74.00,259.00,Asia High,3,-1.00,0,1,0,0
4,M2K 03-26,2025-12-15 05:15:00,Short,2591.3,2025-12-15 05:15:00,2591.5,SL_Short_04,-100.00,182.00,-282.00,-150.00,0.00,Asia High,4,-1.00,0,1,0,0
5,M2K 03-26,2025-12-15 05:33:00,Short,2590.47278481013,2025-12-15 05:54:00,2592.7,SL_Short_05,-100.22,16.38,-116.60,-100.22,0.00,Asia High,5,-1.00,0,1,0,0
6,M2K 03-26,2025-12-15 05:57:00,Short,2592.8,2025-12-15 05:58:00,2593,SL_Short_06,-100.00,182.00,-282.00,-100.00,0.00,Asia High,6,-1.00,0,1,0,0
7,M2K 03-26,2025-12-15 06:10:00,Short,2592.24285714286,2025-12-15 06:15:00,2593.2,SL_Short_07,-95.71,36.40,-132.11,-95.71,4.29,Asia High,7,-1.00,0,1,0,0
8,M2K 03-26,2025-12-15 06:18:00,Short,2593,2025-12-15 06:19:00,2593.8,SL_Short_08,-152.00,69.16,-221.16,-152.00,0.00,Asia High,8,-1.60,0,1,0,0
8.2,M2K 03-26,2025-12-15 06:18:00,Short,2593,2025-12-15 10:40:00,2582.3,TP1_Short_08,1016.50,34.58,981.92,-2204.00,760.00,Asia High,8,10.70,0,1,0,0
8.3,M2K 03-26,2025-12-15 06:18:00,Short,2593,2025-12-15 11:03:00,2569.1,TP2_Short_08,2270.50,34.58,2235.92,-5975.50,760.00,Asia High,8,23.90,0,1,0,0
8.4,M2K 03-26,2025-12-15 06:18:00,Short,2593,2025-12-19 18:00:00,2549.8,Exit on session close,16416.00,138.32,16277.68,-29773.00,760.00,Asia High,8,1.23,0,1,0,0
