ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MBT 01-26,2025-12-15 11:08:00,Long,88515.1972757163,2025-12-15 11:16:00,88045,SL_Long_01,-94.04,6.24,-100.28,-94.04,72.96,Asia Low,1,-1.00,0,1,0,0
2,MBT 01-26,2025-12-15 11:20:00,Long,87695,2025-12-15 11:20:00,87685,SL_Long_02,-100.00,312.00,-412.00,-100.00,2200.00,Asia Low,2,-1.00,0,1,0,0
3,MBT 01-26,2025-12-15 11:36:00,Long,87571.7686225551,2025-12-15 11:41:00,87295,SL_Long_03,-110.71,12.48,-123.19,-110.71,11.29,Asia Low,3,-1.00,0,1,0,0
4,MBT 01-26,2025-12-15 11:50:00,Long,87685.8280069727,2025-12-15 12:35:00,87235,SL_Long_04,-90.17,6.24,-96.41,-90.17,42.83,Asia Low,4,-1.00,0,1,0,0
5,MBT 01-26,2025-12-15 12:55:00,Long,86965,2025-12-15 13:33:00,86695,SL_Long_05,-108.00,12.48,-120.48,-108.00,84.00,Asia Low,5,-1.00,0,1,0,0
6,MBT 01-26,2025-12-15 13:45:00,Long,86505,2025-12-15 13:51:00,86345,SL_Long_06,-96.00,18.72,-114.72,-99.00,81.00,Asia Low,6,-1.00,0,1,0,0
7,MBT 01-26,2025-12-15 14:01:00,Long,86331.4465408805,2025-12-15 14:28:00,86195,SL_Long_07,-109.16,24.96,-134.12,-109.16,262.84,Asia Low,7,-1.08,0,1,0,0
8,MBT 01-26,2025-12-15 14:41:00,Long,86111.1382598331,2025-12-16 09:31:00,88395,TP1_Long_08,456.77,6.24,450.53,-76.84,686.66,Asia Low,8,4.67,0,1,0,0
8.2,MBT 01-26,2025-12-15 14:41:00,Long,86111.1382598331,2025-12-17 11:07:00,90760,TP2_Long_08,464.89,3.12,461.77,-76.84,686.66,Asia Low,8,4.75,0,1,0,0
9.1,MBT 01-26,2025-12-17 11:11:00,Short,90734.2009847807,2025-12-17 11:37:00,90030,TP2_Short_01,70.42,3.12,67.30,-91.74,212.76,Europe High,1,0.70,0,1,0,0
9.2,MBT 01-26,2025-12-17 11:11:00,Short,90734.2009847807,2025-12-17 11:48:00,88895,TP1_Short_01,367.84,6.24,361.60,-91.74,369.84,Europe High,1,3.65,0,1,0,0
10,MBT 01-26,2025-12-17 12:36:00,Long,86940.192550505,2025-12-17 14:43:00,86740,SL_Long_01,-100.10,15.60,-115.70,-110.10,407.40,Asia Low,1,-1.00,0,1,0,0
10.2,MBT 01-26,2025-12-17 12:36:00,Long,86940.192550505,2025-12-18 09:14:00,88635,TP2_Long_01,338.96,6.24,332.72,-950.00,412.50,Asia Low,1,3.39,0,1,0,0
10.3,MBT 01-26,2025-12-17 12:36:00,Long,86940.192550505,2025-12-18 09:31:00,88895,TP1_Long_01,586.44,9.36,577.08,-1133.00,412.50,Asia Low,1,5.86,0,1,0,0
10.4,MBT 01-26,2025-12-17 12:36:00,Long,86940.192550505,2025-12-19 18:00:00,88430,Exit on session close,1489.81,31.20,1458.61,-2389.50,2760.50,Asia Low,1,2.13,0,1,0,0
