ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MCL 02-26,2025-12-15 06:13:00,Long,57.26,2025-12-15 06:20:00,57.22,SL_Long_01,-100.00,38.50,-138.50,-100.00,75.00,Asia Low,1,-1.00,0,1,0,0
2,MCL 02-26,2025-12-15 06:27:00,Long,57.22,2025-12-15 06:47:00,57.18,SL_Long_02,-108.00,41.58,-149.58,-108.00,189.00,Asia Low,2,-1.00,0,1,0,0
3,MCL 02-26,2025-12-15 06:53:00,Long,57.18,2025-12-15 06:54:00,57.16,SL_Long_03,-86.00,66.22,-152.22,-86.00,43.00,Asia Low,3,-1.00,0,1,0,0
4,MCL 02-26,2025-12-15 07:11:00,Long,57.1901792114695,2025-12-15 07:31:00,57.14,SL_Long_04,-100.36,30.80,-131.16,-100.36,219.64,Asia Low,4,-1.00,0,1,0,0
5,MCL 02-26,2025-12-15 08:01:00,Long,56.9901809954751,2025-12-15 09:54:00,56.9,SL_Long_05,-99.20,16.94,-116.14,-99.20,318.80,Asia Low,5,-1.00,0,1,0,0
6,MCL 02-26,2025-12-15 10:04:00,Long,56.9101966873706,2025-12-15 10:45:00,56.82,SL_Long_06,-99.22,16.94,-116.16,-99.22,164.78,Asia Low,6,-1.00,0,1,0,0
7,MCL 02-26,2025-12-15 11:03:00,Long,56.78,2025-12-15 11:12:00,56.66,SL_Long_01,-96.00,12.32,-108.32,-96.00,56.00,Europe Low,1,-1.00,0,1,0,0
8,MCL 02-26,2025-12-15 11:27:00,Long,56.770050167224,2025-12-15 11:39:00,56.65,SL_Long_02,-96.04,12.32,-108.36,-96.04,7.96,Europe Low,2,-1.00,0,1,0,0
9,MCL 02-26,2025-12-15 11:44:00,Long,56.71,2025-12-15 11:54:00,56.62,SL_Long_03,-99.00,16.94,-115.94,-99.00,99.00,Europe Low,3,-1.00,0,1,0,0
10,MCL 02-26,2025-12-15 12:13:00,Long,56.57,2025-12-15 12:25:00,56.48,SL_Long_04,-90.00,15.40,-105.40,-90.00,70.00,Europe Low,4,-1.00,0,1,0,0
11,MCL 02-26,2025-12-15 12:32:00,Long,56.5500444444446,2025-12-15 12:34:00,56.47,SL_Long_05,-88.05,16.94,-104.99,-88.05,0.00,Europe Low,5,-1.00,0,1,0,0
12,MCL 02-26,2025-12-15 14:02:00,Long,56.4311926192622,2025-12-16 01:26:00,56.26,SL_Long_06,-102.72,9.24,-111.96,-102.72,197.28,Europe Low,6,-1.00,0,1,0,0
13,MCL 02-26,2025-12-16 01:42:00,Long,56.2,2025-12-16 01:42:00,56.19,SL_Long_01,-2.00,3.08,-5.08,-2.00,0.00,USA Low,1,-1.00,0,1,0,0
14,MCL 02-26,2025-12-16 04:19:00,Long,56.06,2025-12-16 04:22:00,56.04,SL_Long_01,-56.00,43.12,-99.12,-56.00,84.00,Asia Low,1,-1.00,0,1,0,0
15,MCL 02-26,2025-12-16 04:31:00,Long,55.98,2025-12-16 04:31:00,55.95,SL_Long_02,-81.00,41.58,-122.58,-81.00,0.00,Asia Low,2,-1.00,0,1,0,0
16,MCL 02-26,2025-12-16 05:02:00,Long,55.94,2025-12-16 05:32:00,55.81,SL_Long_03,-91.00,10.78,-101.78,-91.00,70.00,Asia Low,3,-1.00,0,1,0,0
17,MCL 02-26,2025-12-16 05:46:00,Long,55.75,2025-12-16 05:49:00,55.72,SL_Long_04,-60.00,30.80,-90.80,-60.00,40.00,Asia Low,4,-1.00,0,1,0,0
18,MCL 02-26,2025-12-16 05:55:00,Long,55.74,2025-12-16 06:01:00,55.71,SL_Long_05,-75.00,38.50,-113.50,-75.00,150.00,Asia Low,5,-1.00,0,1,0,0
19,MCL 02-26,2025-12-16 06:06:00,Long,55.68,2025-12-16 06:08:00,55.65,SL_Long_06,-90.00,46.20,-136.20,-90.00,0.00,Asia Low,6,-1.00,0,1,0,0
20,MCL 02-26,2025-12-16 06:13:00,Long,55.63,2025-12-16 06:23:00,55.58,SL_Long_07,-105.00,32.34,-137.34,-105.00,63.00,Asia Low,7,-1.00,0,1,0,0
21,MCL 02-26,2025-12-16 07:03:00,Long,55.7181524926686,2025-12-16 09:50:00,55.56,SL_Long_08,-94.89,9.24,-104.13,-94.89,103.11,Asia Low,8,-1.00,0,1,0,0
22,MCL 02-26,2025-12-16 10:01:00,Long,55.574,2025-12-16 10:01:00,55.5,SL_Long_09,-96.20,20.02,-116.22,-96.20,0.00,Asia Low,9,-1.00,0,1,0,0
23,MCL 02-26,2025-12-16 10:15:00,Long,55.41,2025-12-16 10:16:00,55.37,SL_Long_10,-104.00,40.04,-144.04,-104.00,0.00,Asia Low,10,-1.00,0,1,0,0
24,MCL 02-26,2025-12-16 10:32:00,Long,55.4811111111111,2025-12-16 10:46:00,55.34,SL_Long_11,-98.78,10.78,-109.56,-98.78,13.22,Asia Low,11,-1.00,0,1,0,0
25,MCL 02-26,2025-12-16 10:53:00,Long,55.27,2025-12-16 11:00:00,55.21,SL_Long_01,-96.00,24.64,-120.64,-96.00,48.00,Europe Low,1,-1.00,0,1,0,0
26,MCL 02-26,2025-12-16 11:10:00,Long,55.21,2025-12-16 11:17:00,55.15,SL_Long_02,-102.00,26.18,-128.18,-102.00,17.00,Europe Low,2,-1.00,0,1,0,0
27,MCL 02-26,2025-12-16 11:36:00,Long,54.99,2025-12-16 11:42:00,54.94,SL_Long_03,-90.00,27.72,-117.72,-90.00,126.00,Europe Low,3,-1.00,0,1,0,0
28,MCL 02-26,2025-12-16 12:07:00,Long,55.0667522321429,2025-12-16 20:08:00,55.66,TP1_Long_04,177.97,4.62,173.35,-58.05,361.95,Europe Low,4,1.68,0,1,0,0
28.2,MCL 02-26,2025-12-16 12:07:00,Long,55.0667522321429,2025-12-17 05:01:00,56.3,TP2_Long_04,369.97,4.62,365.35,-58.05,372.97,Europe Low,4,3.49,0,1,0,0
29,MCL 02-26,2025-12-17 05:34:00,Short,56.26,2025-12-17 06:20:00,56.54,SL_Short_01,-112.00,6.16,-118.16,-112.00,24.00,Europe High,1,-1.00,0,1,0,0
30,MCL 02-26,2025-12-17 16:53:00,Short,56.54,2025-12-17 16:56:00,56.59,SL_Short_01,-95.00,29.26,-124.26,-95.00,19.00,Europe High,1,-1.00,0,1,0,0
31,MCL 02-26,2025-12-17 17:01:00,Short,56.57,2025-12-17 17:03:00,56.66,SL_Short_02,-99.00,16.94,-115.94,-99.00,33.00,Europe High,2,-1.00,0,1,0,0
32,MCL 02-26,2025-12-17 17:06:00,Short,56.68,2025-12-17 17:06:00,56.72,SL_Short_03,-96.00,36.96,-132.96,-96.00,0.00,Europe High,3,-1.00,0,1,0,0
33,MCL 02-26,2025-12-17 17:17:00,Short,56.7693373493977,2025-12-17 19:01:00,56.82,SL_Short_01,-101.33,30.80,-132.13,-141.33,278.67,Asia High,1,-1.00,0,1,0,0
34,MCL 02-26,2025-12-17 19:10:00,Short,56.78,2025-12-17 19:35:00,56.86,SL_Short_01,-104.00,20.02,-124.02,-104.00,0.00,USA High,1,-1.00,0,1,0,0
35,MCL 02-26,2025-12-18 07:05:00,Long,55.8506280193238,2025-12-18 07:35:00,55.8,SL_Long_01,-101.26,30.80,-132.06,-101.26,318.74,Asia Low,1,-1.00,0,1,0,0
