ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MES 03-26,2025-12-15 05:05:00,Short,6914.2435207824,2025-12-15 05:13:00,6916.75,SL_Short_01,-100.26,14.56,-114.82,-100.26,49.74,Asia High,1,-1.00,0,1,0,0
2,MES 03-26,2025-12-15 05:25:00,Short,6917.25,2025-12-15 05:27:00,6919.75,SL_Short_02,-100.00,14.56,-114.56,-100.00,10.00,Asia High,2,-1.00,0,1,0,0
3,MES 03-26,2025-12-15 05:30:00,Short,6919.25,2025-12-15 05:46:00,6920.25,SL_Short_03,-115.00,41.86,-156.86,-115.00,143.75,Asia High,3,-1.00,0,1,0,0
4,MES 03-26,2025-12-15 06:09:00,Short,6922.25,2025-12-15 06:10:00,6923,SL_Short_04,-86.25,41.86,-128.11,-86.25,0.00,Asia High,4,-1.00,0,1,0,0
5,MES 03-26,2025-12-15 06:44:00,Short,6922.99123633622,2025-12-15 07:51:00,6925.5,SL_Short_05,-100.35,14.56,-114.91,-100.35,29.65,Asia High,5,-1.00,0,1,0,0
6,MES 03-26,2025-12-15 08:23:00,Short,6922.73303016859,2025-12-15 08:45:00,6926.75,SL_Short_06,-100.42,9.10,-109.52,-100.42,99.58,Asia High,6,-1.00,0,1,0,0
7,MES 03-26,2025-12-15 09:00:00,Short,6924.99921944692,2025-12-15 09:48:00,6927,SL_Short_07,-90.04,16.38,-106.42,-90.04,236.21,Asia High,7,-1.00,0,1,0,0
8,MES 03-26,2025-12-15 09:53:00,Short,6927.25,2025-12-15 10:02:00,6928.25,SL_Short_08,-100.00,36.40,-136.40,-100.00,150.00,Asia High,8,-1.00,0,1,0,0
9,MES 03-26,2025-12-15 10:20:00,Short,6929.75,2025-12-15 10:29:00,6930.75,SL_Short_09,-85.00,30.94,-115.94,-85.00,318.75,Asia High,9,-1.00,0,1,0,0
10,MES 03-26,2025-12-15 10:33:00,Short,6927.5,2025-12-15 10:35:00,6914.5,TP1_Short_10,130.00,3.64,126.36,-10.00,265.00,Asia High,10,1.30,0,1,0,0
10.2,MES 03-26,2025-12-15 10:33:00,Short,6927.5,2025-12-15 11:21:00,6878,TP2_Short_10,495.00,3.64,491.36,-10.00,497.50,Asia High,10,4.95,0,1,0,0
11.1,MES 03-26,2025-12-15 11:37:00,Long,6876.50844711672,2025-12-15 12:18:00,6895.5,TP1_Long_01,94.96,1.82,93.14,-42.58,192.42,Asia Low,1,0.76,0,1,0,0
11.2,MES 03-26,2025-12-15 11:37:00,Long,6876.50844711672,2025-12-15 12:38:00,6876.50844711672,SL_Long_01,0.00,1.82,-1.82,-42.58,192.42,Asia Low,1,0.00,0,1,0,0
12.1,MES 03-26,2025-12-16 11:37:00,Long,6846.51609579373,2025-12-16 11:56:00,6862.5,TP1_Long_01,79.92,1.82,78.10,-82.66,162.34,Asia Low,1,0.56,0,1,0,0
12.2,MES 03-26,2025-12-16 11:37:00,Long,6846.51609579373,2025-12-16 12:13:00,6846.51609579373,SL_Long_01,0.00,1.82,-1.82,-82.66,162.34,Asia Low,1,0.00,0,1,0,0
13,MES 03-26,2025-12-16 14:11:00,Long,6823.5,2025-12-16 14:52:00,6853.25,TP1_Long_02,297.50,3.64,293.86,-60.00,450.00,Asia Low,2,3.05,0,1,0,0
13.2,MES 03-26,2025-12-16 14:11:00,Long,6823.5,2025-12-17 11:45:00,6823.5,SL_Long_02,0.00,1.82,-1.82,-60.00,450.00,Asia Low,2,0.00,0,1,0,0
14,MES 03-26,2025-12-17 23:44:00,Long,6775.00293996286,2025-12-17 23:57:00,6781.5,TP1_Long_01,97.46,5.46,92.00,-37.57,168.68,USA Low,1,0.97,0,1,0,0
14.2,MES 03-26,2025-12-17 23:44:00,Long,6775.00293996286,2025-12-18 12:38:00,6871.25,TP2_Long_01,962.47,3.64,958.83,-37.57,964.97,USA Low,1,9.62,0,1,0,0
15.1,MES 03-26,2025-12-18 16:02:00,Short,6824.5,2025-12-18 16:02:00,6824,TP1_Short_01,2.50,1.82,0.68,0.00,0.00,USA High,1,0.01,0,1,0,0
15.2,MES 03-26,2025-12-18 16:02:00,Short,6824.5,2025-12-18 16:02:00,6824.5,SL_Short_01,0.00,1.82,-1.82,0.00,0.00,USA High,1,0.00,0,1,0,0
16,MES 03-26,2025-12-19 04:08:00,Short,6843.75,2025-12-19 04:08:00,6845,SL_Short_01,-100.00,29.12,-129.12,-100.00,20.00,Asia High,1,-1.00,0,1,0,0
17,MES 03-26,2025-12-19 04:11:00,Short,6843.75,2025-12-19 04:15:00,6845.5,SL_Short_02,-87.50,18.20,-105.70,-87.50,37.50,Asia High,2,-1.00,0,1,0,0
18,MES 03-26,2025-12-19 04:23:00,Short,6846.75,2025-12-19 04:43:00,6848.25,SL_Short_03,-97.50,23.66,-121.16,-97.50,390.00,Asia High,3,-1.00,0,1,0,0
19,MES 03-26,2025-12-19 05:02:00,Short,6849.47942386831,2025-12-19 05:06:00,6851.5,SL_Short_04,-90.93,16.38,-107.31,-90.93,224.07,Asia High,4,-1.00,0,1,0,0
20,MES 03-26,2025-12-19 05:20:00,Short,6848.48452810727,2025-12-19 05:23:00,6852.25,SL_Short_05,-94.14,9.10,-103.24,-94.14,12.11,Asia High,5,-1.00,0,1,0,0
21,MES 03-26,2025-12-19 05:53:00,Short,6851.5,2025-12-19 08:55:00,6833.25,TP1_Short_06,365.00,7.28,357.72,-70.00,647.50,Asia High,6,3.48,0,1,0,0
21.2,MES 03-26,2025-12-19 05:53:00,Short,6851.5,2025-12-19 10:31:00,6851.5,SL_Short_06,0.00,5.46,-5.46,-70.00,647.50,Asia High,6,0.00,0,1,0,0
22,MES 03-26,2025-12-19 10:39:00,Short,6859.74843814463,2025-12-19 10:44:00,6865.25,SL_Short_01,-110.03,7.28,-117.31,-110.03,19.97,Europe High,1,-1.00,0,1,0,0
23,MES 03-26,2025-12-19 11:10:00,Short,6881.24993275503,2025-12-19 12:31:00,6887.75,SL_Short_01,-97.50,5.46,-102.96,-97.50,217.50,Europe High,1,-1.00,0,1,0,0
24,MES 03-26,2025-12-19 12:38:00,Short,6885.5,2025-12-19 13:18:00,6888.75,SL_Short_02,-97.50,10.92,-108.42,-97.50,285.00,Europe High,2,-1.00,0,1,0,0
25,MES 03-26,2025-12-19 13:37:00,Short,6888.49890838057,2025-12-19 13:52:00,6891.5,SL_Short_03,-105.04,12.74,-117.78,-105.04,87.46,Europe High,3,-1.00,0,1,0,0
26,MES 03-26,2025-12-19 14:05:00,Short,6889.99561737805,2025-12-19 14:17:00,6893.5,SL_Short_04,-87.61,9.10,-96.71,-87.61,18.64,Europe High,4,-1.00,0,1,0,0
27,MES 03-26,2025-12-19 14:32:00,Short,6890.99794208793,2025-12-19 17:40:00,6894,SL_Short_05,-90.06,10.92,-100.98,-90.06,352.44,Europe High,5,-1.00,0,1,0,0
