ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MHG 03-26,2025-12-15 05:13:00,Short,5.421,2025-12-15 05:14:00,5.427,SL_Short_01,-90.00,9.24,-99.24,-97.50,0.00,Asia High,1,-1.00,0,1,0,0
2,MHG 03-26,2025-12-15 05:26:00,Short,5.42474436090226,2025-12-15 08:11:00,5.432,SL_Short_02,-90.70,7.70,-98.40,-90.70,190.55,Asia High,2,-1.00,0,1,0,0
3,MHG 03-26,2025-12-15 08:18:00,Short,5.427,2025-12-15 08:31:00,5.4335,SL_Short_03,-97.50,9.24,-106.74,-97.50,30.00,Asia High,3,-1.00,0,1,0,0
4,MHG 03-26,2025-12-15 08:47:00,Short,5.4505,2025-12-15 08:51:00,5.4545,SL_Short_04,-100.00,15.40,-115.40,-100.00,25.00,Asia High,4,-1.00,0,1,0,0
5,MHG 03-26,2025-12-15 20:54:00,Long,5.399,2025-12-15 20:58:00,5.396,SL_Long_01,-82.50,16.94,-99.44,-82.50,0.00,USA Low,1,-1.00,0,1,0,0
6,MHG 03-26,2025-12-15 21:56:00,Long,5.38,2025-12-15 21:56:00,5.379,SL_Long_01,-200.00,123.20,-323.20,-200.00,0.00,Europe Low,1,-1.00,0,1,0,0
7,MHG 03-26,2025-12-15 22:16:00,Long,5.3675,2025-12-15 22:17:00,5.3595,SL_Long_02,-100.00,7.70,-107.70,-100.00,0.00,Europe Low,2,-1.00,0,1,0,0
8,MHG 03-26,2025-12-15 22:23:00,Long,5.36103333333333,2025-12-15 22:35:00,5.358,SL_Long_03,-98.58,20.02,-118.60,-98.58,453.92,Europe Low,3,-1.00,0,1,0,0
9,MHG 03-26,2025-12-15 22:37:00,Long,5.3565,2025-12-15 22:37:00,5.3555,SL_Long_04,-200.00,123.20,-323.20,-200.00,0.00,Europe Low,4,-1.00,0,1,0,0
10,MHG 03-26,2025-12-15 22:49:00,Long,5.3555,2025-12-15 22:52:00,5.3515,SL_Long_05,-80.00,12.32,-92.32,-90.00,10.00,Europe Low,5,-1.00,0,1,0,0
