ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1.1,MNQ 03-26,2025-12-02 04:23:00,Long,25601.7890189019,2025-12-02 04:42:00,25633.75,TP1_Long_01,63.92,1.82,62.10,-5.16,128.84,Asia Low,1,0.64,0,1,0,0
1.2,MNQ 03-26,2025-12-02 04:23:00,Long,25601.7890189019,2025-12-02 05:26:00,25699,TP2_Long_01,194.42,1.82,192.60,-5.16,194.92,Asia Low,1,1.96,0,1,0,0
2,MNQ 03-26,2025-12-02 05:45:00,Short,25688.6575506731,2025-12-02 06:08:00,25705,SL_Short_01,-98.05,5.46,-103.51,-98.05,72.95,Asia High,1,-1.00,0,1,0,0
3,MNQ 03-26,2025-12-02 06:20:00,Short,25699.7439245557,2025-12-02 06:32:00,25712.25,SL_Short_02,-100.05,7.28,-107.33,-100.05,81.95,Asia High,2,-1.00,0,1,0,0
4,MNQ 03-26,2025-12-02 06:37:00,Short,25715.75,2025-12-02 06:42:00,25719.5,SL_Short_03,-97.50,23.66,-121.16,-97.50,240.50,Asia High,3,-1.00,0,1,0,0
5,MNQ 03-26,2025-12-02 07:01:00,Short,25747.4997135655,2025-12-02 07:30:00,25753.25,SL_Short_04,-103.51,16.38,-119.89,-103.51,287.99,USA High,4,-1.00,0,1,0,0
6,MNQ 03-26,2025-12-02 07:40:00,Short,25747.6722879684,2025-12-02 09:41:00,25762.25,SL_Short_05,-87.47,5.46,-92.93,-87.47,220.03,USA High,5,-1.00,0,1,0,0
7,MNQ 03-26,2025-12-02 09:59:00,Short,25749.9567596188,2025-12-02 10:02:00,25768.25,SL_Short_06,-109.76,5.46,-115.22,-109.76,2.74,USA High,6,-1.00,0,1,0,0
8,MNQ 03-26,2025-12-02 10:13:00,Short,25766.2454155575,2025-12-02 10:34:00,25776.5,SL_Short_07,-102.55,9.10,-111.65,-102.55,417.45,USA High,7,-1.00,0,1,0,0
9,MNQ 03-26,2025-12-02 10:51:00,Short,25841.75,2025-12-02 11:01:00,25866.5,SL_Short_01,-99.00,3.64,-102.64,-99.00,106.00,USA High,1,-1.00,0,1,0,0
10.1,MNQ 03-26,2025-12-02 11:24:00,Short,25879.4999348234,2025-12-02 11:31:00,25794.5,TP1_Short_02,170.00,1.82,168.18,-84.00,341.00,USA High,2,1.50,0,1,0,0
10.2,MNQ 03-26,2025-12-02 11:24:00,Short,25879.4999348234,2025-12-02 11:44:00,25879.4999348234,SL_Short_02,0.00,1.82,-1.82,-84.00,341.00,USA High,2,0.00,0,1,0,0
1.1,MNQ 03-26,2025-12-02 04:23:00,Long,25601.7890189019,2025-12-02 04:42:00,25633.75,TP1_Long_01,63.92,1.82,62.10,-5.16,128.84,Asia Low,1,0.64,0,1,0,0
