ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MYM 03-26,2025-12-30 10:35:00,Long,48601,2025-12-30 10:35:00,48595,SL_Long_01,-99.00,60.06,-159.06,0.00,0.00,Asia Low,1,-1.00,0,1,0,0
2,MYM 03-26,2025-12-31 04:48:00,Long,48581,2025-12-31 06:02:00,48568,SL_Long_01,-104.00,29.12,-133.12,-48.00,128.00,USA Low,1,-1.00,0,1,0,0
3,MYM 03-26,2025-12-31 06:04:00,Long,48565,2025-12-31 06:04:00,48563,SL_Long_02,-100.00,182.00,-282.00,0.00,0.00,USA Low,2,-1.00,0,1,0,0
4,MYM 03-26,2025-12-31 06:38:00,Long,48574.2142857143,2025-12-31 08:29:00,48610,TP1_Long_03,125.25,12.74,112.51,-57.50,243.50,USA Low,3,1.26,0,1,0,0
4.2,MYM 03-26,2025-12-31 06:38:00,Long,48574.2142857143,2025-12-31 10:35:00,48574.2142857143,SL_Long_03,0.00,12.74,-12.74,-57.50,359.75,USA Low,3,0.00,0,1,0,0
5,MYM 03-26,2025-12-31 10:39:00,Long,48546,2025-12-31 10:41:00,48533,SL_Long_04,-97.50,27.30,-124.80,-60.00,0.00,USA Low,4,-1.00,0,1,0,0
6,MYM 03-26,2025-12-31 10:45:00,Long,48516,2025-12-31 10:45:00,48514,SL_Long_05,-100.00,182.00,-282.00,0.00,0.00,USA Low,5,-1.00,0,1,0,0
7,MYM 03-26,2025-12-31 10:49:00,Long,48509,2025-12-31 10:49:00,48506,SL_Long_06,-100.50,121.94,-222.44,0.00,0.00,USA Low,6,-1.00,0,1,0,0
8,MYM 03-26,2025-12-31 11:12:00,Long,48511,2025-12-31 11:12:00,48500,SL_Long_07,-104.50,34.58,-139.08,0.00,0.00,USA Low,7,-1.00,0,1,0,0
9,MYM 03-26,2025-12-31 11:29:00,Long,48495,2025-12-31 11:50:00,48470,SL_Long_08,-100.00,14.56,-114.56,-68.00,104.00,USA Low,8,-1.00,0,1,0,0
10,MYM 03-26,2025-12-31 11:55:00,Long,48463.6310077519,2025-12-31 11:56:00,48452,SL_Long_09,-98.86,30.94,-129.80,0.00,11.64,USA Low,9,-1.00,0,1,0,0
11,MYM 03-26,2025-12-31 12:01:00,Long,48447,2025-12-31 12:06:00,48441,SL_Long_10,-99.00,60.06,-159.06,0.00,313.50,USA Low,10,-1.00,0,1,0,0
12,MYM 03-26,2025-12-31 12:17:00,Long,48460.4607916355,2025-12-31 14:56:00,48555,TP1_Long_11,189.08,7.28,181.80,-49.84,346.16,USA Low,11,1.93,0,1,0,0
12.2,MYM 03-26,2025-12-31 12:17:00,Long,48460.4607916355,2025-12-31 15:34:00,48460.4607916355,SL_Long_11,0.00,7.28,-7.28,-49.84,346.16,USA Low,11,0.00,0,1,0,0
14,MYM 03-26,2026-01-02 05:20:00,Short,48482,2026-01-02 05:20:00,48488,SL_Short_01,-72.00,43.68,-115.68,0.00,0.00,Asia High,1,-1.00,0,1,0,0
15,MYM 03-26,2026-01-02 10:34:00,Long,48338,2026-01-02 10:34:00,48333,SL_Long_01,-100.00,72.80,-172.80,0.00,0.00,Asia Low,1,-1.00,0,1,0,0
16,MYM 03-26,2026-01-02 10:36:00,Long,48253,2026-01-02 10:36:00,48230,SL_Long_02,-103.50,16.38,-119.88,0.00,0.00,Asia Low,2,-1.00,0,1,0,0
17,MYM 03-26,2026-01-02 10:40:00,Long,48232,2026-01-02 10:41:00,48188,SL_Long_03,-110.00,9.10,-119.10,-32.50,0.00,Asia Low,3,-1.00,0,1,0,0
18,MYM 03-26,2026-01-02 10:44:00,Long,48137,2026-01-02 10:47:00,48117,SL_Long_04,-100.00,18.20,-118.20,0.00,85.00,Asia Low,4,-1.00,0,1,0,0
19,MYM 03-26,2026-01-05 02:58:00,Short,48668,2026-01-05 02:59:00,48672,SL_Short_01,-66.00,60.06,-126.06,-49.50,0.00,USA High,1,-1.00,-46,1,-46,0
20,MYM 03-26,2026-01-05 09:16:00,Long,48581,2026-01-05 09:24:00,48559,SL_Long_01,-99.00,16.38,-115.38,-90.00,0.00,Asia Low,1,-1.00,-671,-1,-671,0
21,MYM 03-26,2026-01-05 09:31:00,Long,48573,2026-01-05 09:50:00,48631,TP1_Long_02,174.00,10.92,163.08,0.00,306.00,Asia Low,2,1.71,-652,-1,-652,-560
21.2,MYM 03-26,2026-01-05 09:31:00,Long,48573,2026-01-05 10:31:00,48768,TP2_Long_02,585.00,10.92,574.08,0.00,450.00,Asia Low,2,5.74,-652,-1,-652,-560
22,MYM 03-26,2026-01-05 10:33:00,Short,48883,2026-01-05 10:33:00,48912,SL_Short_01,-101.50,12.74,-114.24,0.00,0.00,Asia High,1,-1.00,41,-1,41,0
23,MYM 03-26,2026-01-05 10:41:00,Short,49079,2026-01-05 10:41:00,49084,SL_Short_02,-100.00,72.80,-172.80,0.00,0.00,Asia High,2,-1.00,970,-1,970,0
24,MYM 03-26,2026-01-05 10:46:00,Short,49131,2026-01-05 10:46:00,49144,SL_Short_03,-97.50,27.30,-124.80,0.00,0.00,Asia High,3,-1.00,1409,-1,1409,0
25,MYM 03-26,2026-01-05 10:48:00,Short,49172,2026-01-05 10:48:00,49175,SL_Short_04,-100.50,121.94,-222.44,0.00,0.00,Asia High,4,-1.00,1665,-1,1665,0
26,MYM 03-26,2026-01-05 10:54:00,Short,49108,2026-01-05 11:02:00,49199,SL_Short_05,-91.00,3.64,-94.64,-52.00,11.00,Asia High,5,-1.00,1778,-1,1778,0
27,MYM 03-26,2026-01-05 11:05:00,Short,49219,2026-01-05 11:06:00,49238,SL_Short_06,-104.50,20.02,-124.52,-11.00,0.00,Asia High,6,-1.00,2327,-1,2327,0
28,MYM 03-26,2026-01-05 11:23:00,Short,49246,2026-01-05 11:24:00,49262,SL_Short_07,-96.00,21.84,-117.84,-18.00,0.00,Asia High,7,-1.00,2755,-1,2755,0
29,MYM 03-26,2026-01-05 11:29:00,Short,49286,2026-01-05 11:29:00,49295,SL_Short_08,-99.00,40.04,-139.04,0.00,0.00,Asia High,8,-1.00,3061,-1,3061,0
30,MYM 03-26,2026-01-05 11:31:00,Short,49306,2026-01-05 11:31:00,49309,SL_Short_09,-100.50,121.94,-222.44,0.00,0.00,Asia High,9,-1.00,3182,-1,3182,0
31,MYM 03-26,2026-01-05 11:41:00,Short,49277,2026-01-05 11:46:00,49312,SL_Short_10,-105.00,10.92,-115.92,-60.00,3.00,Asia High,10,-1.00,2977,-1,2977,0
32,MYM 03-26,2026-01-05 11:56:00,Short,49287.9307568438,2026-01-05 12:16:00,49328,SL_Short_11,-100.17,9.10,-109.27,-65.17,102.33,Asia High,11,-1.00,3363,-1,3363,0
33,MYM 03-26,2026-01-05 12:22:00,Short,49312,2026-01-05 12:22:00,49333,SL_Short_12,-94.50,16.38,-110.88,0.00,0.00,Asia High,12,-1.00,3963,-1,3963,0
34,MYM 03-26,2026-01-05 12:24:00,Short,49338,2026-01-05 12:24:00,49348,SL_Short_13,-100.00,36.40,-136.40,0.00,0.00,Asia High,13,-1.00,4231,-1,4231,0
35,MYM 03-26,2026-01-05 12:39:00,Short,49305.5305305305,2026-01-05 12:51:00,49354,SL_Short_14,-96.94,7.28,-104.22,-84.94,0.00,Asia High,14,-1.00,4082,-1,4082,0
