ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,ZW 03-26,2025-12-15 05:46:00,Long,526.253260869565,2025-12-15 06:45:00,525.5,SL_Long_01,-112.99,17.10,-130.09,-112.99,149.51,Asia Low,1,-1.00,0,1,0,0
2,ZW 03-26,2025-12-15 07:29:00,Long,525.750373134328,2025-12-15 08:23:00,525,SL_Long_02,-112.56,17.10,-129.66,-112.56,37.44,Asia Low,2,-1.00,0,1,0,0
3,ZW 03-26,2025-12-15 09:31:00,Long,524.75285850405,2025-12-15 10:31:00,524,SL_Long_03,-75.29,11.40,-86.69,-75.29,74.71,Asia Low,3,-1.00,0,1,0,0
4,ZW 03-26,2025-12-15 22:10:00,Long,517.5,2025-12-15 22:50:00,517,SL_Long_01,-75.00,17.10,-92.10,-75.00,75.00,USA Low,1,-1.00,0,1,0,0
5.1,ZW 03-26,2025-12-16 02:29:00,Long,516.5,2025-12-16 05:12:00,518,TP1_Long_02,75.00,5.70,69.30,0.00,175.00,USA Low,2,0.75,0,1,0,0
5.2,ZW 03-26,2025-12-16 02:29:00,Long,516.5,2025-12-16 08:30:00,516.5,SL_Long_02,0.00,5.70,-5.70,0.00,175.00,USA Low,2,0.00,0,1,0,0
6,ZW 03-26,2025-12-16 09:35:00,Long,515,2025-12-16 09:36:00,514.5,SL_Long_01,-75.00,17.10,-92.10,-75.00,0.00,Asia Low,1,-1.00,0,1,0,0
7,ZW 03-26,2025-12-16 10:31:00,Long,514.75,2025-12-16 10:31:00,514.25,SL_Long_02,-75.00,17.10,-92.10,-75.00,0.00,Asia Low,2,-1.00,0,1,0,0
8,ZW 03-26,2025-12-16 10:59:00,Long,512.002232973576,2025-12-16 11:10:00,510.75,SL_Long_01,-125.22,11.40,-136.62,-125.22,24.78,Europe Low,1,-1.00,0,1,0,0
9,ZW 03-26,2025-12-16 11:46:00,Long,510.255914826498,2025-12-16 12:35:00,509.25,SL_Long_02,-100.59,11.40,-111.99,-100.59,74.41,Europe Low,2,-1.00,0,1,0,0
11,ZW 03-26,2025-12-17 08:55:00,Long,508.75,2025-12-17 09:13:00,508,SL_Long_01,-75.00,11.40,-86.40,-75.00,0.00,Asia Low,1,-1.00,0,1,0,0
12,ZW 03-26,2025-12-17 10:31:00,Long,508.25,2025-12-17 10:38:00,507.5,SL_Long_02,-75.00,11.40,-86.40,-75.00,75.00,Asia Low,2,-1.00,0,1,0,0
13,ZW 03-26,2025-12-18 10:53:00,Short,509.25,2025-12-18 10:57:00,510,SL_Short_01,-75.00,11.40,-86.40,-75.00,0.00,Asia High,1,-1.00,0,1,0,0
14,ZW 03-26,2025-12-18 22:42:00,Long,506.25,2025-12-18 23:18:00,506,SL_Long_01,-50.00,22.80,-72.80,-50.00,50.00,USA Low,1,-1.00,0,1,0,0
15,ZW 03-26,2025-12-19 12:21:00,Short,508.488877654196,2025-12-19 13:11:00,509.5,SL_Short_01,-101.11,11.40,-112.51,-101.11,123.89,Europe High,1,-1.00,0,1,0,0
16,ZW 03-26,2025-12-19 14:07:00,Short,509.75,2025-12-19 14:09:00,510.5,SL_Short_02,-112.50,17.10,-129.60,-112.50,0.00,Europe High,2,-1.00,0,1,0,0
