ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1.1,M2K 03-25,2025-01-06 05:22:29,Short,2286.7,2025-01-06 07:01:46,2284.5,TP1_Short_01,11.00,1.90,9.10,-70.00,100.00,Asia High,1,0.08,0,1,0,0,1
1.2,M2K 03-25,2025-01-06 05:22:29,Short,2286.7,2025-01-06 07:02:00,2284.5,TP1_Short_01,11.00,1.90,9.10,-70.00,100.00,Asia High,1,0.08,0,1,0,0,1
1.3,M2K 03-25,2025-01-06 05:22:29,Short,2286.7,2025-01-06 07:02:00,2284.5,TP1_Short_01,11.00,1.90,9.10,-70.00,100.00,Asia High,1,0.08,0,1,0,0,1
1.4,M2K 03-25,2025-01-06 05:22:29,Short,2286.7,2025-01-06 07:02:00,2284.5,TP1_Short_01,11.00,1.90,9.10,-70.00,100.00,Asia High,1,0.08,0,1,0,0,1
1.5,M2K 03-25,2025-01-06 05:22:29,Short,2286.7,2025-01-06 07:02:00,2284.5,TP1_Short_01,11.00,1.90,9.10,-70.00,100.00,Asia High,1,0.08,0,1,0,0,1
1.6,M2K 03-25,2025-01-06 05:22:29,Short,2286.7,2025-01-06 07:14:03,2286.8,SL_Short_01,-1.00,3.80,-4.80,-70.00,110.00,Asia High,1,-0.01,0,1,0,0,1
1.7,M2K 03-25,2025-01-06 05:22:29,Short,2286.7,2025-01-06 07:14:03,2286.9,SL_Short_01,-3.00,5.70,-8.70,-70.00,110.00,Asia High,1,-0.02,0,1,0,0,1
2,M2K 03-25,2025-01-06 07:29:01,Short,2298.3,2025-01-06 07:29:54,2298.8,Exit_Short_Market,-17.50,13.30,-30.80,-150.00,217.50,Asia High,2,-2.19,0,1,0,0,1
2.2,M2K 03-25,2025-01-06 07:29:01,Short,2298.3,2025-01-06 07:29:54,2298.9,Exit_Short_Market,-279.00,176.70,-455.70,-150.00,217.50,Asia High,2,-34.88,0,1,0,0,1
3.1,M2K 03-25,2025-01-06 23:05:06,Long,2277.2,2025-01-07 01:51:57,2280.7,TP1_Long_01,17.50,1.90,15.60,-52.50,388.50,Asia Low,1,2.50,0,1,0,0,1
3.2,M2K 03-25,2025-01-06 23:05:06,Long,2277.2,2025-01-07 01:51:57,2280.7,TP1_Long_01,87.50,9.50,78.00,-52.50,388.50,Asia Low,1,12.50,0,1,0,0,1
3.3,M2K 03-25,2025-01-06 23:05:06,Long,2277.2,2025-01-07 01:51:57,2280.7,TP1_Long_01,70.00,7.60,62.40,-52.50,388.50,Asia Low,1,10.00,0,1,0,0,1
3.4,M2K 03-25,2025-01-06 23:05:06,Long,2277.2,2025-01-07 01:51:57,2280.7,TP1_Long_01,17.50,1.90,15.60,-52.50,388.50,Asia Low,1,2.50,0,1,0,0,1
3.5,M2K 03-25,2025-01-06 23:05:06,Long,2277.2,2025-01-07 08:44:15,2287.9,TP2_Long_01,53.50,1.90,51.60,-52.50,535.00,Asia Low,1,7.64,0,1,0,0,1
3.6,M2K 03-25,2025-01-06 23:05:06,Long,2277.2,2025-01-07 08:44:15,2287.9,TP2_Long_01,53.50,1.90,51.60,-52.50,535.00,Asia Low,1,7.64,0,1,0,0,1
3.7,M2K 03-25,2025-01-06 23:05:06,Long,2277.2,2025-01-07 08:44:15,2287.9,TP2_Long_01,53.50,1.90,51.60,-52.50,535.00,Asia Low,1,7.64,0,1,0,0,1
3.8,M2K 03-25,2025-01-06 23:05:06,Long,2277.2,2025-01-07 08:44:15,2287.9,TP2_Long_01,214.00,7.60,206.40,-52.50,535.00,Asia Low,1,30.57,0,1,0,0,1
3.9,M2K 03-25,2025-01-06 23:05:06,Long,2277.2,2025-01-07 08:44:15,2287.9,TP2_Long_01,160.50,5.70,154.80,-52.50,535.00,Asia Low,1,22.93,0,1,0,0,1
4,M2K 03-25,2025-01-07 10:38:17,Short,2296.7,2025-01-07 10:48:49,2302.3,SL_Short_01,-84.00,5.70,-89.70,-140.00,115.00,Europe High,1,-0.60,0,1,0,0,0
4.2,M2K 03-25,2025-01-07 10:38:17,Short,2296.7,2025-01-07 10:48:49,2302.4,SL_Short_01,-57.00,3.80,-60.80,-140.00,115.00,Europe High,1,-0.41,0,1,0,0,0
5.1,M2K 03-25,2025-01-07 10:51:07,Short,2300.5,2025-01-07 11:00:01,2292.7,TP1_Short_02,39.00,1.90,37.10,-114.00,474.00,Europe High,2,0.65,0,1,0,0,0
5.2,M2K 03-25,2025-01-07 10:51:07,Short,2300.5,2025-01-07 11:00:01,2292.7,TP1_Short_02,39.00,1.90,37.10,-114.00,474.00,Europe High,2,0.65,0,1,0,0,0
5.3,M2K 03-25,2025-01-07 10:51:07,Short,2300.5,2025-01-07 11:00:01,2292.7,TP1_Short_02,156.00,7.60,148.40,-114.00,474.00,Europe High,2,2.60,0,1,0,0,0
5.4,M2K 03-25,2025-01-07 10:51:07,Short,2300.5,2025-01-07 11:01:12,2278.8,TP2_Short_02,325.50,5.70,319.80,-114.00,651.00,Europe High,2,5.42,0,1,0,0,0
5.5,M2K 03-25,2025-01-07 10:51:07,Short,2300.5,2025-01-07 11:01:12,2278.8,TP2_Short_02,217.00,3.80,213.20,-114.00,651.00,Europe High,2,3.62,0,1,0,0,0
5.6,M2K 03-25,2025-01-07 10:51:07,Short,2300.5,2025-01-07 11:01:12,2278.8,TP2_Short_02,108.50,1.90,106.60,-114.00,651.00,Europe High,2,1.81,0,1,0,0,0
