ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1.1,MCL 03-25,2025-01-20 13:22:56,Long,76.24,2025-01-20 15:29:01,76.36,Exit_Long_Market,12.00,2.20,9.80,-116.00,152.00,Europe Low,1,0.07,0,1,0,0,0
1.2,MCL 03-25,2025-01-20 13:22:56,Long,76.24,2025-01-20 15:29:01,76.35,Exit_Long_Market,33.00,6.60,26.40,-116.00,152.00,Europe Low,1,0.20,0,1,0,0,0
2,MCL 03-25,2025-01-20 21:09:21,Short,76.7,2025-01-20 21:09:35,76.75,SL_Short_01,-55.00,24.20,-79.20,-135.00,0.00,USA High,1,-1.83,0,1,0,0,0
2.2,MCL 03-25,2025-01-20 21:09:21,Short,76.7,2025-01-20 21:09:35,76.76,SL_Short_01,-96.00,35.20,-131.20,-135.00,0.00,USA High,1,-3.20,0,1,0,0,0
3.1,MCL 03-25,2025-01-20 21:15:03,Short,76.89,2025-01-20 21:41:54,76.73,TP1_Short_02,16.00,2.20,13.80,-91.00,234.00,USA High,2,0.22,0,1,0,0,0
3.2,MCL 03-25,2025-01-20 21:15:03,Short,76.89,2025-01-20 21:41:54,76.73,TP1_Short_02,16.00,2.20,13.80,-91.00,234.00,USA High,2,0.22,0,1,0,0,0
3.3,MCL 03-25,2025-01-20 21:15:03,Short,76.89,2025-01-20 21:41:54,76.73,TP1_Short_02,80.00,11.00,69.00,-91.00,234.00,USA High,2,1.11,0,1,0,0,0
3.4,MCL 03-25,2025-01-20 21:15:03,Short,76.89,2025-01-20 22:10:19,77.01,SL_Short_02,-72.00,13.20,-85.20,-91.00,234.00,USA High,2,-1.00,0,1,0,0,0
4,MCL 03-25,2025-01-21 05:10:19,Long,76.1,2025-01-21 05:38:33,75.99,SL_Long_01,-66.00,13.20,-79.20,-143.00,195.00,Asia Low,1,-6.00,0,1,0,0,1
4.2,MCL 03-25,2025-01-21 05:10:19,Long,76.1,2025-01-21 05:38:33,75.98,SL_Long_01,-84.00,15.40,-99.40,-143.00,195.00,Asia Low,1,-7.64,0,1,0,0,1
5,MCL 03-25,2025-01-21 05:43:41,Long,75.99,2025-01-21 05:56:53,75.93,SL_Long_02,-48.00,17.60,-65.60,-144.00,384.00,Asia Low,2,-0.73,0,1,0,0,1
5.2,MCL 03-25,2025-01-21 05:43:41,Long,75.99,2025-01-21 05:56:53,75.92,SL_Long_02,-112.00,35.20,-147.20,-144.00,384.00,Asia Low,2,-1.70,0,1,0,0,1
6,MCL 03-25,2025-01-21 06:03:57,Long,75.91,2025-01-21 06:04:22,75.85,SL_Long_03,-24.00,8.80,-32.80,-150.00,3.00,Asia Low,3,-4.00,0,1,0,0,1
6.2,MCL 03-25,2025-01-21 06:03:57,Long,75.91,2025-01-21 06:04:22,75.84,SL_Long_03,-147.00,46.20,-193.20,-150.00,3.00,Asia Low,3,-24.50,0,1,0,0,1
7,MCL 03-25,2025-01-21 06:21:04,Long,75.79,2025-01-21 06:30:21,75.63,SL_Long_04,-128.00,17.60,-145.60,-144.00,45.00,Asia Low,4,-0.89,0,1,0,0,1
7.2,MCL 03-25,2025-01-21 06:21:04,Long,75.79,2025-01-21 06:30:21,75.62,SL_Long_04,-17.00,2.20,-19.20,-144.00,45.00,Asia Low,4,-0.12,0,1,0,0,1
8,MCL 03-25,2025-01-21 06:37:47,Long,75.76,2025-01-21 06:45:48,75.6,SL_Long_05,-32.00,4.40,-36.40,-144.00,0.00,Asia Low,5,-2.00,0,1,0,0,1
8.2,MCL 03-25,2025-01-21 06:37:47,Long,75.76,2025-01-21 06:45:48,75.59,SL_Long_05,-119.00,15.40,-134.40,-144.00,0.00,Asia Low,5,-7.44,0,1,0,0,1
9,MCL 03-25,2025-01-21 06:49:26,Long,75.63,2025-01-21 06:50:22,75.59,SL_Long_06,-8.00,4.40,-12.40,-124.00,31.00,Asia Low,6,-0.50,0,1,0,0,1
9.2,MCL 03-25,2025-01-21 06:49:26,Long,75.63,2025-01-21 06:50:22,75.58,SL_Long_06,-145.00,63.80,-208.80,-124.00,31.00,Asia Low,6,-9.06,0,1,0,0,1
10.1,MCL 03-25,2025-01-21 06:57:06,Long,75.56,2025-01-21 07:00:01,75.51,SL_Long_07,-5.00,2.20,-7.20,-165.00,165.00,Asia Low,7,-0.14,0,1,0,0,1
10.2,MCL 03-25,2025-01-21 06:57:06,Long,75.56,2025-01-21 07:00:01,75.5,SL_Long_07,-192.00,70.40,-262.40,-165.00,165.00,Asia Low,7,-5.49,0,1,0,0,1
11,MCL 03-25,2025-01-21 07:13:48,Long,75.36,2025-01-21 07:43:25,75.27,SL_Long_08,-63.00,15.40,-78.40,-144.00,368.00,Asia Low,8,-0.78,0,1,0,0,1
11.2,MCL 03-25,2025-01-21 07:13:48,Long,75.36,2025-01-21 07:43:25,75.26,SL_Long_08,-90.00,19.80,-109.80,-144.00,368.00,Asia Low,8,-1.11,0,1,0,0,1
