ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MES 03-25,2025-01-12 21:42:15,Long,5845.25,2025-01-12 21:43:30,5842.75,SL_Long_01,-112.50,16.20,-128.70,-137.50,13.75,USA Low,1,-0.82,0,1,0,0,2
1.2,MES 03-25,2025-01-12 21:42:15,Long,5845.25,2025-01-12 21:43:30,5842.5,SL_Long_01,-27.50,3.60,-31.10,-137.50,13.75,USA Low,1,-0.20,0,1,0,0,2
2,MES 03-25,2025-01-12 21:51:13,Long,5841.5,2025-01-12 23:22:17,5838.25,SL_Long_02,-146.25,16.20,-162.45,-146.25,371.25,USA Low,2,-1.00,0,1,0,0,2
3,MES 03-25,2025-01-12 23:35:22,Long,5834.25,2025-01-13 02:12:51,5844.75,TP1_Long_03,210.00,7.20,202.80,-50.00,420.00,USA Low,3,12.00,0,1,0,0,2
3.2,MES 03-25,2025-01-12 23:35:22,Long,5834.25,2025-01-13 04:20:07,5834.25,SL_Long_03,0.00,7.20,-7.20,-50.00,420.00,USA Low,3,0.00,0,1,0,0,2
4,MES 03-25,2025-01-13 04:27:40,Long,5832.5,2025-01-13 04:29:29,5829.5,SL_Long_04,-135.00,16.20,-151.20,-150.00,25.00,USA Low,4,-0.90,0,1,0,0,3
4.2,MES 03-25,2025-01-13 04:27:40,Long,5832.5,2025-01-13 04:29:29,5829.25,SL_Long_04,-16.25,1.80,-18.05,-150.00,25.00,USA Low,4,-0.11,0,1,0,0,3
5,MES 03-25,2025-01-13 04:41:14,Long,5829.75,2025-01-13 04:42:02,5826.5,SL_Long_05,-146.25,16.20,-162.45,-146.25,0.00,USA Low,5,-1.00,0,1,0,0,3
6,MES 03-25,2025-01-13 04:49:47,Long,5829,2025-01-13 04:56:22,5825,SL_Long_06,-100.00,9.00,-109.00,-140.00,70.00,USA Low,6,-5.00,0,1,0,0,3
6.2,MES 03-25,2025-01-13 04:49:47,Long,5829,2025-01-13 04:56:22,5824.75,SL_Long_06,-42.50,3.60,-46.10,-140.00,70.00,USA Low,6,-2.13,0,1,0,0,3
7,MES 03-25,2025-01-13 05:24:43,Long,5813,2025-01-13 08:42:46,5831.25,TP1_Long_07,365.00,7.20,357.80,-140.00,638.75,USA Low,7,2.45,0,1,0,0,3
7.2,MES 03-25,2025-01-13 05:24:43,Long,5813,2025-01-13 10:42:53,5813,SL_Long_07,0.00,5.40,-5.40,-140.00,638.75,USA Low,7,0.00,0,1,0,0,3
8,MES 03-25,2025-01-13 15:55:25,Short,5863.5,2025-01-13 16:51:02,5871.25,SL_Short_01,-155.00,7.20,-162.20,-155.00,80.00,Europe High,1,-4.00,0,1,0,0,0
9,MES 03-25,2025-01-13 17:07:45,Short,5877.25,2025-01-13 17:16:35,5879.5,SL_Short_02,-146.25,23.40,-169.65,-146.25,97.50,Europe High,2,-1.00,0,1,0,0,0
10,MES 03-25,2025-01-13 17:22:01,Short,5879,2025-01-13 17:23:18,5880,SL_Short_03,-65.00,23.40,-88.40,-148.75,1.25,Europe High,3,-13.00,0,1,0,0,0
10.2,MES 03-25,2025-01-13 17:22:01,Short,5879,2025-01-13 17:23:18,5880.25,SL_Short_03,-68.75,19.80,-88.55,-148.75,1.25,Europe High,3,-13.75,0,1,0,0,0
11,MES 03-25,2025-01-13 17:35:48,Short,5881.5,2025-01-13 17:43:27,5883,SL_Short_04,-150.00,36.00,-186.00,-150.00,175.00,Europe High,4,-20.00,0,1,0,0,0
12.1,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:18:29,5890.5,TP1_Short_02,8.75,1.80,6.95,-36.25,253.75,USA High,2,0.08,0,1,0,0,0
12.2,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:25,5890.5,TP1_Short_02,8.75,1.80,6.95,-36.25,253.75,USA High,2,0.08,0,1,0,0,0
12.3,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:26,5890.5,TP1_Short_02,8.75,1.80,6.95,-36.25,253.75,USA High,2,0.08,0,1,0,0,0
12.4,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:32,5890.5,TP1_Short_02,8.75,1.80,6.95,-36.25,253.75,USA High,2,0.08,0,1,0,0,0
12.5,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:33,5890.5,TP1_Short_02,8.75,1.80,6.95,-36.25,253.75,USA High,2,0.08,0,1,0,0,0
12.6,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:33,5890.5,TP1_Short_02,8.75,1.80,6.95,-36.25,253.75,USA High,2,0.08,0,1,0,0,0
12.7,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:33,5890.5,TP1_Short_02,8.75,1.80,6.95,-36.25,253.75,USA High,2,0.08,0,1,0,0,0
12.8,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:33,5890.5,TP1_Short_02,17.50,3.60,13.90,-36.25,253.75,USA High,2,0.15,0,1,0,0,0
12.9,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:35,5890.5,TP1_Short_02,8.75,1.80,6.95,-36.25,253.75,USA High,2,0.08,0,1,0,0,0
12.10,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:46,5890.5,TP1_Short_02,8.75,1.80,6.95,-36.25,253.75,USA High,2,0.08,0,1,0,0,0
12.11,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:46,5890.5,TP1_Short_02,8.75,1.80,6.95,-36.25,253.75,USA High,2,0.08,0,1,0,0,0
12.12,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:46,5890.5,TP1_Short_02,17.50,3.60,13.90,-36.25,253.75,USA High,2,0.15,0,1,0,0,0
12.13,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:20:46,5890.5,TP1_Short_02,8.75,1.80,6.95,-36.25,253.75,USA High,2,0.08,0,1,0,0,0
12.14,MES 03-25,2025-01-13 19:16:29,Short,5892.25,2025-01-13 19:31:20,5892.25,SL_Short_02,0.00,25.20,-25.20,-36.25,253.75,USA High,2,0.00,0,1,0,0,0
13,MES 03-25,2025-01-14 04:30:51,Short,5904.5,2025-01-14 04:43:33,5906.75,SL_Short_04,-146.25,23.40,-169.65,-146.25,325.00,USA High,4,-1.00,0,1,0,0,1
14,MES 03-25,2025-01-14 05:04:28,Short,5910.5,2025-01-14 07:22:03,5899.5,TP1_Short_05,275.00,9.00,266.00,-33.75,495.00,USA High,5,16.92,0,1,0,0,1
14.2,MES 03-25,2025-01-14 05:04:28,Short,5910.5,2025-01-14 09:30:09,5910.5,SL_Short_05,0.00,3.60,-3.60,-33.75,720.00,USA High,5,0.00,0,1,0,0,1
14.3,MES 03-25,2025-01-14 05:04:28,Short,5910.5,2025-01-14 09:30:09,5910.75,SL_Short_05,-2.50,3.60,-6.10,-33.75,720.00,USA High,5,-0.15,0,1,0,0,1
15,MES 03-25,2025-01-14 12:12:31,Long,5867.5,2025-01-14 12:41:06,5860.75,SL_Long_01,-135.00,7.20,-142.20,-135.00,235.00,Europe Low,1,-4.00,0,1,0,0,0
16,MES 03-25,2025-01-14 13:21:06,Long,5852.25,2025-01-14 13:34:36,5844.5,SL_Long_02,-155.00,7.20,-162.20,-155.00,135.00,Europe Low,2,-1.00,0,1,0,0,0
17,MES 03-25,2025-01-15 10:00:45,Short,5972.5,2025-01-15 10:48:04,5980.25,SL_Short_01,-155.00,7.20,-162.20,-155.00,400.00,Europe High,1,-2.00,0,1,0,0,7
18,MES 03-25,2025-01-15 10:56:21,Short,5978,2025-01-15 11:00:38,5983.25,SL_Short_01,-157.50,10.80,-168.30,-157.50,45.00,Europe High,1,-1.00,0,1,0,0,0
19,MES 03-25,2025-01-15 11:28:57,Short,5986.75,2025-01-15 12:30:52,5967,TP1_Short_02,296.25,5.40,290.85,-22.50,592.50,Europe High,2,1.88,0,1,0,0,0
19.2,MES 03-25,2025-01-15 11:28:57,Short,5986.75,2025-01-15 14:32:13,5986.75,SL_Short_02,0.00,5.40,-5.40,-22.50,592.50,Europe High,2,0.00,0,1,0,0,0
20,MES 03-25,2025-01-15 15:47:51,Short,5995,2025-01-15 16:11:54,5999.25,SL_Short_03,-148.75,12.60,-161.35,-148.75,105.00,Europe High,3,-1.00,0,1,0,0,0
21,MES 03-25,2025-01-15 16:18:36,Short,5998.75,2025-01-15 16:24:30,6000.25,SL_Short_04,-52.50,12.60,-65.10,-142.50,142.50,Europe High,4,-0.37,0,1,0,0,0
21.2,MES 03-25,2025-01-15 16:18:36,Short,5998.75,2025-01-15 16:24:30,6000.5,SL_Short_04,-105.00,21.60,-126.60,-142.50,142.50,Europe High,4,-0.74,0,1,0,0,0
22,MES 03-25,2025-01-15 16:32:09,Short,5998.25,2025-01-15 20:28:01,6001.5,SL_Short_05,-146.25,16.20,-162.45,-146.25,596.25,Europe High,5,-1.00,0,1,0,0,0
23,MES 03-25,2025-01-16 03:27:10,Short,6005.75,2025-01-16 03:29:22,6007.75,SL_Short_02,-140.00,25.20,-165.20,-140.00,52.50,USA High,2,-14.00,0,1,0,0,1
24,MES 03-25,2025-01-16 04:12:17,Short,6013.75,2025-01-16 05:27:20,6004.25,TP1_Short_03,190.00,7.20,182.80,-35.00,332.50,USA High,3,1.36,0,1,0,0,1
24.2,MES 03-25,2025-01-16 04:12:17,Short,6013.75,2025-01-17 09:31:07,6013.75,SL_Short_03,0.00,5.40,-5.40,-35.00,776.25,USA High,3,0.00,0,1,0,0,1
25,MES 03-25,2025-01-17 09:40:16,Short,6016.25,2025-01-17 10:00:45,6021.5,SL_Short_01,-157.50,10.80,-168.30,-157.50,82.50,Europe High,1,-6.00,0,1,0,0,1
26,MES 03-25,2025-01-17 10:20:14,Short,6026.5,2025-01-17 10:28:01,6030.5,SL_Short_02,-160.00,14.40,-174.40,-160.00,170.00,Europe High,2,-1.00,0,1,0,0,1
27.1,MES 03-25,2025-01-17 10:36:06,Short,6025.5,2025-01-17 11:50:04,6035.5,SL_Short_03,-50.00,1.80,-51.80,-150.00,191.25,Europe High,3,-0.33,0,1,0,0,1
27.2,MES 03-25,2025-01-17 10:36:06,Short,6025.5,2025-01-17 11:50:04,6035.75,SL_Short_03,-102.50,3.60,-106.10,-150.00,191.25,Europe High,3,-0.68,0,1,0,0,1
28,MES 03-25,2025-01-17 12:04:10,Short,6037.75,2025-01-17 12:06:53,6039.75,SL_Short_01,-160.00,28.80,-188.80,-160.00,160.00,Europe High,1,-1.00,0,1,0,0,0
29,MES 03-25,2025-01-17 12:30:37,Short,6047.25,2025-01-17 14:12:00,6049.25,SL_Short_01,-140.00,25.20,-165.20,-140.00,805.00,USA High,1,-1.40,0,1,0,0,10
30,MES 03-25,2025-01-17 14:37:47,Short,6048.5,2025-01-17 17:59:00,6032.25,Exit_Short_Market,650.00,14.40,635.60,-30.00,780.00,USA High,2,4.64,0,1,0,0,10
