ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MNQ 03-25,2025-01-06 03:21:13,Short,21559.75,2025-01-06 03:28:06,21563.75,SL_Short_01,-32.00,7.60,-39.60,-144.00,171.00,USA High,1,-4.00,0,1,0,0,3
1.2,MNQ 03-25,2025-01-06 03:21:13,Short,21559.75,2025-01-06 03:28:06,21564,SL_Short_01,-119.00,26.60,-145.60,-144.00,171.00,USA High,1,-14.88,0,1,0,0,3
2,MNQ 03-25,2025-01-06 04:22:49,Short,21581.75,2025-01-06 04:41:21,21595.5,SL_Short_01,-137.50,9.50,-147.00,-165.00,210.00,Asia High,1,-0.85,0,1,0,0,1
2.2,MNQ 03-25,2025-01-06 04:22:49,Short,21581.75,2025-01-06 04:41:21,21595.75,SL_Short_01,-28.00,1.90,-29.90,-165.00,210.00,Asia High,1,-0.17,0,1,0,0,1
3,MNQ 03-25,2025-01-06 05:07:09,Short,21629.5,2025-01-06 05:11:37,21641,SL_Short_02,-69.00,5.70,-74.70,-138.00,72.00,Asia High,1,-0.50,0,1,0,0,1
3.2,MNQ 03-25,2025-01-06 05:07:09,Short,21629.5,2025-01-06 05:11:37,21641.25,SL_Short_02,-70.50,5.70,-76.20,-138.00,72.00,Asia High,1,-0.51,0,1,0,0,1
4,MNQ 03-25,2025-01-06 05:32:16,Short,21645.5,2025-01-06 05:47:32,21654.5,SL_Short_03,-90.00,9.50,-99.50,-144.00,188.00,Asia High,1,-5.00,0,1,0,0,1
4.2,MNQ 03-25,2025-01-06 05:32:16,Short,21645.5,2025-01-06 05:47:32,21654.75,SL_Short_03,-55.50,5.70,-61.20,-144.00,188.00,Asia High,1,-3.08,0,1,0,0,1
5,MNQ 03-25,2025-01-06 06:05:53,Short,21664,2025-01-06 06:11:35,21673.25,SL_Short_04,-92.50,9.50,-102.00,-148.00,32.00,Asia High,1,-5.00,0,1,0,0,1
5.2,MNQ 03-25,2025-01-06 06:05:53,Short,21664,2025-01-06 06:11:35,21673.5,SL_Short_04,-57.00,5.70,-62.70,-148.00,32.00,Asia High,1,-3.08,0,1,0,0,1
