Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 03-25,Playback101,,Short,9,21557.75,21564.00,6/1/25 3:19:04 a. m.,6/1/25 3:28:06 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-12960,$-12960,$1710,$000,$000,$000,$000,$11250,$4950,$17910,10,
2,MNQ 03-25,Playback101,,Short,3,21557.75,21563.75,6/1/25 3:19:04 a. m.,6/1/25 3:28:06 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-4170,$-17130,$570,$000,$000,$000,$000,$3750,$1650,$5820,10,
3,MNQ 03-25,Playback101,,Short,1,21558.00,21563.75,6/1/25 3:19:04 a. m.,6/1/25 3:28:06 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-1340,$-18470,$190,$000,$000,$000,$000,$1200,$600,$1940,10,
4,MNQ 03-25,Playback101,,Short,8,21570.00,21577.25,6/1/25 3:39:01 a. m.,6/1/25 4:04:24 a. m.,EntryAnticipado_Short_02,SL_Short_02,$-13120,$-31590,$1520,$000,$000,$000,$000,$13200,$12800,$25920,26,
5,MNQ 03-25,Playback101,,Short,2,21570.25,21577.25,6/1/25 3:39:01 a. m.,6/1/25 4:04:24 a. m.,EntryAnticipado_Short_02,SL_Short_02,$-3180,$-34770,$380,$000,$000,$000,$000,$3200,$3300,$6480,26,
6,MNQ 03-25,Playback101,,Short,2,21570.25,21577.00,6/1/25 3:39:01 a. m.,6/1/25 4:04:24 a. m.,EntryAnticipado_Short_02,SL_Short_02,$-3080,$-37850,$380,$000,$000,$000,$000,$3200,$3300,$6380,26,
7,MNQ 03-25,Playback101,,Short,2,21586.00,21595.75,6/1/25 4:18:01 a. m.,6/1/25 4:41:21 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-4280,$-42130,$380,$000,$000,$000,$000,$4000,$8700,$12980,24,
8,MNQ 03-25,Playback101,,Short,1,21586.25,21595.75,6/1/25 4:18:01 a. m.,6/1/25 4:41:21 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-2090,$-44220,$190,$000,$000,$000,$000,$1950,$4400,$6490,24,
9,MNQ 03-25,Playback101,,Short,5,21586.25,21595.50,6/1/25 4:18:01 a. m.,6/1/25 4:41:21 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-10200,$-54420,$950,$000,$000,$000,$000,$9750,$22000,$32200,24,
10,MNQ 03-25,Playback101,,Short,3,21627.75,21641.25,6/1/25 5:05:01 a. m.,6/1/25 5:11:37 a. m.,EntryAnticipado_Short_02,SL_Short_02,$-8670,$-63090,$570,$000,$000,$000,$000,$8400,$3300,$11970,7,
11,MNQ 03-25,Playback101,,Short,1,21627.75,21641.00,6/1/25 5:05:01 a. m.,6/1/25 5:11:37 a. m.,EntryAnticipado_Short_02,SL_Short_02,$-2840,$-65930,$190,$000,$000,$000,$000,$2800,$1100,$3940,7,
12,MNQ 03-25,Playback101,,Short,2,21628.00,21641.00,6/1/25 5:05:01 a. m.,6/1/25 5:11:37 a. m.,EntryAnticipado_Short_02,SL_Short_02,$-5580,$-71510,$380,$000,$000,$000,$000,$5500,$2300,$7880,7,
13,MNQ 03-25,Playback101,,Short,2,21644.75,21654.75,6/1/25 5:30:01 a. m.,6/1/25 5:47:32 a. m.,EntryAnticipado_Short_03,SL_Short_03,$-4380,$-75890,$380,$000,$000,$000,$000,$4700,$4400,$8780,18,
14,MNQ 03-25,Playback101,,Short,2,21644.75,21654.50,6/1/25 5:30:01 a. m.,6/1/25 5:47:32 a. m.,EntryAnticipado_Short_03,SL_Short_03,$-4280,$-80170,$380,$000,$000,$000,$000,$4700,$4400,$8680,18,
15,MNQ 03-25,Playback101,,Short,3,21645.00,21654.50,6/1/25 5:30:01 a. m.,6/1/25 5:47:32 a. m.,EntryAnticipado_Short_03,SL_Short_03,$-6270,$-86440,$570,$000,$000,$000,$000,$6900,$6750,$13020,18,
16,MNQ 03-25,Playback101,,Short,2,21657.50,21673.25,6/1/25 6:03:01 a. m.,6/1/25 6:11:35 a. m.,EntryAnticipado_Short_04,SL_Short_04,$-6680,$-93120,$380,$000,$000,$000,$000,$7000,$1000,$7680,9,
17,MNQ 03-25,Playback101,,Short,3,21657.75,21673.25,6/1/25 6:03:01 a. m.,6/1/25 6:11:35 a. m.,EntryAnticipado_Short_04,SL_Short_04,$-9870,$-1.02990,$570,$000,$000,$000,$000,$10350,$1650,$11520,9,
18,MNQ 03-25,Playback101,,Short,1,21678.75,21693.25,6/1/25 6:27:01 a. m.,6/1/25 7:10:45 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-3090,$-1.06080,$190,$000,$000,$000,$000,$3150,$7500,$10590,44,
19,MNQ 03-25,Playback101,,Short,3,21678.75,21693.00,6/1/25 6:27:01 a. m.,6/1/25 7:10:45 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-9120,$-1.15200,$570,$000,$000,$000,$000,$9450,$22500,$31620,44,
20,MNQ 03-25,Playback101,,Short,1,21679.00,21693.00,6/1/25 6:27:01 a. m.,6/1/25 7:10:45 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-2990,$-1.18190,$190,$000,$000,$000,$000,$3100,$7550,$10540,44,
21,MNQ 03-25,Playback101,,Short,3,21726.75,21737.25,6/1/25 7:34:01 a. m.,6/1/25 7:37:41 a. m.,EntryAnticipado_Short_02,SL_Short_02,$-6870,$-1.25060,$570,$000,$000,$000,$000,$6450,$4950,$11820,4,
