ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MES 03-25,2025-01-06 04:04:06,Short,5998.5,2025-01-06 04:04:59,6000.25,SL_Short_01,-148.75,30.60,-179.35,-148.75,21.25,USA High,1,-1.00,0,1,0,0,3,17
2,MES 03-25,2025-01-06 04:14:02,Short,6003,2025-01-06 04:15:02,6003.75,SL_Short_01,-75.00,36.00,-111.00,-161.25,161.25,Asia High,1,-10.00,0,1,0,0,1,20
2.2,MES 03-25,2025-01-06 04:14:02,Short,6003,2025-01-06 04:15:02,6004,SL_Short_01,-115.00,41.40,-156.40,-161.25,161.25,Asia High,1,-15.33,0,1,0,0,1,23
3,MES 03-25,2025-01-06 04:22:59,Short,6001,2025-01-06 04:45:45,6004,SL_Short_02,-150.00,18.00,-168.00,-150.00,200.00,Asia High,1,-1.00,0,1,0,0,1,10
4,MES 03-25,2025-01-06 05:09:26,Short,6010.5,2025-01-06 05:22:05,6012.25,SL_Short_03,-140.00,28.80,-168.80,-140.00,60.00,Asia High,1,-1.00,0,1,0,0,1,16
5,MES 03-25,2025-01-06 05:32:04,Short,6012,2025-01-06 05:46:08,6014.25,SL_Short_04,-135.00,21.60,-156.60,-135.00,90.00,Asia High,1,-1.00,0,1,0,0,1,12
6,MES 03-25,2025-01-06 09:28:50,Short,6036,2025-01-06 09:52:53,6040.75,SL_Short_01,-142.50,10.80,-153.30,-142.50,127.50,Asia High,1,-1.00,0,1,0,0,8,6
7,MES 03-25,2025-01-06 10:11:31,Short,6038.75,2025-01-06 10:16:41,6019.25,TP1_Short_02,390.00,7.20,382.80,-75.00,987.50,Asia High,1,2.60,0,1,0,0,8,4
7.2,MES 03-25,2025-01-06 10:11:31,Short,6038.75,2025-01-06 10:16:41,6019.25,TP1_Short_02,97.50,1.80,95.70,-75.00,987.50,Asia High,1,0.65,0,1,0,0,8,1
7.3,MES 03-25,2025-01-06 10:11:31,Short,6038.75,2025-01-06 10:34:07,6041.75,SL_Short_02,-75.00,9.00,-84.00,-75.00,987.50,Asia High,1,-0.50,0,1,0,0,8,5
8,MES 03-25,2025-01-06 10:37:36,Short,6036.5,2025-01-06 10:40:37,6042.75,SL_Short_01,-156.25,9.00,-165.25,-156.25,68.75,Europe High,1,-1.00,0,1,0,0,0,5
9,MES 03-25,2025-01-07 09:02:42,Short,6028.75,2025-01-07 09:44:21,6032.75,SL_Short_01,-140.00,12.60,-152.60,-140.00,96.25,Asia High,1,-1.00,0,1,0,0,1,7
10,MES 03-25,2025-01-07 10:12:39,Short,6039,2025-01-07 10:28:51,6040.75,SL_Short_02,-148.75,30.60,-179.35,-148.75,255.00,Asia High,1,-1.00,0,1,0,0,1,17
11,MES 03-25,2025-01-08 06:15:36,Short,5972,2025-01-08 06:49:00,5974,SL_Short_01,-140.00,25.20,-165.20,-140.00,87.50,Asia High,1,-1.00,0,1,0,0,1,14
12,MES 03-25,2025-01-08 06:56:35,Short,5974.5,2025-01-08 07:25:37,5965.25,TP1_Short_02,878.75,34.20,844.55,-46.25,1711.25,Asia High,1,6.33,0,1,0,0,1,19
12.2,MES 03-25,2025-01-08 06:56:35,Short,5974.5,2025-01-08 07:32:41,5948.25,TP2_Short_02,131.25,1.80,129.45,-46.25,2385.00,Asia High,1,0.95,0,1,0,0,1,1
12.3,MES 03-25,2025-01-08 06:56:35,Short,5974.5,2025-01-08 07:32:41,5948.25,TP2_Short_02,131.25,1.80,129.45,-46.25,2385.00,Asia High,1,0.95,0,1,0,0,1,1
12.4,MES 03-25,2025-01-08 06:56:35,Short,5974.5,2025-01-08 07:32:41,5948.25,TP2_Short_02,131.25,1.80,129.45,-46.25,2385.00,Asia High,1,0.95,0,1,0,0,1,1
12.5,MES 03-25,2025-01-08 06:56:35,Short,5974.5,2025-01-08 07:32:41,5948.25,TP2_Short_02,131.25,1.80,129.45,-46.25,2385.00,Asia High,1,0.95,0,1,0,0,1,1
12.6,MES 03-25,2025-01-08 06:56:35,Short,5974.5,2025-01-08 07:32:41,5948.25,TP2_Short_02,131.25,1.80,129.45,-46.25,2385.00,Asia High,1,0.95,0,1,0,0,1,1
12.7,MES 03-25,2025-01-08 06:56:35,Short,5974.5,2025-01-08 07:32:41,5948.25,TP2_Short_02,918.75,12.60,906.15,-46.25,2385.00,Asia High,1,6.62,0,1,0,0,1,7
12.8,MES 03-25,2025-01-08 06:56:35,Short,5974.5,2025-01-08 07:32:41,5948.25,TP2_Short_02,131.25,1.80,129.45,-46.25,2385.00,Asia High,1,0.95,0,1,0,0,1,1
