ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MNQ 03-25,2025-01-06 03:21:13,Short,21559.75,2025-01-06 03:28:06,21563.75,SL_Short_01,-32.00,7.60,-39.60,-144.00,171.00,USA High,1,-4.00,0,1,0,0,3,4
1.2,MNQ 03-25,2025-01-06 03:21:13,Short,21559.75,2025-01-06 03:28:06,21564,SL_Short_01,-119.00,26.60,-145.60,-144.00,171.00,USA High,1,-14.88,0,1,0,0,3,14
2,MNQ 03-25,2025-01-06 04:22:50,Short,21582,2025-01-06 04:41:21,21595.5,SL_Short_01,-135.00,9.50,-144.50,-162.00,213.00,Asia High,1,-0.85,0,1,0,0,1,5
2.2,MNQ 03-25,2025-01-06 04:22:50,Short,21582,2025-01-06 04:41:21,21595.75,SL_Short_01,-27.50,1.90,-29.40,-162.00,213.00,Asia High,1,-0.17,0,1,0,0,1,1
3,MNQ 03-25,2025-01-06 05:07:09,Short,21629.5,2025-01-06 05:11:37,21641,SL_Short_02,-69.00,5.70,-74.70,-138.00,72.00,Asia High,1,-0.50,0,1,0,0,1,3
3.2,MNQ 03-25,2025-01-06 05:07:09,Short,21629.5,2025-01-06 05:11:37,21641.25,SL_Short_02,-70.50,5.70,-76.20,-138.00,72.00,Asia High,1,-0.51,0,1,0,0,1,3
4,MNQ 03-25,2025-01-06 05:32:16,Short,21645.5,2025-01-06 05:47:32,21654.5,SL_Short_03,-90.00,9.50,-99.50,-144.00,188.00,Asia High,1,-5.00,0,1,0,0,1,5
4.2,MNQ 03-25,2025-01-06 05:32:16,Short,21645.5,2025-01-06 05:47:32,21654.75,SL_Short_03,-55.50,5.70,-61.20,-144.00,188.00,Asia High,1,-3.08,0,1,0,0,1,3
5,MNQ 03-25,2025-01-06 06:05:53,Short,21663.75,2025-01-06 06:11:35,21673.25,SL_Short_04,-95.00,9.50,-104.50,-152.00,28.00,Asia High,1,-5.00,0,1,0,0,1,5
5.2,MNQ 03-25,2025-01-06 06:05:53,Short,21663.75,2025-01-06 06:11:35,21673.5,SL_Short_04,-58.50,5.70,-64.20,-152.00,28.00,Asia High,1,-3.08,0,1,0,0,1,3
6,MNQ 03-25,2025-01-06 07:54:47,Short,21727,2025-01-06 08:46:58,21745.25,SL_Short_01,-146.00,7.60,-153.60,-146.00,124.00,Asia High,1,-4.00,0,1,0,0,8,4
7,MNQ 03-25,2025-01-06 09:28:03,Short,21734.25,2025-01-06 10:16:43,21646,TP1_Short_02,353.00,3.80,349.20,-129.00,529.50,Asia High,1,6.54,0,1,0,0,8,2
7.2,MNQ 03-25,2025-01-06 09:28:03,Short,21734.25,2025-01-06 10:30:57,21761.25,SL_Short_02,-54.00,1.90,-55.90,-129.00,529.50,Asia High,1,-1.00,0,1,0,0,8,1
8,MNQ 03-25,2025-01-06 11:00:01,Short,21820.5,2025-01-06 11:14:16,21848.25,SL_Short_01,-166.50,5.70,-172.20,-166.50,240.00,Europe High,1,-3.00,0,1,0,0,0,3
