[21:14:42.432] [SYSTEM] Bar:-1 Time:N/A | === RelativeVwap Debug Log Started ===
[21:14:42.433] [SYSTEM] Bar:-1 Time:N/A | Version: 1.0.26
[21:14:42.433] [SYSTEM] Bar:-1 Time:N/A | Instrument: MNQ 03-25
[21:14:42.434] [ANCHOR] Bar:14 Time:19:15:00 | NEW HIGH ANCHOR | Price:21561.00 | High:21564.50 | VWAP:21561.00 | PrevAnchor:13 | TrackerReset:-1
[21:14:42.434] [ANCHOR] Bar:14 Time:19:15:00 | NEW LOW ANCHOR | Price:21561.00 | Low:21548.75 | VWAP:21561.00 | PrevAnchor:13 | TrackerReset:-1
[21:14:42.435] [ANCHOR] Bar:16 Time:19:17:00 | NEW HIGH ANCHOR | Price:21565.00 | High:21565.00 | VWAP:21565.00 | PrevAnchor:15 | TrackerReset:-1
[21:14:42.438] [ANCHOR] Bar:17 Time:19:18:00 | NEW HIGH ANCHOR | Price:21566.50 | High:21569.50 | VWAP:21566.50 | PrevAnchor:16 | TrackerReset:-1
[21:14:42.438] [ANCHOR] Bar:18 Time:19:19:00 | NEW HIGH ANCHOR | Price:21567.25 | High:21571.00 | VWAP:21567.25 | PrevAnchor:17 | TrackerReset:-1
[21:14:42.438] [ANCHOR] Bar:23 Time:19:24:00 | NEW HIGH ANCHOR | Price:21573.75 | High:21574.50 | VWAP:21573.75 | PrevAnchor:22 | TrackerReset:-1
[21:14:42.440] [ANCHOR] Bar:30 Time:19:31:00 | NEW LOW ANCHOR | Price:21551.00 | Low:21546.00 | VWAP:21551.00 | PrevAnchor:29 | TrackerReset:-1
[21:14:42.441] [ANCHOR] Bar:32 Time:19:33:00 | NEW LOW ANCHOR | Price:21542.25 | Low:21536.75 | VWAP:21542.25 | PrevAnchor:31 | TrackerReset:-1
[21:14:42.441] [ANCHOR] Bar:33 Time:19:34:00 | NEW LOW ANCHOR | Price:21543.00 | Low:21532.50 | VWAP:21543.00 | PrevAnchor:32 | TrackerReset:-1
[21:14:42.441] [ANCHOR] Bar:39 Time:19:40:00 | NEW LOW ANCHOR | Price:21532.25 | Low:21528.50 | VWAP:21532.25 | PrevAnchor:38 | TrackerReset:-1
[21:14:42.443] [ANCHOR] Bar:48 Time:19:49:00 | NEW LOW ANCHOR | Price:21529.50 | Low:21527.25 | VWAP:21529.50 | PrevAnchor:47 | TrackerReset:-1
[21:14:42.453] [ANCHOR] Bar:125 Time:21:06:00 | NEW HIGH ANCHOR | Price:21570.50 | High:21576.50 | VWAP:21570.50 | PrevAnchor:124 | TrackerReset:-1
[21:14:42.471] [ANCHOR] Bar:442 Time:02:23:00 | NEW HIGH ANCHOR | Price:21576.75 | High:21577.50 | VWAP:21576.75 | PrevAnchor:441 | TrackerReset:-1
[21:14:42.472] [ANCHOR] Bar:446 Time:02:27:00 | NEW HIGH ANCHOR | Price:21577.25 | High:21579.00 | VWAP:21577.25 | PrevAnchor:445 | TrackerReset:-1
[21:14:42.472] [ANCHOR] Bar:449 Time:02:30:00 | NEW HIGH ANCHOR | Price:21581.00 | High:21582.00 | VWAP:21581.00 | PrevAnchor:448 | TrackerReset:-1
[21:14:42.473] [ANCHOR] Bar:450 Time:02:31:00 | NEW HIGH ANCHOR | Price:21584.75 | High:21585.25 | VWAP:21584.75 | PrevAnchor:449 | TrackerReset:-1
[21:14:42.473] [ANCHOR] Bar:453 Time:02:34:00 | NEW HIGH ANCHOR | Price:21582.75 | High:21586.00 | VWAP:21582.75 | PrevAnchor:452 | TrackerReset:-1
[21:14:42.475] [ANCHOR] Bar:464 Time:02:45:00 | NEW HIGH ANCHOR | Price:21590.50 | High:21590.50 | VWAP:21590.50 | PrevAnchor:463 | TrackerReset:-1
[21:14:42.475] [ANCHOR] Bar:465 Time:02:46:00 | NEW HIGH ANCHOR | Price:21592.75 | High:21594.00 | VWAP:21592.75 | PrevAnchor:464 | TrackerReset:-1
[21:14:42.475] [ANCHOR] Bar:469 Time:02:50:00 | NEW HIGH ANCHOR | Price:21593.00 | High:21594.50 | VWAP:21593.00 | PrevAnchor:468 | TrackerReset:-1
[21:14:42.475] [ANCHOR] Bar:471 Time:02:52:00 | NEW HIGH ANCHOR | Price:21604.00 | High:21604.75 | VWAP:21604.00 | PrevAnchor:470 | TrackerReset:-1
[21:14:42.479] [ANCHOR] Bar:515 Time:03:36:00 | NEW HIGH ANCHOR | Price:21606.50 | High:21607.25 | VWAP:21606.50 | PrevAnchor:514 | TrackerReset:-1
[21:14:42.480] [ANCHOR] Bar:516 Time:03:37:00 | NEW HIGH ANCHOR | Price:21608.50 | High:21608.75 | VWAP:21608.50 | PrevAnchor:515 | TrackerReset:-1
[21:14:42.480] [ANCHOR] Bar:517 Time:03:38:00 | NEW HIGH ANCHOR | Price:21607.50 | High:21609.75 | VWAP:21607.50 | PrevAnchor:516 | TrackerReset:-1
[21:14:42.480] [ANCHOR] Bar:522 Time:03:43:00 | NEW HIGH ANCHOR | Price:21608.00 | High:21612.50 | VWAP:21608.00 | PrevAnchor:521 | TrackerReset:-1
[21:14:42.481] [ANCHOR] Bar:525 Time:03:46:00 | NEW HIGH ANCHOR | Price:21615.00 | High:21615.50 | VWAP:21615.00 | PrevAnchor:524 | TrackerReset:-1
[21:14:42.481] [ANCHOR] Bar:526 Time:03:47:00 | NEW HIGH ANCHOR | Price:21615.75 | High:21616.75 | VWAP:21615.75 | PrevAnchor:525 | TrackerReset:-1
[21:14:42.481] [ANCHOR] Bar:529 Time:03:50:00 | NEW HIGH ANCHOR | Price:21617.75 | High:21621.50 | VWAP:21617.75 | PrevAnchor:528 | TrackerReset:-1
[21:14:42.482] [ANCHOR] Bar:530 Time:03:51:00 | NEW HIGH ANCHOR | Price:21621.75 | High:21623.50 | VWAP:21621.75 | PrevAnchor:529 | TrackerReset:-1
[21:14:42.483] [ANCHOR] Bar:531 Time:03:52:00 | NEW HIGH ANCHOR | Price:21624.00 | High:21624.75 | VWAP:21624.00 | PrevAnchor:530 | TrackerReset:-1
[21:14:42.484] [ANCHOR] Bar:532 Time:03:53:00 | NEW HIGH ANCHOR | Price:21627.75 | High:21630.00 | VWAP:21627.75 | PrevAnchor:531 | TrackerReset:-1
[21:14:42.484] [ANCHOR] Bar:533 Time:03:54:00 | NEW HIGH ANCHOR | Price:21630.25 | High:21631.25 | VWAP:21630.25 | PrevAnchor:532 | TrackerReset:-1
[21:14:42.486] [ANCHOR] Bar:545 Time:04:06:00 | NEW HIGH ANCHOR | Price:21632.50 | High:21633.50 | VWAP:21632.50 | PrevAnchor:544 | TrackerReset:-1
[21:14:42.487] [ANCHOR] Bar:546 Time:04:07:00 | NEW HIGH ANCHOR | Price:21634.50 | High:21637.50 | VWAP:21634.50 | PrevAnchor:545 | TrackerReset:-1
[21:14:42.487] [ANCHOR] Bar:547 Time:04:08:00 | NEW HIGH ANCHOR | Price:21634.75 | High:21637.75 | VWAP:21634.75 | PrevAnchor:546 | TrackerReset:-1
[21:14:42.488] [SIGNAL2] Bar:553 Time:04:14:00 | SIG2 SHORT FIRED | High:21631.00 | VWAP:21631.55 | Sep:0.55 | Thresh:1 | AnchorBar:547 | LastSignaled:-1
[21:14:42.488] [CANCEL] Bar:554 Time:04:15:00 | SIG2 SHORT CANCELLED | TouchedVWAP | High:21632.00 | VWAP:21631.57 | SignalBar:553 | BarsAgo:1
[21:14:42.508] [ANCHOR] Bar:870 Time:09:31:00 | NEW HIGH ANCHOR | Price:21579.50 | High:21649.50 | VWAP:21579.50 | PrevAnchor:869 | TrackerReset:-1
[21:14:42.509] [ANCHOR] Bar:874 Time:09:35:00 | NEW HIGH ANCHOR | Price:21652.25 | High:21656.25 | VWAP:21652.25 | PrevAnchor:873 | TrackerReset:-1
[21:14:42.510] [SIGNAL2] Bar:876 Time:09:37:00 | SIG2 SHORT FIRED | High:21637.00 | VWAP:21639.09 | Sep:2.09 | Thresh:1 | AnchorBar:874 | LastSignaled:-1
[21:14:42.511] [CANCEL] Bar:879 Time:09:40:00 | SIG2 SHORT CANCELLED | TouchedVWAP | High:21636.75 | VWAP:21634.01 | SignalBar:876 | BarsAgo:3
[21:14:42.512] [ANCHOR] Bar:891 Time:09:52:00 | NEW HIGH ANCHOR | Price:21655.75 | High:21659.00 | VWAP:21655.75 | PrevAnchor:890 | TrackerReset:-1
[21:14:42.513] [ANCHOR] Bar:892 Time:09:53:00 | NEW HIGH ANCHOR | Price:21666.00 | High:21668.50 | VWAP:21666.00 | PrevAnchor:891 | TrackerReset:-1
[21:14:42.533] [ANCHOR] Bar:893 Time:09:54:00 | NEW HIGH ANCHOR | Price:21674.00 | High:21676.00 | VWAP:21674.00 | PrevAnchor:892 | TrackerReset:-1
[21:14:42.534] [ANCHOR] Bar:894 Time:09:55:00 | NEW HIGH ANCHOR | Price:21675.00 | High:21676.25 | VWAP:21675.00 | PrevAnchor:893 | TrackerReset:-1
[21:14:42.534] [ANCHOR] Bar:896 Time:09:57:00 | NEW HIGH ANCHOR | Price:21682.75 | High:21692.00 | VWAP:21682.75 | PrevAnchor:895 | TrackerReset:-1
[21:14:42.534] [ANCHOR] Bar:898 Time:09:59:00 | NEW HIGH ANCHOR | Price:21690.25 | High:21693.25 | VWAP:21690.25 | PrevAnchor:897 | TrackerReset:-1
[21:14:42.535] [ANCHOR] Bar:900 Time:10:01:00 | NEW HIGH ANCHOR | Price:21694.25 | High:21695.75 | VWAP:21694.25 | PrevAnchor:899 | TrackerReset:-1
[21:14:42.535] [ANCHOR] Bar:901 Time:10:02:00 | NEW HIGH ANCHOR | Price:21699.25 | High:21702.25 | VWAP:21699.25 | PrevAnchor:900 | TrackerReset:-1
[21:14:42.536] [ANCHOR] Bar:902 Time:10:03:00 | NEW HIGH ANCHOR | Price:21691.50 | High:21703.50 | VWAP:21691.50 | PrevAnchor:901 | TrackerReset:-1
[21:14:42.537] [ANCHOR] Bar:904 Time:10:05:00 | NEW HIGH ANCHOR | Price:21700.25 | High:21704.25 | VWAP:21700.25 | PrevAnchor:903 | TrackerReset:-1
[21:14:42.537] [SIGNAL2] Bar:907 Time:10:08:00 | SIG2 SHORT FIRED | High:21692.00 | VWAP:21692.37 | Sep:0.37 | Thresh:1 | AnchorBar:904 | LastSignaled:-1
[21:14:42.538] [CANCEL] Bar:908 Time:10:09:00 | SIG2 SHORT CANCELLED | TouchedVWAP | High:21693.75 | VWAP:21692.03 | SignalBar:907 | BarsAgo:1
[21:14:42.538] [ANCHOR] Bar:922 Time:10:23:00 | NEW HIGH ANCHOR | Price:21705.50 | High:21708.00 | VWAP:21705.50 | PrevAnchor:921 | TrackerReset:-1
[21:14:42.540] [ANCHOR] Bar:924 Time:10:25:00 | NEW HIGH ANCHOR | Price:21709.25 | High:21712.25 | VWAP:21709.25 | PrevAnchor:923 | TrackerReset:-1
[21:14:42.541] [ANCHOR] Bar:925 Time:10:26:00 | NEW HIGH ANCHOR | Price:21714.25 | High:21714.75 | VWAP:21714.25 | PrevAnchor:924 | TrackerReset:-1
[21:14:42.541] [ANCHOR] Bar:926 Time:10:27:00 | NEW HIGH ANCHOR | Price:21721.75 | High:21724.50 | VWAP:21721.75 | PrevAnchor:925 | TrackerReset:-1
[21:14:42.541] [ANCHOR] Bar:927 Time:10:28:00 | NEW HIGH ANCHOR | Price:21722.25 | High:21724.75 | VWAP:21722.25 | PrevAnchor:926 | TrackerReset:-1
[21:14:42.542] [ANCHOR] Bar:929 Time:10:30:00 | NEW HIGH ANCHOR | Price:21723.00 | High:21726.50 | VWAP:21723.00 | PrevAnchor:928 | TrackerReset:-1
[21:14:42.543] [ANCHOR] Bar:930 Time:10:31:00 | NEW HIGH ANCHOR | Price:21724.50 | High:21729.75 | VWAP:21724.50 | PrevAnchor:929 | TrackerReset:-1
[21:14:42.543] [ANCHOR] Bar:931 Time:10:32:00 | NEW HIGH ANCHOR | Price:21724.25 | High:21732.25 | VWAP:21724.25 | PrevAnchor:930 | TrackerReset:-1
[21:14:42.544] [ANCHOR] Bar:932 Time:10:33:00 | NEW HIGH ANCHOR | Price:21730.50 | High:21735.50 | VWAP:21730.50 | PrevAnchor:931 | TrackerReset:-1
[21:14:42.544] [ANCHOR] Bar:933 Time:10:34:00 | NEW HIGH ANCHOR | Price:21736.75 | High:21740.25 | VWAP:21736.75 | PrevAnchor:932 | TrackerReset:-1
[21:14:42.545] [ANCHOR] Bar:935 Time:10:36:00 | NEW HIGH ANCHOR | Price:21743.00 | High:21745.00 | VWAP:21743.00 | PrevAnchor:934 | TrackerReset:-1
[21:14:42.545] [ANCHOR] Bar:936 Time:10:37:00 | NEW HIGH ANCHOR | Price:21749.25 | High:21752.75 | VWAP:21749.25 | PrevAnchor:935 | TrackerReset:-1
[21:14:42.546] [ANCHOR] Bar:937 Time:10:38:00 | NEW HIGH ANCHOR | Price:21752.00 | High:21755.00 | VWAP:21752.00 | PrevAnchor:936 | TrackerReset:-1
[21:14:42.546] [ANCHOR] Bar:940 Time:10:41:00 | NEW HIGH ANCHOR | Price:21757.00 | High:21760.00 | VWAP:21757.00 | PrevAnchor:939 | TrackerReset:-1
[21:14:42.547] [ANCHOR] Bar:941 Time:10:42:00 | NEW HIGH ANCHOR | Price:21757.75 | High:21764.25 | VWAP:21757.75 | PrevAnchor:940 | TrackerReset:-1
[21:14:42.548] [ANCHOR] Bar:943 Time:10:44:00 | NEW HIGH ANCHOR | Price:21770.75 | High:21774.50 | VWAP:21770.75 | PrevAnchor:942 | TrackerReset:-1
[21:14:42.548] [ANCHOR] Bar:944 Time:10:45:00 | NEW HIGH ANCHOR | Price:21769.75 | High:21780.00 | VWAP:21769.75 | PrevAnchor:943 | TrackerReset:-1
[21:14:42.549] [SIGNAL2] Bar:949 Time:10:50:00 | SIG2 SHORT FIRED | High:21765.25 | VWAP:21766.22 | Sep:0.97 | Thresh:1 | AnchorBar:944 | LastSignaled:-1
[21:14:42.550] [CANCEL] Bar:950 Time:10:51:00 | SIG2 SHORT CANCELLED | TouchedVWAP | High:21770.00 | VWAP:21765.07 | SignalBar:949 | BarsAgo:1
[21:14:42.561] [ANCHOR] Bar:1140 Time:19:01:00 | NEW HIGH ANCHOR | Price:21692.50 | High:21719.00 | VWAP:21692.50 | PrevAnchor:1139 | TrackerReset:-1
[21:14:42.561] [ANCHOR] Bar:1140 Time:19:01:00 | NEW LOW ANCHOR | Price:21692.50 | Low:21685.50 | VWAP:21692.50 | PrevAnchor:1139 | TrackerReset:-1
[21:14:42.562] [ANCHOR] Bar:1141 Time:19:02:00 | NEW LOW ANCHOR | Price:21681.50 | Low:21677.00 | VWAP:21681.50 | PrevAnchor:1140 | TrackerReset:-1
[21:14:42.562] [ANCHOR] Bar:1143 Time:19:04:00 | NEW LOW ANCHOR | Price:21681.25 | Low:21672.00 | VWAP:21681.25 | PrevAnchor:1142 | TrackerReset:-1
[21:14:42.563] [ANCHOR] Bar:1147 Time:19:08:00 | NEW HIGH ANCHOR | Price:21720.25 | High:21721.25 | VWAP:21720.25 | PrevAnchor:1146 | TrackerReset:-1
[21:14:42.563] [ANCHOR] Bar:1148 Time:19:09:00 | NEW HIGH ANCHOR | Price:21710.50 | High:21721.75 | VWAP:21710.50 | PrevAnchor:1147 | TrackerReset:-1
[21:14:42.564] [ANCHOR] Bar:1156 Time:19:17:00 | NEW HIGH ANCHOR | Price:21735.25 | High:21737.75 | VWAP:21735.25 | PrevAnchor:1155 | TrackerReset:-1
[21:14:42.564] [ANCHOR] Bar:1160 Time:19:21:00 | NEW HIGH ANCHOR | Price:21731.50 | High:21738.00 | VWAP:21731.50 | PrevAnchor:1159 | TrackerReset:-1
[21:14:42.567] [ANCHOR] Bar:1186 Time:19:47:00 | NEW HIGH ANCHOR | Price:21733.00 | High:21739.75 | VWAP:21733.00 | PrevAnchor:1185 | TrackerReset:-1
[21:14:42.569] [ANCHOR] Bar:1208 Time:20:09:00 | NEW HIGH ANCHOR | Price:21740.50 | High:21744.75 | VWAP:21740.50 | PrevAnchor:1207 | TrackerReset:-1
[21:14:42.569] [ANCHOR] Bar:1214 Time:20:15:00 | NEW HIGH ANCHOR | Price:21743.00 | High:21746.00 | VWAP:21743.00 | PrevAnchor:1213 | TrackerReset:-1
[21:14:42.570] [ANCHOR] Bar:1215 Time:20:16:00 | NEW HIGH ANCHOR | Price:21737.25 | High:21746.50 | VWAP:21737.25 | PrevAnchor:1214 | TrackerReset:-1
[21:14:42.572] [ANCHOR] Bar:1249 Time:20:50:00 | NEW LOW ANCHOR | Price:21674.50 | Low:21666.75 | VWAP:21674.50 | PrevAnchor:1248 | TrackerReset:-1
[21:14:42.572] [ANCHOR] Bar:1250 Time:20:51:00 | NEW LOW ANCHOR | Price:21630.25 | Low:21627.00 | VWAP:21630.25 | PrevAnchor:1249 | TrackerReset:-1
[21:14:42.573] [ANCHOR] Bar:1251 Time:20:52:00 | NEW LOW ANCHOR | Price:21616.50 | Low:21584.00 | VWAP:21616.50 | PrevAnchor:1250 | TrackerReset:-1
[21:14:42.574] [ANCHOR] Bar:1252 Time:20:53:00 | NEW LOW ANCHOR | Price:21565.25 | Low:21553.25 | VWAP:21565.25 | PrevAnchor:1251 | TrackerReset:-1
[21:14:42.575] [ANCHOR] Bar:1253 Time:20:54:00 | NEW LOW ANCHOR | Price:21536.00 | Low:21502.25 | VWAP:21536.00 | PrevAnchor:1252 | TrackerReset:-1
[21:14:42.576] [ANCHOR] Bar:1258 Time:20:59:00 | NEW LOW ANCHOR | Price:21486.25 | Low:21464.00 | VWAP:21486.25 | PrevAnchor:1257 | TrackerReset:-1
[21:14:42.576] [ANCHOR] Bar:1259 Time:21:00:00 | NEW LOW ANCHOR | Price:21469.50 | Low:21451.00 | VWAP:21469.50 | PrevAnchor:1258 | TrackerReset:-1
[21:14:42.576] [ANCHOR] Bar:1260 Time:21:01:00 | NEW LOW ANCHOR | Price:21444.50 | Low:21370.25 | VWAP:21444.50 | PrevAnchor:1259 | TrackerReset:-1
[21:14:42.577] [SIGNAL2] Bar:1263 Time:21:04:00 | SIG2 LONG FIRED | Low:21497.25 | VWAP:21480.94 | Sep:16.31 | Thresh:1 | AnchorBar:1260 | LastSignaled:-1
[21:14:42.580] [CANCEL] Bar:1295 Time:21:36:00 | SIG2 LONG CANCELLED | TouchedVWAP | Low:21542.00 | VWAP:21548.92 | SignalBar:1263 | BarsAgo:32
[21:14:42.631] [SIGNAL2] Bar:2088 Time:10:49:00 | SIG2 LONG FIRED | Low:21647.25 | VWAP:21638.16 | Sep:9.09 | Thresh:1 | AnchorBar:1260 | LastSignaled:-1
