[10:12:31.528] [SYSTEM] Bar:-1 Time:N/A | === RelativeVwap Debug Log Started ===
[10:12:31.529] [SYSTEM] Bar:-1 Time:N/A | Version: 1.0.30
[10:12:31.529] [SYSTEM] Bar:-1 Time:N/A | Instrument: MNQ 03-26
[10:12:31.529] [ANCHOR] Bar:14 Time:19:15:00 | NEW HIGH ANCHOR | Price:25591.25 | High:25594.25 | VWAP:25591.25 | PrevAnchor:13 | TrackerReset:-1
[10:12:31.530] [ANCHOR] Bar:14 Time:19:15:00 | NEW LOW ANCHOR | Price:25591.25 | Low:25589.25 | VWAP:25591.25 | PrevAnchor:13 | TrackerReset:-1
[10:12:31.530] [ANCHOR] Bar:16 Time:19:17:00 | NEW HIGH ANCHOR | Price:25595.00 | High:25595.00 | VWAP:25595.00 | PrevAnchor:15 | TrackerReset:-1
[10:12:31.532] [ANCHOR] Bar:17 Time:19:18:00 | NEW HIGH ANCHOR | Price:25601.00 | High:25601.25 | VWAP:25601.00 | PrevAnchor:16 | TrackerReset:-1
[10:12:31.532] [ANCHOR] Bar:18 Time:19:19:00 | NEW HIGH ANCHOR | Price:25600.50 | High:25603.75 | VWAP:25600.50 | PrevAnchor:17 | TrackerReset:-1
[10:12:31.534] [ANCHOR] Bar:22 Time:19:23:00 | NEW HIGH ANCHOR | Price:25602.50 | High:25604.25 | VWAP:25602.50 | PrevAnchor:21 | TrackerReset:-1
[10:12:31.535] [ANCHOR] Bar:23 Time:19:24:00 | NEW HIGH ANCHOR | Price:25613.50 | High:25615.25 | VWAP:25613.50 | PrevAnchor:22 | TrackerReset:-1
[10:12:31.535] [ANCHOR] Bar:24 Time:19:25:00 | NEW HIGH ANCHOR | Price:25617.75 | High:25618.00 | VWAP:25617.75 | PrevAnchor:23 | TrackerReset:-1
[10:12:31.535] [ANCHOR] Bar:26 Time:19:27:00 | NEW HIGH ANCHOR | Price:25619.50 | High:25620.75 | VWAP:25619.50 | PrevAnchor:25 | TrackerReset:-1
[10:12:31.536] [ANCHOR] Bar:27 Time:19:28:00 | NEW HIGH ANCHOR | Price:25619.50 | High:25621.75 | VWAP:25619.50 | PrevAnchor:26 | TrackerReset:-1
[10:12:31.536] [ANCHOR] Bar:32 Time:19:33:00 | NEW HIGH ANCHOR | Price:25622.50 | High:25624.50 | VWAP:25622.50 | PrevAnchor:31 | TrackerReset:-1
[10:12:31.537] [ANCHOR] Bar:33 Time:19:34:00 | NEW HIGH ANCHOR | Price:25626.00 | High:25629.00 | VWAP:25626.00 | PrevAnchor:32 | TrackerReset:-1
[10:12:31.538] [ANCHOR] Bar:70 Time:20:11:00 | NEW HIGH ANCHOR | Price:25626.25 | High:25631.00 | VWAP:25626.25 | PrevAnchor:69 | TrackerReset:-1
[10:12:31.546] [ANCHOR] Bar:77 Time:20:18:00 | NEW HIGH ANCHOR | Price:25632.00 | High:25632.00 | VWAP:25632.00 | PrevAnchor:76 | TrackerReset:-1
[10:12:31.546] [ANCHOR] Bar:78 Time:20:19:00 | NEW HIGH ANCHOR | Price:25628.50 | High:25632.50 | VWAP:25628.50 | PrevAnchor:77 | TrackerReset:-1
[10:12:31.547] [ANCHOR] Bar:80 Time:20:21:00 | NEW HIGH ANCHOR | Price:25635.00 | High:25639.00 | VWAP:25635.00 | PrevAnchor:79 | TrackerReset:-1
[10:12:31.548] [ANCHOR] Bar:97 Time:20:38:00 | NEW HIGH ANCHOR | Price:25641.50 | High:25641.50 | VWAP:25641.50 | PrevAnchor:96 | TrackerReset:-1
[10:12:31.548] [ANCHOR] Bar:98 Time:20:39:00 | NEW HIGH ANCHOR | Price:25642.00 | High:25642.25 | VWAP:25642.00 | PrevAnchor:97 | TrackerReset:-1
[10:12:31.549] [ANCHOR] Bar:99 Time:20:40:00 | NEW HIGH ANCHOR | Price:25638.25 | High:25642.75 | VWAP:25638.25 | PrevAnchor:98 | TrackerReset:-1
[10:12:31.549] [ANCHOR] Bar:100 Time:20:41:00 | NEW HIGH ANCHOR | Price:25643.50 | High:25645.00 | VWAP:25643.50 | PrevAnchor:99 | TrackerReset:-1
[10:12:31.549] [ANCHOR] Bar:101 Time:20:42:00 | NEW HIGH ANCHOR | Price:25646.00 | High:25646.00 | VWAP:25646.00 | PrevAnchor:100 | TrackerReset:-1
[10:12:31.549] [ANCHOR] Bar:102 Time:20:43:00 | NEW HIGH ANCHOR | Price:25646.75 | High:25647.25 | VWAP:25646.75 | PrevAnchor:101 | TrackerReset:-1
[10:12:31.550] [ANCHOR] Bar:103 Time:20:44:00 | NEW HIGH ANCHOR | Price:25645.50 | High:25647.50 | VWAP:25645.50 | PrevAnchor:102 | TrackerReset:-1
[10:12:31.550] [ANCHOR] Bar:105 Time:20:46:00 | NEW HIGH ANCHOR | Price:25646.75 | High:25648.25 | VWAP:25646.75 | PrevAnchor:104 | TrackerReset:-1
[10:12:31.550] [ANCHOR] Bar:113 Time:20:54:00 | NEW HIGH ANCHOR | Price:25647.00 | High:25650.00 | VWAP:25647.00 | PrevAnchor:112 | TrackerReset:-1
[10:12:31.552] [ANCHOR] Bar:119 Time:21:00:00 | NEW HIGH ANCHOR | Price:25654.00 | High:25654.50 | VWAP:25654.00 | PrevAnchor:118 | TrackerReset:-1
[10:12:31.552] [ANCHOR] Bar:120 Time:21:01:00 | NEW HIGH ANCHOR | Price:25655.75 | High:25657.00 | VWAP:25655.75 | PrevAnchor:119 | TrackerReset:-1
[10:12:31.552] [ANCHOR] Bar:121 Time:21:02:00 | NEW HIGH ANCHOR | Price:25658.50 | High:25659.00 | VWAP:25658.50 | PrevAnchor:120 | TrackerReset:-1
[10:12:31.552] [ANCHOR] Bar:122 Time:21:03:00 | NEW HIGH ANCHOR | Price:25659.75 | High:25660.00 | VWAP:25659.75 | PrevAnchor:121 | TrackerReset:-1
[10:12:31.552] [ANCHOR] Bar:123 Time:21:04:00 | NEW HIGH ANCHOR | Price:25666.50 | High:25667.75 | VWAP:25666.50 | PrevAnchor:122 | TrackerReset:-1
[10:12:31.552] [ANCHOR] Bar:124 Time:21:05:00 | NEW HIGH ANCHOR | Price:25673.25 | High:25676.00 | VWAP:25673.25 | PrevAnchor:123 | TrackerReset:-1
[10:12:31.553] [ANCHOR] Bar:125 Time:21:06:00 | NEW HIGH ANCHOR | Price:25671.00 | High:25676.75 | VWAP:25671.00 | PrevAnchor:124 | TrackerReset:-1
[10:12:31.554] [ANCHOR] Bar:136 Time:21:17:00 | NEW HIGH ANCHOR | Price:25677.25 | High:25679.75 | VWAP:25677.25 | PrevAnchor:135 | TrackerReset:-1
[10:12:31.554] [ANCHOR] Bar:137 Time:21:18:00 | NEW HIGH ANCHOR | Price:25680.25 | High:25682.25 | VWAP:25680.25 | PrevAnchor:136 | TrackerReset:-1
[10:12:31.556] [ANCHOR] Bar:176 Time:21:57:00 | NEW HIGH ANCHOR | Price:25682.00 | High:25683.00 | VWAP:25682.00 | PrevAnchor:175 | TrackerReset:-1
[10:12:31.557] [ANCHOR] Bar:179 Time:22:00:00 | NEW HIGH ANCHOR | Price:25687.00 | High:25688.00 | VWAP:25687.00 | PrevAnchor:178 | TrackerReset:-1
[10:12:31.558] [ANCHOR] Bar:195 Time:22:16:00 | NEW HIGH ANCHOR | Price:25685.75 | High:25689.75 | VWAP:25685.75 | PrevAnchor:194 | TrackerReset:-1
[10:12:31.562] [ANCHOR] Bar:249 Time:23:10:00 | NEW HIGH ANCHOR | Price:25690.75 | High:25695.50 | VWAP:25690.75 | PrevAnchor:248 | TrackerReset:-1
[10:12:31.563] [ANCHOR] Bar:255 Time:23:16:00 | NEW HIGH ANCHOR | Price:25696.25 | High:25697.00 | VWAP:25696.25 | PrevAnchor:254 | TrackerReset:-1
[10:12:31.563] [ANCHOR] Bar:256 Time:23:17:00 | NEW HIGH ANCHOR | Price:25699.25 | High:25700.00 | VWAP:25699.25 | PrevAnchor:255 | TrackerReset:-1
[10:12:31.563] [ANCHOR] Bar:257 Time:23:18:00 | NEW HIGH ANCHOR | Price:25702.50 | High:25702.50 | VWAP:25702.50 | PrevAnchor:256 | TrackerReset:-1
[10:12:31.563] [ANCHOR] Bar:258 Time:23:19:00 | NEW HIGH ANCHOR | Price:25700.50 | High:25703.25 | VWAP:25700.50 | PrevAnchor:257 | TrackerReset:-1
[10:12:31.564] [ANCHOR] Bar:259 Time:23:20:00 | NEW HIGH ANCHOR | Price:25704.50 | High:25704.50 | VWAP:25704.50 | PrevAnchor:258 | TrackerReset:-1
[10:12:31.564] [ANCHOR] Bar:260 Time:23:21:00 | NEW HIGH ANCHOR | Price:25705.00 | High:25706.25 | VWAP:25705.00 | PrevAnchor:259 | TrackerReset:-1
[10:12:31.564] [ANCHOR] Bar:261 Time:23:22:00 | NEW HIGH ANCHOR | Price:25706.50 | High:25708.00 | VWAP:25706.50 | PrevAnchor:260 | TrackerReset:-1
[10:12:31.569] [ANCHOR] Bar:374 Time:01:15:00 | NEW HIGH ANCHOR | Price:25707.00 | High:25711.00 | VWAP:25707.00 | PrevAnchor:373 | TrackerReset:-1
[10:12:31.570] [ANCHOR] Bar:381 Time:01:22:00 | NEW HIGH ANCHOR | Price:25708.00 | High:25712.00 | VWAP:25708.00 | PrevAnchor:380 | TrackerReset:-1
[10:12:31.572] [ANCHOR] Bar:417 Time:01:58:00 | NEW HIGH ANCHOR | Price:25712.00 | High:25712.50 | VWAP:25712.00 | PrevAnchor:416 | TrackerReset:-1
[10:12:31.572] [ANCHOR] Bar:418 Time:01:59:00 | NEW HIGH ANCHOR | Price:25713.50 | High:25714.00 | VWAP:25713.50 | PrevAnchor:417 | TrackerReset:-1
[10:12:31.581] [ANCHOR] Bar:419 Time:02:00:00 | NEW HIGH ANCHOR | Price:25713.25 | High:25714.50 | VWAP:25713.25 | PrevAnchor:418 | TrackerReset:-1
[10:12:31.582] [ANCHOR] Bar:420 Time:02:01:00 | NEW HIGH ANCHOR | Price:25717.75 | High:25719.50 | VWAP:25717.75 | PrevAnchor:419 | TrackerReset:-1
[10:12:31.582] [ANCHOR] Bar:421 Time:02:02:00 | NEW HIGH ANCHOR | Price:25716.25 | High:25719.75 | VWAP:25716.25 | PrevAnchor:420 | TrackerReset:-1
[10:12:31.583] [ANCHOR] Bar:423 Time:02:04:00 | NEW HIGH ANCHOR | Price:25719.75 | High:25720.00 | VWAP:25719.75 | PrevAnchor:422 | TrackerReset:-1
[10:12:31.583] [ANCHOR] Bar:424 Time:02:05:00 | NEW HIGH ANCHOR | Price:25725.75 | High:25728.00 | VWAP:25725.75 | PrevAnchor:423 | TrackerReset:-1
[10:12:31.584] [ANCHOR] Bar:425 Time:02:06:00 | NEW HIGH ANCHOR | Price:25729.50 | High:25731.25 | VWAP:25729.50 | PrevAnchor:424 | TrackerReset:-1
[10:12:31.585] [ANCHOR] Bar:440 Time:02:21:00 | NEW HIGH ANCHOR | Price:25728.25 | High:25731.75 | VWAP:25728.25 | PrevAnchor:439 | TrackerReset:-1
[10:12:31.592] [ANCHOR] Bar:595 Time:04:56:00 | NEW LOW ANCHOR | Price:25588.00 | Low:25582.25 | VWAP:25588.00 | PrevAnchor:594 | TrackerReset:-1
[10:12:31.592] [ANCHOR] Bar:596 Time:04:57:00 | NEW LOW ANCHOR | Price:25592.75 | Low:25580.50 | VWAP:25592.75 | PrevAnchor:595 | TrackerReset:-1
[10:12:31.593] [SIGNAL2] Bar:601 Time:05:02:00 | SIG2 LONG FIRED | Low:25613.25 | VWAP:25608.35 | Sep:4.90 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.594] [SIGNAL2] Bar:602 Time:05:03:00 | SIG2 LONG FIRED | Low:25609.75 | VWAP:25608.99 | Sep:0.76 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.595] [SIGNAL2] Bar:603 Time:05:04:00 | SIG2 LONG FIRED | Low:25611.00 | VWAP:25609.66 | Sep:1.34 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.595] [SIGNAL2] Bar:604 Time:05:05:00 | SIG2 LONG FIRED | Low:25610.75 | VWAP:25610.30 | Sep:0.45 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.597] [SIGNAL2] Bar:605 Time:05:06:00 | SIG2 LONG FIRED | Low:25617.25 | VWAP:25612.33 | Sep:4.92 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.598] [SIGNAL2] Bar:606 Time:05:07:00 | SIG2 LONG FIRED | Low:25621.75 | VWAP:25613.43 | Sep:8.32 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.599] [SIGNAL2] Bar:607 Time:05:08:00 | SIG2 LONG FIRED | Low:25617.00 | VWAP:25613.81 | Sep:3.19 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.600] [SIGNAL2] Bar:609 Time:05:10:00 | SIG2 LONG FIRED | Low:25617.25 | VWAP:25614.56 | Sep:2.69 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.600] [SIGNAL2] Bar:610 Time:05:11:00 | SIG2 LONG FIRED | Low:25616.00 | VWAP:25614.72 | Sep:1.28 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.601] [SIGNAL2] Bar:621 Time:05:22:00 | SIG2 LONG FIRED | Low:25613.00 | VWAP:25610.62 | Sep:2.38 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.602] [SIGNAL2] Bar:622 Time:05:23:00 | SIG2 LONG FIRED | Low:25616.50 | VWAP:25610.79 | Sep:5.71 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.603] [SIGNAL2] Bar:623 Time:05:24:00 | SIG2 LONG FIRED | Low:25614.50 | VWAP:25610.90 | Sep:3.60 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.604] [SIGNAL2] Bar:624 Time:05:25:00 | SIG2 LONG FIRED | Low:25613.00 | VWAP:25611.02 | Sep:1.98 | Thresh:1 | AnchorBar:596 | LastSignaled:-1
[10:12:31.605] [ANCHOR] Bar:636 Time:05:37:00 | NEW LOW ANCHOR | Price:25581.75 | Low:25568.50 | VWAP:25581.75 | PrevAnchor:635 | TrackerReset:-1
[10:12:31.605] [ANCHOR] Bar:640 Time:05:41:00 | NEW LOW ANCHOR | Price:25572.50 | Low:25564.50 | VWAP:25572.50 | PrevAnchor:639 | TrackerReset:-1
[10:12:31.605] [ANCHOR] Bar:642 Time:05:43:00 | NEW LOW ANCHOR | Price:25557.00 | Low:25556.00 | VWAP:25557.00 | PrevAnchor:641 | TrackerReset:-1
[10:12:31.605] [ANCHOR] Bar:643 Time:05:44:00 | NEW LOW ANCHOR | Price:25549.25 | Low:25546.00 | VWAP:25549.25 | PrevAnchor:642 | TrackerReset:-1
[10:12:31.606] [ANCHOR] Bar:645 Time:05:46:00 | NEW LOW ANCHOR | Price:25546.75 | Low:25542.50 | VWAP:25546.75 | PrevAnchor:644 | TrackerReset:-1
[10:12:31.606] [ANCHOR] Bar:646 Time:05:47:00 | NEW LOW ANCHOR | Price:25547.75 | Low:25540.00 | VWAP:25547.75 | PrevAnchor:645 | TrackerReset:-1
[10:12:31.607] [SIGNAL2] Bar:652 Time:05:53:00 | SIG2 LONG FIRED | Low:25561.25 | VWAP:25556.23 | Sep:5.02 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.608] [SIGNAL2] Bar:653 Time:05:54:00 | SIG2 LONG FIRED | Low:25560.00 | VWAP:25556.50 | Sep:3.50 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.608] [SIGNAL2] Bar:655 Time:05:56:00 | SIG2 LONG FIRED | Low:25560.75 | VWAP:25558.22 | Sep:2.53 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.609] [SIGNAL2] Bar:656 Time:05:57:00 | SIG2 LONG FIRED | Low:25562.25 | VWAP:25558.53 | Sep:3.72 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.609] [SIGNAL2] Bar:663 Time:06:04:00 | SIG2 LONG FIRED | Low:25563.50 | VWAP:25559.27 | Sep:4.23 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.610] [SIGNAL2] Bar:664 Time:06:05:00 | SIG2 LONG FIRED | Low:25563.50 | VWAP:25559.84 | Sep:3.66 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.610] [SIGNAL2] Bar:665 Time:06:06:00 | SIG2 LONG FIRED | Low:25567.25 | VWAP:25560.20 | Sep:7.05 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.611] [SIGNAL2] Bar:666 Time:06:07:00 | SIG2 LONG FIRED | Low:25565.00 | VWAP:25560.42 | Sep:4.58 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.624] [SIGNAL2] Bar:667 Time:06:08:00 | SIG2 LONG FIRED | Low:25561.00 | VWAP:25560.54 | Sep:0.46 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.624] [SIGNAL2] Bar:669 Time:06:10:00 | SIG2 LONG FIRED | Low:25562.50 | VWAP:25560.83 | Sep:1.67 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.625] [SIGNAL2] Bar:670 Time:06:11:00 | SIG2 LONG FIRED | Low:25563.50 | VWAP:25561.01 | Sep:2.49 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.627] [SIGNAL2] Bar:684 Time:06:25:00 | SIG2 LONG FIRED | Low:25567.25 | VWAP:25561.12 | Sep:6.13 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.627] [SIGNAL2] Bar:685 Time:06:26:00 | SIG2 LONG FIRED | Low:25564.50 | VWAP:25561.21 | Sep:3.29 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.629] [SIGNAL2] Bar:686 Time:06:27:00 | SIG2 LONG FIRED | Low:25563.50 | VWAP:25561.43 | Sep:2.07 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.629] [SIGNAL2] Bar:687 Time:06:28:00 | SIG2 LONG FIRED | Low:25569.00 | VWAP:25561.54 | Sep:7.46 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.629] [SIGNAL2] Bar:688 Time:06:29:00 | SIG2 LONG FIRED | Low:25563.25 | VWAP:25561.63 | Sep:1.62 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.632] [SIGNAL2] Bar:715 Time:06:56:00 | SIG2 LONG FIRED | Low:25562.25 | VWAP:25561.18 | Sep:1.07 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.632] [SIGNAL2] Bar:717 Time:06:58:00 | SIG2 LONG FIRED | Low:25564.50 | VWAP:25561.32 | Sep:3.18 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.632] [SIGNAL2] Bar:718 Time:06:59:00 | SIG2 LONG FIRED | Low:25566.75 | VWAP:25561.42 | Sep:5.33 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.634] [SIGNAL2] Bar:719 Time:07:00:00 | SIG2 LONG FIRED | Low:25567.75 | VWAP:25561.57 | Sep:6.18 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.634] [SIGNAL2] Bar:720 Time:07:01:00 | SIG2 LONG FIRED | Low:25572.75 | VWAP:25562.30 | Sep:10.45 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.635] [SIGNAL2] Bar:721 Time:07:02:00 | SIG2 LONG FIRED | Low:25577.00 | VWAP:25562.62 | Sep:14.38 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.635] [SIGNAL2] Bar:722 Time:07:03:00 | SIG2 LONG FIRED | Low:25572.75 | VWAP:25562.72 | Sep:10.03 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.636] [SIGNAL2] Bar:723 Time:07:04:00 | SIG2 LONG FIRED | Low:25570.75 | VWAP:25569.71 | Sep:1.04 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.638] [SIGNAL2] Bar:724 Time:07:05:00 | SIG2 LONG FIRED | Low:25605.75 | VWAP:25573.30 | Sep:32.45 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.640] [SIGNAL2] Bar:725 Time:07:06:00 | SIG2 LONG FIRED | Low:25613.25 | VWAP:25576.12 | Sep:37.13 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.642] [SIGNAL2] Bar:726 Time:07:07:00 | SIG2 LONG FIRED | Low:25624.25 | VWAP:25578.07 | Sep:46.18 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.644] [SIGNAL2] Bar:727 Time:07:08:00 | SIG2 LONG FIRED | Low:25620.25 | VWAP:25579.33 | Sep:40.92 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.653] [SIGNAL2] Bar:728 Time:07:09:00 | SIG2 LONG FIRED | Low:25629.50 | VWAP:25580.39 | Sep:49.11 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.655] [SIGNAL2] Bar:729 Time:07:10:00 | SIG2 LONG FIRED | Low:25623.75 | VWAP:25581.61 | Sep:42.14 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.659] [SIGNAL2] Bar:730 Time:07:11:00 | SIG2 LONG FIRED | Low:25628.25 | VWAP:25582.32 | Sep:45.93 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.660] [SIGNAL2] Bar:731 Time:07:12:00 | SIG2 LONG FIRED | Low:25633.50 | VWAP:25583.28 | Sep:50.22 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.661] [SIGNAL2] Bar:732 Time:07:13:00 | SIG2 LONG FIRED | Low:25627.25 | VWAP:25583.98 | Sep:43.27 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.663] [SIGNAL2] Bar:733 Time:07:14:00 | SIG2 LONG FIRED | Low:25623.50 | VWAP:25584.42 | Sep:39.08 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.665] [SIGNAL2] Bar:734 Time:07:15:00 | SIG2 LONG FIRED | Low:25616.50 | VWAP:25585.33 | Sep:31.17 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
[10:12:31.667] [SIGNAL2] Bar:735 Time:07:16:00 | SIG2 LONG FIRED | Low:25621.25 | VWAP:25585.79 | Sep:35.46 | Thresh:1 | AnchorBar:646 | LastSignaled:-1
