[06:25:07.354] [SYSTEM] Bar:-1 Time:N/A | === RelativeVwap Debug Log Started ===
[06:25:07.354] [SYSTEM] Bar:-1 Time:N/A | Version: 1.0.47
[06:25:07.355] [SYSTEM] Bar:-1 Time:N/A | Instrument: NQ 03-26
[06:25:07.446] [ANCHOR] Bar:14 Time:19:15:00 | NEW HIGH ANCHOR | Price:25495.67 | High:25501.00 | VWAP:25495.67 | PrevAnchor:13 | TrackerReset:-1
[06:25:07.446] [ANCHOR] Bar:14 Time:19:15:00 | NEW LOW ANCHOR | Price:25495.67 | Low:25488.50 | VWAP:25495.67 | PrevAnchor:13 | TrackerReset:-1
[06:25:07.458] [ANCHOR] Bar:15 Time:19:16:00 | NEW LOW ANCHOR | Price:25494.92 | Low:25488.00 | VWAP:25494.92 | PrevAnchor:14 | TrackerReset:-1
[06:25:07.458] [ANCHOR] Bar:16 Time:19:17:00 | NEW HIGH ANCHOR | Price:25497.92 | High:25502.50 | VWAP:25497.92 | PrevAnchor:15 | TrackerReset:-1
[06:25:07.463] [ANCHOR] Bar:17 Time:19:18:00 | NEW HIGH ANCHOR | Price:25508.58 | High:25517.50 | VWAP:25508.58 | PrevAnchor:16 | TrackerReset:-1
[06:25:07.463] [ANCHOR] Bar:18 Time:19:19:00 | NEW HIGH ANCHOR | Price:25518.00 | High:25521.25 | VWAP:25518.00 | PrevAnchor:17 | TrackerReset:-1
[06:25:07.464] [ANCHOR] Bar:20 Time:19:21:00 | NEW HIGH ANCHOR | Price:25517.75 | High:25524.50 | VWAP:25517.75 | PrevAnchor:19 | TrackerReset:-1
[06:25:07.464] [ANCHOR] Bar:21 Time:19:22:00 | NEW HIGH ANCHOR | Price:25527.83 | High:25535.25 | VWAP:25527.83 | PrevAnchor:20 | TrackerReset:-1
[06:25:07.465] [ANCHOR] Bar:22 Time:19:23:00 | NEW HIGH ANCHOR | Price:25534.58 | High:25542.25 | VWAP:25534.58 | PrevAnchor:21 | TrackerReset:-1
[06:25:07.467] [ANCHOR] Bar:31 Time:19:32:00 | NEW HIGH ANCHOR | Price:25534.00 | High:25544.75 | VWAP:25534.00 | PrevAnchor:30 | TrackerReset:-1
[06:25:07.469] [ANCHOR] Bar:50 Time:19:51:00 | NEW HIGH ANCHOR | Price:25542.50 | High:25548.50 | VWAP:25542.50 | PrevAnchor:49 | TrackerReset:-1
