ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,6E 03-26,2025-12-29 05:01:00,Short,1.18294972714871,2025-12-29 05:41:00,1.1833,SL_Short_01,-87.57,12.36,-99.93,-87.57,337.43,Europe High,1,-1.00
2,6E 03-26,2025-12-29 12:59:00,Long,1.18010055467512,2025-12-29 13:03:00,1.17965,SL_Long_01,-112.64,12.36,-125.00,-112.64,24.86,USA Low,1,-1.00
3,6E 03-26,2025-12-29 13:08:00,Long,1.17975,2025-12-29 13:08:00,1.17955,SL_Long_02,-75.00,18.54,-93.54,-75.00,0.00,USA Low,2,-1.00
4,6E 03-26,2025-12-29 13:23:00,Long,1.1796525751073,2025-12-29 13:26:00,1.1794,SL_Long_03,-63.14,12.36,-75.50,-63.14,11.86,USA Low,3,-1.00
5.1,6E 03-26,2025-12-29 13:40:00,Long,1.17960079697986,2025-12-29 17:00:00,1.1814,TP1_Long_04,224.90,6.18,218.72,-62.70,462.30,USA Low,4,2.56
5.2,6E 03-26,2025-12-29 13:40:00,Long,1.17960079697986,2025-12-30 11:17:00,1.17960079697986,SL_Long_04,0.00,6.18,-6.18,-62.70,462.30,USA Low,4,0.00
6,6E 03-26,2025-12-30 11:36:00,Long,1.1792,2025-12-30 11:42:00,1.179,SL_Long_05,-50.00,12.36,-62.36,-50.00,62.50,USA Low,5,-1.00
7.1,6E 03-26,2025-12-30 11:50:00,Long,1.1789,2025-12-30 12:48:00,1.18065,TP1_Long_06,218.75,6.18,212.57,-12.50,450.00,USA Low,6,3.50
7.2,6E 03-26,2025-12-30 11:50:00,Long,1.1789,2025-12-30 15:54:00,1.1789,SL_Long_06,0.00,6.18,-6.18,-12.50,450.00,USA Low,6,0.00
8,6E 03-26,2025-12-30 17:21:00,Long,1.17870011494253,2025-12-30 20:48:00,1.17845,SL_Long_07,-62.53,12.36,-74.89,-62.53,87.47,USA Low,7,-1.00
9,6E 03-26,2025-12-30 22:27:00,Long,1.1781,2025-12-31 00:36:00,1.1778,SL_Long_08,-75.00,12.36,-87.36,-75.00,62.50,USA Low,8,-1.00
10,6E 03-26,2025-12-31 01:18:00,Long,1.17755,2025-12-31 03:18:00,1.17725,SL_Long_09,-75.00,12.36,-87.36,-75.00,112.50,USA Low,9,-1.00
11,6E 03-26,2025-12-31 03:32:00,Long,1.1771,2025-12-31 04:28:00,1.17695,SL_Long_10,-56.25,18.54,-74.79,-56.25,318.75,USA Low,10,-1.00
12,6E 03-26,2025-12-31 04:47:00,Long,1.17665,2025-12-31 04:47:00,1.17645,SL_Long_01,-50.00,12.36,-62.36,-50.00,0.00,Europe Low,1,-1.00
13.1,6E 03-26,2025-12-31 05:02:00,Long,1.17615,2025-12-31 05:37:00,1.17755,TP1_Long_02,175.00,6.18,168.82,-37.50,362.50,Europe Low,2,3.50
13.2,6E 03-26,2025-12-31 05:02:00,Long,1.17615,2025-12-31 06:47:00,1.17795,TP2_Long_02,225.00,6.18,218.82,-37.50,362.50,Europe Low,2,4.50
14,6E 03-26,2025-12-31 08:14:00,Short,1.17895,2025-12-31 08:17:00,1.17915,SL_Short_01,-75.00,18.54,-93.54,-75.00,0.00,Asia High,1,-1.00
15.1,6E 03-26,2025-12-31 09:19:00,Short,1.17944843003413,2025-12-31 09:51:00,1.17825,TP1_Short_02,149.80,6.18,143.62,-87.89,312.11,Asia High,2,1.19
15.2,6E 03-26,2025-12-31 09:19:00,Short,1.17944843003413,2025-12-31 10:51:00,1.177,TP2_Short_02,306.05,6.18,299.87,-87.89,312.30,Asia High,2,2.44
1,6E 03-26,2025-12-23 04:26:00,Short,1.18265,2025-12-23 05:00:00,1.183,SL_Short_01,-87.50,12.36,-99.86,-87.50,37.50,Europe High,1,-1.00
2,6E 03-26,2025-12-23 05:14:00,Short,1.1833,2025-12-23 05:15:00,1.18355,SL_Short_02,-62.50,12.36,-74.86,-62.50,0.00,Europe High,2,-1.00
3,6E 03-26,2025-12-23 05:32:00,Short,1.18304465703971,2025-12-23 05:59:00,1.18365,SL_Short_03,-151.34,12.36,-163.70,-151.34,36.16,Europe High,3,-1.00
4,6E 03-26,2025-12-23 06:24:00,Short,1.18404988262911,2025-12-23 06:28:00,1.1842,SL_Short_04,-56.29,18.54,-74.83,-56.29,18.71,Europe High,4,-1.00
