ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,M2K 03-26,2025-12-30 05:05:00,Short,2538.7,2025-12-30 05:05:00,2539.1,SL_Short_01,-62.00,56.42,-118.42,-62.00,0.00,Asia High,1,-1.00
2,M2K 03-26,2025-12-30 05:16:00,Short,2539.5,2025-12-30 05:40:00,2539.9,SL_Short_02,-62.00,56.42,-118.42,-62.00,77.50,Asia High,2,-1.00
3,M2K 03-26,2025-12-30 06:05:00,Short,2539.9,2025-12-30 06:25:00,2540.4,SL_Short_03,-72.50,52.78,-125.28,-87.00,72.50,Asia High,3,-1.00
4,M2K 03-26,2025-12-30 10:46:00,Long,2531.1,2025-12-30 10:46:00,2528.8,SL_Long_01,-80.50,12.74,-93.24,-80.50,0.00,USA Low,1,-1.00
5,M2K 03-26,2025-12-31 04:19:00,Long,2508.50588235294,2025-12-31 04:25:00,2508.1,SL_Long_01,-73.06,65.52,-138.58,-73.06,106.94,Europe Low,1,-1.00
6,M2K 03-26,2025-12-31 04:30:00,Long,2508.1,2025-12-31 04:30:00,2507.6,SL_Long_02,-55.00,40.04,-95.04,-55.00,0.00,Europe Low,2,-1.00
7,M2K 03-26,2025-12-31 04:39:00,Long,2505.8,2025-12-31 04:40:00,2505.3,SL_Long_03,-75.00,54.60,-129.60,-90.00,0.00,Europe Low,3,-1.00
8,M2K 03-26,2025-12-31 05:01:00,Long,2505.82653061225,2025-12-31 05:01:00,2504.1,SL_Long_04,-69.06,14.56,-83.62,-69.06,0.00,Europe Low,4,-1.00
9,M2K 03-26,2025-12-31 09:56:00,Short,2519.7,2025-12-31 09:56:00,2520.1,SL_Short_01,-66.00,60.06,-126.06,-66.00,0.00,Asia High,1,-1.00
10,M2K 03-26,2025-12-31 10:20:00,Short,2519.49533898305,2025-12-31 10:27:00,2520.4,SL_Short_02,-67.85,27.30,-95.15,-67.85,59.65,Asia High,2,-1.00
1,M2K 03-26,2025-12-22 07:14:00,Short,2557.3,2025-12-22 07:23:00,2557.4,SL_Short_01,-18.50,67.34,-85.84,-18.50,166.50,Europe High,1,-1.00
2,M2K 03-26,2025-12-22 07:31:00,Short,2557.49565217391,2025-12-22 07:46:00,2557.8,SL_Short_02,-36.52,43.68,-80.20,-36.52,227.48,Europe High,2,-1.00
3,M2K 03-26,2025-12-22 07:57:00,Short,2558.2125,2025-12-22 08:45:00,2558.6,SL_Short_03,-38.75,36.40,-75.15,-38.75,181.25,Europe High,3,-1.00
4,M2K 03-26,2025-12-22 08:59:00,Short,2558.8,2025-12-22 09:00:00,2559,SL_Short_04,-80.00,145.60,-225.60,-80.00,0.00,Europe High,4,-1.00
5,M2K 03-26,2025-12-22 09:21:00,Short,2560.47027027027,2025-12-22 09:51:00,2561.8,SL_Short_05,-39.89,10.92,-50.81,-39.89,59.11,Europe High,5,-1.00
