ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,MBT 01-26,2025-12-29 07:45:00,Long,88010,2025-12-29 07:48:00,87915,SL_Long_01,-95.00,31.20,-126.20,-95.00,0.00,Europe Low,1,-1.00
2,MBT 01-26,2025-12-29 07:51:00,Long,87975,2025-12-29 08:01:00,87880,SL_Long_02,-104.50,34.32,-138.82,-104.50,33.00,Europe Low,2,-1.00
3,MBT 01-26,2025-12-29 08:06:00,Long,87885,2025-12-29 08:06:00,87825,SL_Long_03,-96.00,49.92,-145.92,-112.00,0.00,Europe Low,3,-1.00
4,MBT 01-26,2025-12-29 08:19:00,Long,87215.9854771784,2025-12-30 10:53:00,88995,TP1_Long_04,711.61,12.48,699.13,-91.69,1248.81,Europe Low,4,7.48
4.2,MBT 01-26,2025-12-29 08:19:00,Long,87215.9854771784,2025-12-31 18:00:00,88085,Exit on session close,260.70,9.36,251.34,-91.69,1248.81,Europe Low,4,2.74
1,MBT 01-26,2025-12-22 04:26:00,Short,90303.9239543726,2025-12-22 04:28:00,90490,SL_Short_01,-37.22,6.24,-43.46,-37.22,12.78,Europe High,1,-1.00
2,MBT 01-26,2025-12-22 04:46:00,Short,90357.5883152174,2025-12-22 07:34:00,90525,SL_Short_02,-33.48,6.24,-39.72,-33.48,114.52,Europe High,2,-1.00
3,MBT 01-26,2025-12-22 07:42:00,Short,90465,2025-12-22 08:29:00,90875,SL_Short_03,-82.00,6.24,-88.24,-83.00,19.00,Europe High,3,-1.00
4,MBT 01-26,2025-12-22 08:32:00,Short,90949,2025-12-22 08:33:00,90970,SL_Short_04,-33.60,49.92,-83.52,-113.60,198.40,Europe High,4,-1.00
5,MBT 01-26,2025-12-22 16:23:00,Long,88535.8765432099,2025-12-22 23:08:00,88365,SL_Long_01,-51.26,9.36,-60.62,-51.26,278.74,USA Low,1,-1.13
6,MBT 01-26,2025-12-23 10:56:00,Long,87255.1724137931,2025-12-23 10:56:00,87245,SL_Long_01,-55.95,171.60,-227.55,-303.45,411.55,USA Low,1,-1.00
7,MBT 01-26,2025-12-24 05:08:00,Long,87135,2025-12-24 05:41:00,87015,SL_Long_01,-84.00,21.84,-105.84,-84.00,59.50,Asia Low,1,-1.14
8,MBT 01-26,2025-12-25 22:18:00,Short,89110,2025-12-25 22:18:00,89120,SL_Short_01,-82.00,255.84,-337.84,-164.00,205.00,USA High,1,-1.00
9,MBT 01-26,2025-12-25 22:31:00,Short,89565,2025-12-25 22:32:00,89825,SL_Short_01,-78.00,9.36,-87.36,-78.00,0.00,Asia High,1,-1.00
10,MBT 01-26,2025-12-25 22:42:00,Short,89775,2025-12-26 03:24:00,89990,SL_Short_02,-64.50,9.36,-73.86,-66.00,250.50,Asia High,2,-1.00
11,MBT 01-26,2025-12-26 03:26:00,Short,90020,2025-12-26 03:26:00,90055,SL_Short_03,-70.00,62.40,-132.40,-90.00,0.00,Asia High,3,-1.00
12,MBT 01-26,2025-12-26 11:21:00,Long,87090.6671779141,2025-12-26 18:00:00,87815,Exit on session close,289.73,12.48,277.25,-38.27,447.73,Asia Low,1,4.37
1,MBT 01-26,2025-12-15 11:08:00,Long,88515.1972757163,2025-12-15 11:11:00,88510,SL_Long_01,-1.04,6.24,-7.28,-3.04,72.96,USA Low,1,-1.00
2,MBT 01-26,2025-12-15 11:20:00,Long,87695,2025-12-15 11:20:00,87685,SL_Long_02,-51.00,159.12,-210.12,-51.00,1122.00,USA Low,2,-1.00
3,MBT 01-26,2025-12-15 11:36:00,Long,87571.7686225551,2025-12-15 11:41:00,87295,SL_Long_03,-55.35,6.24,-61.59,-55.35,5.65,USA Low,3,-1.00
4,MBT 01-26,2025-12-15 11:50:00,Long,87685.8280069727,2025-12-15 12:35:00,87235,SL_Long_04,-90.17,6.24,-96.41,-90.17,42.83,USA Low,4,-1.00
5,MBT 01-26,2025-12-15 12:55:00,Long,86965,2025-12-15 13:33:00,86695,SL_Long_05,-81.00,9.36,-90.36,-81.00,63.00,USA Low,5,-1.00
6,MBT 01-26,2025-12-15 13:45:00,Long,86505,2025-12-15 13:51:00,86345,SL_Long_06,-64.00,12.48,-76.48,-66.00,54.00,USA Low,6,-1.00
7,MBT 01-26,2025-12-15 14:01:00,Long,86331.4465408805,2025-12-15 14:28:00,86195,SL_Long_07,-54.58,12.48,-67.06,-54.58,131.42,USA Low,7,-1.08
8,MBT 01-26,2025-12-15 14:41:00,Long,86111.1382598331,2025-12-15 23:34:00,86105,SL_Long_08,-1.23,6.24,-7.47,-1.23,217.77,USA Low,8,-1.00
9,MBT 01-26,2025-12-18 15:35:00,Long,86062.5086805556,2025-12-18 15:41:00,85610,SL_Long_01,-90.50,6.24,-96.74,-90.50,16.50,USA Low,1,-1.00
10,MBT 01-26,2025-12-18 15:52:00,Long,85245,2025-12-18 15:53:00,85080,SL_Long_02,-66.00,12.48,-78.48,-70.00,4.00,USA Low,2,-1.00
11.1,MBT 01-26,2025-12-18 16:09:00,Long,85489.039497307,2025-12-18 23:28:00,87610,TP1_Long_03,212.10,3.12,208.98,-62.81,425.19,USA Low,3,2.17
11.2,MBT 01-26,2025-12-18 16:09:00,Long,85489.039497307,2025-12-19 11:18:00,90030,TP2_Long_03,454.10,3.12,450.98,-62.81,455.60,USA Low,3,4.64
1,MBT 01-26,2025-12-08 04:55:00,Short,92639.9122807018,2025-12-08 04:56:00,92755,SL_Short_01,-23.02,6.24,-29.26,-23.02,0.00,Europe High,1,-1.00
2,MBT 01-26,2025-12-08 05:02:00,Short,92760,2025-12-08 05:02:00,92820,SL_Short_02,-18.00,9.36,-27.36,-18.00,0.00,Europe High,2,-1.00
3.1,MBT 01-26,2025-12-08 06:12:00,Short,92875.8704883227,2025-12-08 09:41:00,92295,TP2_Short_03,58.09,3.12,54.97,-33.83,118.17,Europe High,3,1.06
3.2,MBT 01-26,2025-12-08 06:12:00,Short,92875.8704883227,2025-12-08 10:27:00,91965,TP1_Short_03,91.09,3.12,87.97,-33.83,118.17,Europe High,3,1.66
4,MBT 01-26,2025-12-08 11:37:00,Long,90643.1195965418,2025-12-08 11:38:00,90455,SL_Long_01,-75.25,12.48,-87.73,-75.25,0.00,USA Low,1,-1.00
5,MBT 01-26,2025-12-08 11:53:00,Long,90495.4530744337,2025-12-08 17:31:00,91900,TP1_Long_02,280.91,6.24,274.67,-33.14,424.36,USA Low,2,5.49
5.2,MBT 01-26,2025-12-08 11:53:00,Long,90495.4530744337,2025-12-09 00:38:00,90495.4530744337,SL_Long_02,0.00,3.12,-3.12,-33.14,424.36,USA Low,2,0.00
6,MBT 01-26,2025-12-09 11:07:00,Short,91755,2025-12-09 11:30:00,92065,SL_Short_01,-62.00,6.24,-68.24,-63.00,103.00,Asia High,1,-1.00
7,MBT 01-26,2025-12-09 11:42:00,Short,92529.9019607843,2025-12-09 11:42:00,92540,SL_Short_02,-59.58,184.08,-243.66,-59.58,235.42,Asia High,2,-1.00
8,MBT 01-26,2025-12-09 12:06:00,Short,93974.9362606232,2025-12-09 12:11:00,94115,SL_Short_01,-56.03,12.48,-68.51,-58.03,63.97,Europe High,1,-1.00
9,MBT 01-26,2025-12-09 12:58:00,Short,95179.4983277592,2025-12-09 13:05:00,95375,SL_Short_02,-58.65,9.36,-68.01,-58.65,50.85,Europe High,2,-1.00
10,MBT 01-26,2025-12-09 13:49:00,Short,94823.125415172,2025-12-09 13:49:00,94830,SL_Short_03,-1.37,6.24,-7.61,0.00,0.00,Europe High,3,-1.00
1,MBT 01-26,2025-12-01 08:56:00,Long,86128.2848101266,2025-12-01 08:56:00,86125,SL_Long_01,-0.66,6.24,-6.90,0.00,0.00,Europe Low,1,-1.00
2,MBT 01-26,2025-12-01 11:58:00,Long,85335.9611211573,2025-12-01 11:58:00,85330,SL_Long_02,-1.19,6.24,-7.43,-1.19,0.00,Europe Low,2,-1.00
1,MBT 01-26,2025-11-24 05:31:00,Long,86750,2025-11-24 06:26:00,86715,SL_Long_01,-42.00,37.44,-79.44,-42.00,432.00,Europe Low,1,-1.00
