ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,MCL 02-26,2025-12-29 05:11:00,Short,57.68,2025-12-29 05:23:00,57.73,SL_Short_01,-95.00,29.26,-124.26,-95.00,76.00,Europe High,1,-1.00
2,MCL 02-26,2025-12-29 05:29:00,Short,57.77,2025-12-29 05:29:00,57.79,SL_Short_02,-86.00,66.22,-152.22,-86.00,0.00,Europe High,2,-1.00
3,MCL 02-26,2025-12-29 06:07:00,Short,57.97,2025-12-29 08:43:00,58.1,SL_Short_03,-91.00,10.78,-101.78,-91.00,182.00,Europe High,3,-1.00
4,MCL 02-26,2025-12-29 09:27:00,Short,58.17528,2025-12-29 10:37:00,58.28,SL_Short_04,-94.25,13.86,-108.11,-94.25,283.75,Europe High,4,-1.00
5,MCL 02-26,2025-12-29 12:30:00,Short,58.17,2025-12-29 14:13:00,57.87,TP1_Short_05,90.00,4.62,85.38,-10.00,155.00,Europe High,5,1.20
5.2,MCL 02-26,2025-12-29 12:30:00,Short,58.17,2025-12-29 15:33:00,58.17,SL_Short_05,0.00,3.08,-3.08,-10.00,155.00,Europe High,5,0.00
6,MCL 02-26,2025-12-30 05:30:00,Short,58.3,2025-12-30 05:30:00,58.34,SL_Short_01,-80.00,30.80,-110.80,-80.00,0.00,Europe High,1,-1.00
7,MCL 02-26,2025-12-30 05:49:00,Short,58.3994225721785,2025-12-30 08:13:00,58.46,SL_Short_02,-66.64,16.94,-83.58,-66.64,263.36,Europe High,2,-1.00
8,MCL 02-26,2025-12-30 08:29:00,Short,58.3999159663866,2025-12-30 12:27:00,58.15,TP1_Short_03,124.96,7.70,117.26,-63.08,233.92,Europe High,3,1.73
8.2,MCL 02-26,2025-12-30 08:29:00,Short,58.3999159663866,2025-12-30 13:23:00,58.01,TP2_Short_03,155.97,6.16,149.81,-63.08,233.92,Europe High,3,2.16
