ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,MES 03-26,2025-12-29 04:26:00,Long,6966.5,2025-12-29 04:36:00,6964.5,SL_Long_01,-70.00,12.74,-82.74,-70.00,35.00,Europe Low,1,-1.00
2,MES 03-26,2025-12-29 04:46:00,Long,6962.75,2025-12-29 04:47:00,6961,SL_Long_02,-78.75,16.38,-95.13,-78.75,0.00,Europe Low,2,-1.00
3,MES 03-26,2025-12-29 05:01:00,Long,6959.25732142857,2025-12-29 08:46:00,6957.25,SL_Long_03,-80.29,14.56,-94.85,-80.29,299.71,Europe Low,3,-1.00
4,MES 03-26,2025-12-29 09:01:00,Long,6959.00475984422,2025-12-29 09:48:00,6956,SL_Long_04,-60.10,7.28,-67.38,-60.10,84.90,Europe Low,4,-1.00
5,MES 03-26,2025-12-29 10:05:00,Long,6949.75703715202,2025-12-29 10:17:00,6945.25,SL_Long_05,-67.61,5.46,-73.07,-67.61,18.64,Europe Low,5,-1.00
6,MES 03-26,2025-12-29 10:25:00,Long,6945,2025-12-29 10:37:00,6962.75,TP1_Long_06,266.25,5.46,260.79,-25.00,450.00,Europe Low,6,3.55
6.2,MES 03-26,2025-12-29 10:25:00,Long,6945,2025-12-29 11:11:00,6945,SL_Long_06,0.00,3.64,-3.64,-25.00,450.00,Europe Low,6,0.00
7,MES 03-26,2025-12-29 12:51:00,Long,6944.50001967729,2025-12-29 13:12:00,6941.5,SL_Long_07,-90.00,10.92,-100.92,-90.00,150.00,Europe Low,7,-1.00
8,MES 03-26,2025-12-29 13:39:00,Long,6938.5,2025-12-29 14:36:00,6953.5,TP1_Long_08,225.00,5.46,219.54,-15.00,457.50,Europe Low,8,3.00
8.2,MES 03-26,2025-12-29 13:39:00,Long,6938.5,2025-12-30 20:13:00,6938.5,SL_Long_08,0.00,5.46,-5.46,-15.00,457.50,Europe Low,8,0.00
9,MES 03-26,2025-12-30 20:59:00,Long,6933.5,2025-12-30 21:01:00,6932,SL_Long_01,-67.50,16.38,-83.88,-67.50,45.00,Asia Low,1,-1.00
10,MES 03-26,2025-12-30 21:40:00,Long,6932.0039282364,2025-12-30 22:57:00,6937.75,TP1_Long_02,57.46,3.64,53.82,-10.08,119.92,Asia Low,2,0.72
10.2,MES 03-26,2025-12-30 21:40:00,Long,6932.0039282364,2025-12-31 01:49:00,6932.0039282364,SL_Long_02,0.00,3.64,-3.64,-10.08,119.92,Asia Low,2,0.00
11,MES 03-26,2025-12-31 02:38:00,Long,6928.25075,2025-12-31 03:12:00,6926.5,SL_Long_03,-78.78,16.38,-95.16,-78.78,101.22,Asia Low,3,-1.00
