ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,MGC 02-26,2025-12-29 07:55:00,Long,4467.32116402117,2025-12-29 07:55:00,4467.2,SL_Long_01,-2.42,3.08,-5.50,-2.42,0.00,Europe Low,1,-1.00
2,MGC 02-26,2025-12-29 10:01:00,Long,4433.00279300893,2025-12-29 10:02:00,4426.1,SL_Long_02,-138.06,3.08,-141.14,-138.06,13.94,Europe Low,2,-1.00
3,MGC 02-26,2025-12-29 10:20:00,Long,4413.41959962754,2025-12-29 10:31:00,4405,SL_Long_03,-168.39,3.08,-171.47,-168.39,71.61,Europe Low,3,-1.00
4,MGC 02-26,2025-12-29 10:38:00,Long,4396.41663733944,2025-12-29 10:38:00,4396.3,SL_Long_04,-2.33,3.08,-5.41,-2.33,0.00,Europe Low,4,-1.00
5,MGC 02-26,2025-12-29 10:52:00,Long,4392.13112409006,2025-12-29 10:52:00,4392,SL_Long_05,-2.62,3.08,-5.70,-2.62,0.00,Europe Low,5,-1.00
6,MGC 02-26,2025-12-29 11:12:00,Long,4353.50809419638,2025-12-29 11:21:00,4345.6,SL_Long_06,-158.16,3.08,-161.24,-158.16,219.84,Europe Low,6,-1.00
7,MGC 02-26,2025-12-29 11:30:00,Long,4336.63307843566,2025-12-29 11:33:00,4336.5,SL_Long_07,-2.66,3.08,-5.74,-2.66,187.34,Europe Low,7,-1.00
1,MGC 02-26,2025-12-22 09:04:00,Short,4451.29987124464,2025-12-22 09:09:00,4454.7,SL_Short_01,-68.00,3.08,-71.08,-68.00,26.00,Europe High,1,-1.00
2,MGC 02-26,2025-12-22 09:19:00,Short,4459.6,2025-12-22 10:18:00,4462.4,SL_Short_02,-56.00,3.08,-59.08,-56.00,274.00,Europe High,2,-1.00
3,MGC 02-26,2025-12-22 10:31:00,Short,4462.69950440528,2025-12-22 10:48:00,4464.6,SL_Short_03,-57.01,4.62,-61.63,-57.01,392.99,Europe High,3,-1.00
4,MGC 02-26,2025-12-22 10:51:00,Short,4462.99977107974,2025-12-22 11:46:00,4465.3,SL_Short_04,-46.00,3.08,-49.08,-46.00,310.00,Europe High,4,-1.00
5,MGC 02-26,2025-12-22 12:05:00,Short,4466.59863252836,2025-12-22 12:07:00,4471.3,SL_Short_05,-94.03,3.08,-97.11,-94.03,45.97,Europe High,5,-1.00
6,MGC 02-26,2025-12-22 12:19:00,Short,4473.3,2025-12-22 12:19:00,4474.6,SL_Short_06,-52.00,6.16,-58.16,-52.00,0.00,Europe High,6,-1.00
7,MGC 02-26,2025-12-22 12:26:00,Short,4473.9,2025-12-22 12:31:00,4475.8,SL_Short_07,-57.00,4.62,-61.62,-57.00,96.00,Europe High,7,-1.00
8,MGC 02-26,2025-12-22 12:37:00,Short,4471.98748171981,2025-12-22 17:05:00,4477.6,SL_Short_08,-112.25,3.08,-115.33,-112.25,161.75,Europe High,8,-1.00
9,MGC 02-26,2025-12-22 17:12:00,Short,4477.8,2025-12-22 17:14:00,4478.8,SL_Short_09,-50.00,7.70,-57.70,-50.00,15.00,Europe High,9,-1.00
10,MGC 02-26,2025-12-22 17:44:00,Short,4482.59386947923,2025-12-22 19:03:00,4484.6,SL_Short_10,-40.12,3.08,-43.20,-40.12,57.88,Europe High,10,-1.00
11,MGC 02-26,2025-12-22 19:13:00,Short,4486.4,2025-12-22 19:14:00,4487.6,SL_Short_11,-48.00,6.16,-54.16,-48.00,16.00,Europe High,11,-1.00
12,MGC 02-26,2025-12-22 20:03:00,Short,4492.7,2025-12-22 20:04:00,4494.3,SL_Short_12,-32.00,3.08,-35.08,-32.00,2.00,Europe High,12,-1.00
13,MGC 02-26,2025-12-22 20:13:00,Short,4497.39554589897,2025-12-22 20:13:00,4498.8,SL_Short_13,-42.13,4.62,-46.75,-42.13,2.87,Europe High,13,-1.00
14,MGC 02-26,2025-12-22 20:24:00,Short,4500.2991744066,2025-12-22 20:30:00,4501.8,SL_Short_14,-90.05,9.24,-99.29,-90.05,203.95,Europe High,14,-1.00
15,MGC 02-26,2025-12-22 20:37:00,Short,4501.8,2025-12-22 20:52:00,4504,SL_Short_15,-88.00,6.16,-94.16,-88.00,56.00,Europe High,15,-1.00
16,MGC 02-26,2025-12-23 10:41:00,Long,4485.71240723564,2025-12-23 10:44:00,4478.4,SL_Long_01,-146.25,3.08,-149.33,-146.25,41.75,Asia Low,1,-1.00
17,MGC 02-26,2025-12-23 10:48:00,Long,4481.70547597462,2025-12-23 10:59:00,4476.7,SL_Long_02,-100.11,3.08,-103.19,-100.11,155.89,Asia Low,2,-1.00
18,MGC 02-26,2025-12-23 11:29:00,Long,4470.12302175763,2025-12-23 11:29:00,4470,SL_Long_03,-2.46,3.08,-5.54,-2.46,0.00,Asia Low,3,-1.00
1,MGC 02-26,2025-12-15 04:37:00,Short,4378.6,2025-12-15 04:49:00,4380.7,SL_Short_01,-42.00,3.08,-45.08,-42.00,10.00,Europe High,1,-1.00
2,MGC 02-26,2025-12-15 04:56:00,Short,4381.6,2025-12-15 05:14:00,4382.9,SL_Short_02,-39.00,4.62,-43.62,-39.00,141.00,Europe High,2,-1.00
3,MGC 02-26,2025-12-15 05:27:00,Short,4380.59887440758,2025-12-15 05:33:00,4384.1,SL_Short_03,-70.02,3.08,-73.10,-70.02,11.98,Europe High,3,-1.00
4,MGC 02-26,2025-12-15 12:21:00,Long,4333.90108254398,2025-12-15 12:22:00,4331.1,SL_Long_01,-84.03,4.62,-88.65,-84.03,0.00,USA Low,1,-1.00
5,MGC 02-26,2025-12-15 12:29:00,Long,4325.80045885141,2025-12-15 12:35:00,4322.6,SL_Long_02,-96.01,4.62,-100.63,-96.01,161.99,USA Low,2,-1.00
6,MGC 02-26,2025-12-15 12:43:00,Long,4320.3060539592,2025-12-15 22:58:00,4315.5,SL_Long_03,-96.12,3.08,-99.20,-96.12,537.88,USA Low,3,-1.00
7,MGC 02-26,2025-12-15 23:01:00,Long,4315.00002883505,2025-12-15 23:12:00,4312.9,SL_Long_04,-63.00,4.62,-67.62,-63.00,192.00,USA Low,4,-1.00
8,MGC 02-26,2025-12-15 23:15:00,Long,4313.2,2025-12-15 23:15:00,4309.3,SL_Long_05,-78.00,3.08,-81.08,-80.00,6.00,USA Low,5,-1.00
9,MGC 02-26,2025-12-15 23:19:00,Long,4309.50045936396,2025-12-16 01:30:00,4307.1,SL_Long_06,-72.01,4.62,-76.63,-72.01,287.99,USA Low,6,-1.00
10.1,MGC 02-26,2025-12-16 01:36:00,Long,4300.0016515837,2025-12-16 08:19:00,4319.2,TP1_Long_07,191.98,1.54,190.44,-18.03,385.97,USA Low,7,3.43
10.2,MGC 02-26,2025-12-16 01:36:00,Long,4300.0016515837,2025-12-16 11:09:00,4367.4,TP2_Long_07,673.98,1.54,672.44,-18.03,674.98,USA Low,7,12.03
11,MGC 02-26,2025-12-16 11:25:00,Short,4354.41767343087,2025-12-16 11:25:00,4354.5,SL_Short_01,-1.65,3.08,-4.73,0.00,0.00,USA High,1,-1.00
12,MGC 02-26,2025-12-17 01:32:00,Short,4365.97490859233,2025-12-17 01:39:00,4369.8,SL_Short_02,-76.50,3.08,-79.58,-76.50,65.50,USA High,2,-1.00
13.1,MGC 02-26,2025-12-17 02:10:00,Short,4367.0684345933,2025-12-17 03:20:00,4351.5,TP1_Short_03,155.68,1.54,154.14,-32.63,313.37,USA High,3,1.17
13.2,MGC 02-26,2025-12-17 02:10:00,Short,4367.0684345933,2025-12-17 09:32:00,4367.0684345933,SL_Short_03,0.00,1.54,-1.54,-32.63,317.68,USA High,3,0.00
14,MGC 02-26,2025-12-18 05:01:00,Long,4356.10183823529,2025-12-18 05:43:00,4352.2,SL_Long_01,-117.06,4.62,-121.68,-117.06,98.94,Asia Low,1,-1.00
15,MGC 02-26,2025-12-18 05:47:00,Long,4354.0007255139,2025-12-18 05:56:00,4351.4,SL_Long_02,-104.03,6.16,-110.19,-104.03,51.97,Asia Low,2,-1.00
