ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,MHG 03-26,2025-12-29 04:56:00,Long,5.69351666666667,2025-12-29 04:57:00,5.685,SL_Long_01,-42.58,3.08,-45.66,-42.58,2.42,Europe Low,1,-1.00
2,MHG 03-26,2025-12-29 05:04:00,Long,5.70174489795918,2025-12-29 07:37:00,5.6835,SL_Long_02,-91.22,3.08,-94.30,-91.22,78.78,Europe Low,2,-1.00
3,MHG 03-26,2025-12-29 07:51:00,Long,5.60811672794118,2025-12-29 08:00:00,5.5845,SL_Long_03,-118.08,3.08,-121.16,-118.08,6.92,Europe Low,3,-1.00
4,MHG 03-26,2025-12-29 08:09:00,Long,5.57362430167598,2025-12-29 11:07:00,5.559,SL_Long_04,-73.12,3.08,-76.20,-75.62,599.38,Europe Low,4,-1.00
5,MHG 03-26,2025-12-29 11:23:00,Long,5.56819917582418,2025-12-29 19:17:00,5.557,SL_Long_05,-111.99,6.16,-118.15,-116.99,393.01,Europe Low,5,-1.00
6,MHG 03-26,2025-12-30 09:09:00,Short,5.73964573991032,2025-12-30 13:00:00,5.7585,SL_Short_01,-94.27,3.08,-97.35,-96.77,235.73,Asia High,1,-1.00
7,MHG 03-26,2025-12-30 13:07:00,Short,5.769,2025-12-30 13:08:00,5.7735,SL_Short_02,-56.25,7.70,-63.95,-56.25,6.25,Europe High,2,-1.00
8,MHG 03-26,2025-12-30 13:20:00,Short,5.7705,2025-12-30 13:27:00,5.776,SL_Short_03,-68.75,7.70,-76.45,-68.75,87.50,Europe High,3,-1.00
9,MHG 03-26,2025-12-30 13:47:00,Short,5.7685,2025-12-30 13:53:00,5.7775,SL_Short_04,-67.50,4.62,-72.12,-67.50,18.75,Europe High,4,-1.00
10,MHG 03-26,2025-12-30 14:05:00,Short,5.7789896373057,2025-12-30 14:06:00,5.786,SL_Short_05,-70.10,6.16,-76.26,-75.10,0.00,Europe High,5,-1.00
11,MHG 03-26,2025-12-30 14:16:00,Short,5.784,2025-12-30 14:21:00,5.7895,SL_Short_06,-68.75,7.70,-76.45,-68.75,18.75,Europe High,6,-1.00
12,MHG 03-26,2025-12-30 14:24:00,Short,5.786,2025-12-30 14:28:00,5.7905,SL_Short_07,-67.50,9.24,-76.74,-75.00,0.00,Europe High,7,-1.00
13,MHG 03-26,2025-12-30 14:34:00,Short,5.791,2025-12-30 14:34:00,5.7945,SL_Short_08,-52.50,9.24,-61.74,-52.50,0.00,Europe High,8,-1.00
14.1,MHG 03-26,2025-12-30 14:52:00,Short,5.78540661478599,2025-12-30 20:48:00,5.6965,TP1_Short_09,222.27,1.54,220.73,-35.47,447.03,Europe High,9,4.20
14.2,MHG 03-26,2025-12-30 14:52:00,Short,5.78540661478599,2025-12-31 01:56:00,5.659,TP2_Short_09,316.02,1.54,314.48,-35.47,447.03,Europe High,9,5.97
15.1,MHG 03-26,2025-12-31 02:02:00,Long,5.67213804713805,2025-12-31 02:59:00,5.709,TP1_Long_01,92.15,1.54,90.61,0.00,186.81,Europe Low,1,1.30
15.2,MHG 03-26,2025-12-31 02:02:00,Long,5.67213804713805,2025-12-31 04:37:00,5.672,SL_Long_01,-0.35,1.54,-1.89,-0.35,186.81,Europe Low,1,0.00
16.1,MHG 03-26,2025-12-31 05:17:00,Long,5.64945016611295,2025-12-31 09:56:00,5.7,TP1_Long_01,126.37,1.54,124.83,-22.25,255.25,Asia Low,1,2.03
16.2,MHG 03-26,2025-12-31 05:17:00,Long,5.64945016611295,2025-12-31 11:22:00,5.64945016611295,SL_Long_01,0.00,1.54,-1.54,-22.25,255.25,Asia Low,1,0.00
1,MHG 03-26,2025-12-22 04:15:00,Short,5.54730882352941,2025-12-22 04:17:00,5.551,SL_Short_01,-36.91,6.16,-43.07,-36.91,0.00,Europe High,1,-1.00
2,MHG 03-26,2025-12-22 11:31:00,Long,5.485,2025-12-22 12:16:00,5.5095,TP1_Long_01,122.50,3.08,119.42,-18.75,187.50,USA Low,1,2.97
2.2,MHG 03-26,2025-12-22 11:31:00,Long,5.485,2025-12-22 19:51:00,5.5155,TP2_Long_01,76.25,1.54,74.71,-18.75,187.50,USA Low,1,1.85
3,MHG 03-26,2025-12-23 04:17:00,Short,5.5305,2025-12-23 04:45:00,5.5335,SL_Short_01,-60.00,12.32,-72.32,-60.00,80.00,Asia High,1,-1.00
4,MHG 03-26,2025-12-23 04:49:00,Short,5.5395,2025-12-23 04:49:00,5.5405,SL_Short_02,-70.00,43.12,-113.12,-105.00,0.00,Asia High,2,-1.00
5,MHG 03-26,2025-12-23 04:54:00,Short,5.5395,2025-12-23 04:54:00,5.542,SL_Short_03,-50.00,12.32,-62.32,-50.00,0.00,Asia High,3,-1.00
6,MHG 03-26,2025-12-23 05:13:00,Short,5.54097,2025-12-23 05:25:00,5.5475,SL_Short_04,-48.98,4.62,-53.60,-48.98,26.02,Asia High,4,-1.00
7,MHG 03-26,2025-12-23 06:17:00,Short,5.547,2025-12-23 06:46:00,5.5585,SL_Short_05,-57.50,3.08,-60.58,-57.50,15.00,Europe High,5,-1.00
8,MHG 03-26,2025-12-23 06:59:00,Short,5.56796453900709,2025-12-23 07:19:00,5.5765,SL_Short_06,-64.02,4.62,-68.64,-64.02,18.48,Europe High,6,-1.00
9,MHG 03-26,2025-12-23 07:31:00,Short,5.56969672131148,2025-12-23 07:57:00,5.5775,SL_Short_07,-58.52,4.62,-63.14,-58.52,20.23,Europe High,7,-1.00
10,MHG 03-26,2025-12-23 09:08:00,Short,5.5835,2025-12-23 09:18:00,5.595,SL_Short_08,-57.50,3.08,-60.58,-57.50,30.00,Europe High,8,-1.00
11,MHG 03-26,2025-12-23 09:25:00,Short,5.595,2025-12-23 09:34:00,5.6015,SL_Short_09,-65.00,6.16,-71.16,-65.00,75.00,Europe High,9,-1.00
12,MHG 03-26,2025-12-23 09:35:00,Short,5.605,2025-12-23 09:35:00,5.606,SL_Short_10,-130.00,80.08,-210.08,-130.00,260.00,Europe High,10,-1.00
13,MHG 03-26,2025-12-23 09:41:00,Short,5.60449132947977,2025-12-23 09:48:00,5.6135,SL_Short_11,-45.04,3.08,-48.12,-47.54,19.96,Europe High,11,-1.00
14.1,MHG 03-26,2025-12-23 09:58:00,Short,5.599,2025-12-23 10:44:00,5.545,TP1_Short_12,135.00,1.54,133.46,-40.00,272.50,Europe High,12,1.20
14.2,MHG 03-26,2025-12-23 09:58:00,Short,5.599,2025-12-23 20:37:00,5.599,SL_Short_12,0.00,1.54,-1.54,-40.00,272.50,Europe High,12,0.00
