ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,MYM 03-26,2025-12-29 04:26:00,Long,48978.0371747212,2025-12-29 04:40:00,48964,SL_Long_01,-98.26,25.48,-123.74,-98.26,55.74,Europe Low,1,-1.00
2,MYM 03-26,2025-12-29 04:46:00,Long,48972.0656934307,2025-12-29 04:47:00,48961,SL_Long_02,-94.06,30.94,-125.00,-102.56,16.44,Europe Low,2,-1.00
3,MYM 03-26,2025-12-29 04:50:00,Long,48958,2025-12-29 04:50:00,48957,SL_Long_03,-27.00,98.28,-125.28,-27.00,27.00,Europe Low,3,-1.00
4,MYM 03-26,2025-12-29 04:53:00,Long,48956,2025-12-29 04:54:00,48955,SL_Long_04,-24.00,87.36,-111.36,-24.00,48.00,Europe Low,4,-1.00
5,MYM 03-26,2025-12-29 05:05:00,Long,48966.9446494465,2025-12-29 05:29:00,48995,TP1_Long_05,70.14,9.10,61.04,-17.75,130.75,Europe Low,5,0.74
5.2,MYM 03-26,2025-12-29 05:05:00,Long,48966.9446494465,2025-12-29 05:53:00,49008,TP2_Long_05,82.11,7.28,74.83,-17.75,130.75,Europe Low,5,0.87
6,MYM 03-26,2025-12-31 04:40:00,Long,48578,2025-12-31 04:41:00,48574,SL_Long_01,-72.00,65.52,-137.52,-72.00,36.00,Asia Low,1,-1.00
7,MYM 03-26,2025-12-31 04:46:00,Long,48580,2025-12-31 06:02:00,48568,SL_Long_02,-72.00,21.84,-93.84,-72.00,102.00,USA Low,2,-1.00
8,MYM 03-26,2025-12-31 06:38:00,Long,48574.2412790698,2025-12-31 08:29:00,48610,TP1_Long_03,107.28,10.92,96.36,-56.33,202.17,USA Low,3,1.37
8.2,MYM 03-26,2025-12-31 06:38:00,Long,48574.2412790698,2025-12-31 08:29:00,48612,TP2_Long_03,94.40,9.10,85.30,-56.33,202.17,USA Low,3,1.21
