ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,ZS 03-26,2025-12-29 04:40:00,Long,1071.25,2025-12-29 04:40:00,1070.75,SL_Long_01,-100.00,22.80,-122.80,-100.00,0.00,Europe Low,1,-1.00
2,ZS 03-26,2025-12-29 04:58:00,Long,1070.75,2025-12-29 05:07:00,1070.25,SL_Long_02,-75.00,17.10,-92.10,-75.00,37.50,Europe Low,2,-1.00
3,ZS 03-26,2025-12-29 06:31:00,Long,1068.75,2025-12-29 07:49:00,1068,SL_Long_03,-75.00,11.40,-86.40,-75.00,50.00,Europe Low,3,-1.00
4,ZS 03-26,2025-12-29 08:31:00,Long,1065.75,2025-12-29 08:33:00,1065.25,SL_Long_04,-100.00,22.80,-122.80,-100.00,0.00,Europe Low,4,-1.00
5,ZS 03-26,2025-12-29 09:01:00,Long,1065.25371900826,2025-12-29 12:27:00,1064.25,SL_Long_05,-100.37,11.40,-111.77,-100.37,374.63,Europe Low,5,-1.00
6,ZS 03-26,2025-12-29 12:38:00,Long,1063.75,2025-12-29 13:09:00,1063.25,SL_Long_06,-50.00,11.40,-61.40,-50.00,50.00,Europe Low,6,-1.00
7.1,ZS 03-26,2025-12-29 13:15:00,Long,1063.5,2025-12-30 02:43:00,1067.5,TP1_Long_07,200.00,5.70,194.30,-50.00,425.00,Europe Low,7,2.67
7.2,ZS 03-26,2025-12-29 13:15:00,Long,1063.5,2025-12-30 10:32:00,1063.5,SL_Long_07,0.00,5.70,-5.70,-50.00,425.00,Europe Low,7,0.00
8,ZS 03-26,2025-12-30 11:31:00,Long,1062.25,2025-12-30 11:34:00,1061.25,SL_Long_01,-100.00,11.40,-111.40,-100.00,25.00,USA Low,1,-1.00
9.1,ZS 03-26,2025-12-30 11:48:00,Long,1062.25480192077,2025-12-30 12:14:00,1064.75,TP1_Long_02,124.76,5.70,119.06,-0.48,274.52,USA Low,2,0.83
9.2,ZS 03-26,2025-12-30 11:48:00,Long,1062.25480192077,2025-12-30 14:24:00,1062.25480192077,SL_Long_02,0.00,5.70,-5.70,-0.48,274.52,USA Low,2,0.00
10,ZS 03-26,2025-12-31 05:23:00,Long,1058,2025-12-31 06:00:00,1057.5,SL_Long_01,-50.00,11.40,-61.40,-50.00,0.00,Europe Low,1,-1.00
11.1,ZS 03-26,2025-12-31 06:56:00,Long,1057.5,2025-12-31 08:21:00,1059.25,TP2_Long_02,87.50,5.70,81.80,0.00,200.00,Europe Low,2,1.75
11.2,ZS 03-26,2025-12-31 06:56:00,Long,1057.5,2025-12-31 08:55:00,1059.75,TP1_Long_02,112.50,5.70,106.80,0.00,200.00,Europe Low,2,2.25
1.1,ZS 03-26,2025-12-22 09:16:00,Short,1065.75,2025-12-22 10:33:00,1063.75,TP1_Short_01,100.00,5.70,94.30,-50.00,225.00,Europe High,1,1.33
1.2,ZS 03-26,2025-12-22 09:16:00,Short,1065.75,2025-12-22 10:50:00,1061.75,TP2_Short_01,200.00,5.70,194.30,-50.00,225.00,Europe High,1,2.67
2.1,ZS 03-26,2025-12-23 03:42:00,Short,1067.75,2025-12-23 06:19:00,1065.75,TP1_Short_01,100.00,5.70,94.30,-25.00,225.00,Asia High,1,2.00
2.2,ZS 03-26,2025-12-23 03:42:00,Short,1067.75,2025-12-23 06:19:00,1065.75,TP2_Short_01,100.00,5.70,94.30,-25.00,225.00,Asia High,1,2.00
3,ZS 03-26,2025-12-23 13:37:00,Long,1063.75736235595,2025-12-23 15:20:00,1062.5,SL_Long_01,-125.74,11.40,-137.14,-125.74,249.26,Asia Low,1,-1.00
1,ZS 03-26,2025-12-15 05:02:00,Short,1088.25,2025-12-15 05:06:00,1088.75,SL_Short_01,-50.00,11.40,-61.40,-50.00,0.00,Europe High,1,-1.00
2,ZS 03-26,2025-12-15 06:00:00,Short,1088.49811746988,2025-12-15 07:27:00,1089.25,SL_Short_02,-75.19,11.40,-86.59,-75.19,24.81,Europe High,2,-1.00
3,ZS 03-26,2025-12-15 10:43:00,Long,1081.75,2025-12-15 10:47:00,1080.5,SL_Long_01,-125.00,11.40,-136.40,-125.00,50.00,USA Low,1,-1.00
4.1,ZS 03-26,2025-12-15 11:04:00,Long,1078.50039184953,2025-12-15 12:00:00,1082.25,TP1_Long_02,187.48,5.70,181.78,0.00,399.96,USA Low,2,1.50
4.2,ZS 03-26,2025-12-15 11:04:00,Long,1078.50039184953,2025-12-15 12:30:00,1078.50039184953,SL_Long_02,0.00,5.70,-5.70,-0.02,399.96,USA Low,2,0.00
5,ZS 03-26,2025-12-16 11:43:00,Long,1076.50286334913,2025-12-16 11:59:00,1075.25,SL_Long_03,-125.29,11.40,-136.69,-125.29,74.71,USA Low,3,-1.00
6,ZS 03-26,2025-12-16 12:34:00,Long,1073.75,2025-12-16 12:41:00,1073,SL_Long_04,-75.00,11.40,-86.40,-75.00,25.00,USA Low,4,-1.00
7,ZS 03-26,2025-12-16 12:52:00,Long,1071.5,2025-12-16 12:52:00,1071,SL_Long_05,-100.00,22.80,-122.80,-100.00,0.00,USA Low,5,-1.00
8,ZS 03-26,2025-12-16 13:19:00,Long,1071.50036092397,2025-12-16 14:04:00,1070.5,SL_Long_06,-100.04,11.40,-111.44,-100.04,124.96,USA Low,6,-1.00
9.1,ZS 03-26,2025-12-16 14:22:00,Long,1070.5,2025-12-16 22:36:00,1076.75,TP1_Long_07,312.50,5.70,306.80,0.00,650.00,USA Low,7,4.17
9.2,ZS 03-26,2025-12-16 14:22:00,Long,1070.5,2025-12-17 10:32:00,1070.5,SL_Long_07,0.00,5.70,-5.70,0.00,650.00,USA Low,7,0.00
1,ZS 03-26,2025-12-08 09:19:00,Short,1112.24980252765,2025-12-08 09:21:00,1113.5,SL_Short_01,-125.02,11.40,-136.42,-125.02,24.98,Europe High,1,-1.00
2.1,ZS 03-26,2025-12-08 09:45:00,Short,1116.75,2025-12-08 10:40:00,1111.5,TP1_Short_02,262.50,5.70,256.80,-25.00,550.00,Europe High,2,1.75
2.2,ZS 03-26,2025-12-08 09:45:00,Short,1116.75,2025-12-08 11:10:00,1106.25,TP2_Short_02,525.00,5.70,519.30,-25.00,550.00,Europe High,2,3.50
3,ZS 03-26,2025-12-08 11:57:00,Long,1105,2025-12-08 11:59:00,1103.75,SL_Long_01,-125.00,11.40,-136.40,-125.00,0.00,USA Low,1,-1.00
4,ZS 03-26,2025-12-08 13:01:00,Long,1104.25041390728,2025-12-08 14:18:00,1103,SL_Long_02,-125.04,11.40,-136.44,-125.04,249.96,USA Low,2,-1.00
5,ZS 03-26,2025-12-08 14:35:00,Long,1103.5,2025-12-08 21:03:00,1102.5,SL_Long_03,-100.00,11.40,-111.40,-100.00,175.00,USA Low,3,-1.00
6.1,ZS 03-26,2025-12-09 08:57:00,Long,1098.25090252708,2025-12-09 10:33:00,1101,TP1_Long_01,137.45,5.70,131.75,-125.09,299.91,Europe Low,1,0.79
6.2,ZS 03-26,2025-12-09 08:57:00,Long,1098.25090252708,2025-12-09 12:29:00,1098.25090252708,SL_Long_01,0.00,5.70,-5.70,-125.09,299.91,Europe Low,1,0.00
7,ZS 03-26,2025-12-09 13:21:00,Long,1096.5,2025-12-09 13:41:00,1095.5,SL_Long_02,-100.00,11.40,-111.40,-100.00,350.00,Europe Low,2,-1.00
