ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,ZW 03-26,2025-01-03 06:33:00,Long,623.75,2025-01-03 07:11:00,624.75,TP1_Long_01,100.00,11.40,88.60,-50.00,150.00,Asia Low,1,1.00
1.2,ZW 03-26,2025-01-03 06:33:00,Long,623.75,2025-01-03 07:19:00,623.75,SL_Long_01,0.00,11.40,-11.40,-50.00,150.00,Asia Low,1,0.00
3,ZW 03-26,2025-01-06 05:44:00,Short,614.5,2025-01-06 05:44:00,614.75,SL_Short_01,-37.50,17.10,-54.60,0.00,0.00,Asia High,1,-1.00
4,ZW 03-26,2025-01-06 08:12:00,Short,615.246492985972,2025-01-06 09:02:00,616.25,SL_Short_02,-100.35,11.40,-111.75,-75.35,74.65,Asia High,2,-1.00
5,ZW 03-26,2025-01-06 10:32:00,Short,616.4066463724,2025-01-06 10:33:00,618.25,SL_Short_03,-184.34,11.40,-195.74,-84.34,0.00,Asia High,3,-1.00
6,ZW 03-26,2025-01-06 10:49:00,Short,620.5,2025-01-06 10:49:00,620.75,SL_Short_04,-37.50,17.10,-54.60,0.00,0.00,Asia High,4,-1.00
7,ZW 03-26,2025-01-06 11:02:00,Short,622.25,2025-01-06 11:02:00,622.75,SL_Short_01,-50.00,11.40,-61.40,0.00,0.00,USA High,1,-1.00
8.1,ZW 03-26,2025-01-06 11:14:00,Short,622.25,2025-01-06 21:02:00,617.5,TP1_Short_02,237.50,5.70,231.80,-125.00,375.00,USA High,2,1.58
8.2,ZW 03-26,2025-01-06 11:14:00,Short,622.25,2025-01-07 10:46:00,622.25,SL_Short_02,0.00,5.70,-5.70,-125.00,375.00,USA High,2,0.00
9,ZW 03-26,2025-01-07 10:55:00,Short,623.25,2025-01-08 01:58:00,624.25,SL_Short_03,-100.00,11.40,-111.40,-50.00,325.00,USA High,3,-1.00
10,ZW 03-26,2025-01-08 09:05:00,Long,617.5,2025-01-08 09:09:00,617,SL_Long_01,-50.00,11.40,-61.40,-25.00,0.00,USA Low,1,-1.00
11,ZW 03-26,2025-01-08 09:19:00,Long,616.5,2025-01-08 09:19:00,616.25,SL_Long_02,-37.50,17.10,-54.60,0.00,0.00,USA Low,2,-1.00
12,ZW 03-26,2025-01-08 09:34:00,Long,615.75,2025-01-08 09:34:00,615.5,SL_Long_03,-37.50,17.10,-54.60,0.00,0.00,USA Low,3,-1.00
13.1,ZW 03-26,2025-01-08 10:46:00,Long,616.25,2025-01-08 11:15:00,618,TP1_Long_04,87.50,5.70,81.80,-50.00,175.00,USA Low,4,0.70
13.2,ZW 03-26,2025-01-08 10:46:00,Long,616.25,2025-01-08 12:10:00,616.25,SL_Long_04,0.00,5.70,-5.70,-50.00,175.00,USA Low,4,0.00
14.1,ZW 03-26,2025-01-08 13:51:00,Long,615.25636686009,2025-01-08 23:07:00,617.25,TP1_Long_05,99.68,5.70,93.98,-25.64,199.36,USA Low,5,0.79
